Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1782162000.0 141.044406 NA 198 513 0 NA 294 3932 0 NA 244 459 51 NA 137 222 65 
1782162000.0 141.044407 NA 199 522 0 NA 285 3954 0 NA 250 501 62 NA 134 231 80 
1782162000.0 141.044408 NA 199 466 NA NA 289 3872 NA NA 260 296 NA NA 140 147 NA 
1782162000.0 141.044412 NA 198 416 0 NA 284 3804 0 NA 256 182 56 NA 149 151 71 
1782162000.0 141.044413 NA 197 418 0 NA 276 3811 0 NA 260 214 66 NA 141 178 106 
1782162000.0 141.044414 NA 196 141 NA NA 290 3498 NA NA 250 61 NA NA 134 102 NA 
1782162000.0 141.044422 NA 199 0 NA NA 284 0 NA NA 252 0 NA NA 139 0 NA 
1782162000.0 141.044423 NA 199 0 NA NA 293 0 NA NA 253 0 NA NA 137 0 NA 
1782162000.0 141.044424 NA 197 141 NA NA 288 3497 NA NA 257 61 NA NA 144 78 NA 
1782162000.0 141.044483 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1782162000.0 160.03502 130 230 103 0 178 316 150 0 643 123 73 0 452 112 111 0 
1782162000.0 18434.402 139 0 NA NA 201 0 NA NA 1148 0 NA NA 597 0 NA NA 
1782162000.0 18434.403 138 0 NA NA 190 0 NA NA 1112 0 NA NA 593 0 NA NA 
1782162000.0 18434.404 140 0 NA NA 188 0 NA NA 1076 0 NA NA 563 0 NA NA 
1782162000.0 18434.406 138 0 NA NA 190 0 NA NA 1114 0 NA NA 610 0 NA NA 
1782162000.0 18434.407 139 0 NA NA 194 0 NA NA 1148 0 NA NA 603 0 NA NA 
1782162000.0 18434.408 140 0 NA NA 191 0 NA NA 1087 0 NA NA 571 0 NA NA 
1782162000.0 18434.412 140 0 NA NA 192 0 NA NA 1094 0 NA NA 561 0 NA NA 
1782162000.0 18434.413 140 0 NA NA 189 0 NA NA 1087 0 NA NA 571 0 NA NA 
1782162000.0 18434.422 139 0 NA NA 188 0 NA NA 1089 0 NA NA 562 0 NA NA 
1782162000.0 18434.423 139 0 NA NA 188 0 NA NA 1067 0 NA NA 558 0 NA NA 
1782162000.0 18434.424 140 0 NA NA 190 0 NA NA 1084 0 NA NA 558 0 NA NA 
1782162000.0 18450.402 138 0 NA NA 190 0 NA NA 672 0 NA NA 453 0 NA NA 
1782162000.0 18450.403 138 0 NA NA 190 0 NA NA 671 0 NA NA 454 0 NA NA 
1782162000.0 18450.404 139 0 NA NA 189 0 NA NA 668 0 NA NA 446 0 NA NA 
1782162000.0 18450.406 138 0 NA NA 189 0 NA NA 713 0 NA NA 461 0 NA NA 
1782162000.0 18450.407 138 0 NA NA 187 0 NA NA 673 0 NA NA 453 0 NA NA 
1782162000.0 18450.408 139 0 NA NA 198 0 NA NA 674 0 NA NA 453 0 NA NA 
1782162000.0 18461.402 120 0 NA NA 166 0 NA NA 379 0 NA NA 352 0 NA NA 
