Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1782334800.0 141.044406 NA 200 0 NA NA 293 0 NA NA 251 0 NA NA 138 0 NA 
1782334800.0 141.044407 NA 198 0 NA NA 286 0 NA NA 256 0 NA NA 147 0 NA 
1782334800.0 141.044408 NA 198 0 NA NA 295 0 NA NA 256 0 NA NA 152 0 NA 
1782334800.0 141.044412 NA 197 0 NA NA 293 0 NA NA 249 0 NA NA 139 0 NA 
1782334800.0 141.044413 NA 197 0 NA NA 285 0 NA NA 253 0 NA NA 135 0 NA 
1782334800.0 141.044414 NA 200 0 NA NA 293 0 NA NA 247 0 NA NA 133 0 NA 
1782334800.0 141.044422 NA 195 0 NA NA 284 0 NA NA 254 0 NA NA 146 0 NA 
1782334800.0 141.044423 NA 197 0 NA NA 293 0 NA NA 255 0 NA NA 139 0 NA 
1782334800.0 141.044424 NA 197 0 NA NA 288 0 NA NA 253 0 NA NA 142 0 NA 
1782334800.0 141.044483 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1782334800.0 160.03502 125 222 101 0 167 323 147 0 642 138 79 0 451 131 132 0 
1782334800.0 18434.402 141 0 NA NA 195 0 NA NA 1079 0 NA NA 562 0 NA NA 
1782334800.0 18434.403 142 615 0 NA 191 1324 0 NA 1069 2490 0 NA 563 638 0 NA 
1782334800.0 18434.404 141 0 NA NA 191 0 NA NA 1070 0 NA NA 559 0 NA NA 
1782334800.0 18434.406 142 609 0 NA 190 1342 0 NA 1074 13704 0 NA 573 1143 0 NA 
1782334800.0 18434.407 138 606 0 NA 189 1340 0 NA 1070 16953 0 NA 574 1237 0 NA 
1782334800.0 18434.408 140 0 NA NA 192 0 NA NA 1062 0 NA NA 562 0 NA NA 
1782334800.0 18434.412 137 0 NA NA 192 0 NA NA 1078 0 NA NA 571 0 NA NA 
1782334800.0 18434.413 143 0 NA NA 192 0 NA NA 1067 0 NA NA 558 0 NA NA 
1782334800.0 18434.422 141 617 0 NA 195 1330 0 NA 1082 1455 0 NA 572 582 0 NA 
1782334800.0 18434.423 140 0 NA NA 190 0 NA NA 1070 0 NA NA 557 0 NA NA 
1782334800.0 18434.424 141 0 NA NA 195 0 NA NA 1068 0 NA NA 559 0 NA NA 
1782334800.0 18450.402 139 0 NA NA 193 0 NA NA 674 0 NA NA 458 0 NA NA 
1782334800.0 18450.403 136 0 NA NA 190 0 NA NA 679 0 NA NA 463 0 NA NA 
1782334800.0 18450.404 136 0 NA NA 186 0 NA NA 679 0 NA NA 463 0 NA NA 
1782334800.0 18450.406 140 586 0 NA 188 1293 0 NA 670 19080 0 NA 451 1209 0 NA 
1782334800.0 18450.407 141 0 NA NA 192 0 NA NA 671 0 NA NA 452 0 NA NA 
1782334800.0 18450.408 138 0 NA NA 188 0 NA NA 669 0 NA NA 450 0 NA NA 
1782334800.0 18461.402 123 0 NA NA 169 0 NA NA 387 0 NA NA 356 0 NA NA 
