Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1782162000.0 141.044406 NA 198 181 0 NA NA 297 806 0 NA NA 253 466 53 NA NA 145 223 66 NA 
1782162000.0 141.044407 NA 195 187 0 NA NA 291 816 0 NA NA 257 510 64 NA NA 145 234 83 NA 
1782162000.0 141.044408 NA 197 133 NA NA NA 284 747 NA NA NA 254 83 NA NA NA 142 101 NA NA 
1782162000.0 141.044412 NA 198 160 0 NA NA 289 820 0 NA NA 254 174 56 NA NA 163 164 77 NA 
1782162000.0 141.044413 NA 196 162 0 NA NA 285 820 0 NA NA 255 209 60 NA NA 140 169 74 NA 
1782162000.0 141.044414 NA 197 110 NA NA NA 292 674 NA NA NA 253 60 NA NA NA 141 76 NA NA 
1782162000.0 141.044422 NA 198 162 0 NA NA 286 778 0 NA NA 251 197 56 NA NA 138 160 70 NA 
1782162000.0 141.044423 NA 196 162 0 NA NA 285 777 0 NA NA 257 195 63 NA NA 146 148 81 NA 
1782162000.0 141.044424 NA 196 108 NA NA NA 286 674 NA NA NA 257 58 NA NA NA 145 73 NA NA 
1782162000.0 141.044483 NA 240 0 NA NA NA 918 0 NA NA NA 478 88 NA NA NA 259 112 NA NA 
1782162000.0 160.03502 121 227 100 464 172 165 328 145 1193 256 641 121 72 493 148 467 111 100 462 150 
1782162000.0 18434.402 139 560 264 0 NA 187 1380 959 0 NA 1080 591 262 80 NA 563 473 258 95 NA 
1782162000.0 18434.403 139 565 276 0 NA 189 1362 973 0 NA 1074 580 265 90 NA 562 427 256 105 NA 
1782162000.0 18434.404 141 563 147 NA NA 191 1375 760 NA NA 1068 579 105 NA NA 560 430 119 NA NA 
1782162000.0 18434.406 139 569 269 0 NA 193 1356 950 0 NA 1071 578 265 88 NA 565 443 249 105 NA 
1782162000.0 18434.407 139 562 276 0 NA 189 1379 964 0 NA 1068 575 268 88 NA 583 427 259 104 NA 
1782162000.0 18434.408 139 565 147 NA NA 188 1362 757 NA NA 1068 581 104 NA NA 569 430 120 NA NA 
1782162000.0 18434.412 139 563 246 0 NA 190 1379 995 0 NA 1072 578 248 59 NA 560 419 250 75 NA 
1782162000.0 18434.413 141 564 249 0 NA 192 1363 996 0 NA 1082 577 249 61 NA 572 427 241 79 NA 
1782162000.0 18434.422 140 567 241 0 NA 192 1391 931 0 NA 1073 575 244 54 NA 572 424 238 71 NA 
1782162000.0 18434.423 142 562 241 0 NA 191 1365 936 0 NA 1073 587 246 55 NA 565 444 235 67 NA 
1782162000.0 18434.424 140 564 149 NA NA 187 1331 769 NA NA 1072 580 139 NA NA 565 449 158 NA NA 
1782162000.0 18450.402 138 544 265 0 NA 197 1341 956 0 NA 677 531 255 77 NA 458 412 253 89 NA 
1782162000.0 18450.403 137 545 268 0 NA 196 1374 962 0 NA 673 535 254 85 NA 453 405 247 101 NA 
1782162000.0 18450.404 140 547 148 NA NA 190 1349 764 NA NA 679 529 98 NA NA 461 422 115 NA NA 
1782162000.0 18450.406 138 544 263 0 NA 191 1408 948 0 NA 670 528 251 81 NA 453 423 253 98 NA 
1782162000.0 18450.407 138 543 269 0 NA 189 1373 953 0 NA 671 530 252 82 NA 449 412 242 97 NA 
1782162000.0 18450.408 138 543 147 NA NA 187 1326 763 NA NA 673 528 100 NA NA 448 407 114 NA NA 
1782162000.0 18461.402 120 520 249 0 NA 166 1323 950 0 NA 378 536 233 69 NA 349 429 228 84 NA 
