Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1787346000.0 1.0 146 181 267 NA NA NA NA NA 234 262 423 NA NA NA NA NA 715 153 386 NA NA NA NA NA 408 140 506 NA NA NA NA NA 
1787346000.0 10001.0 116 295 491 0 145 178 NA NA 169 399 711 0 219 277 NA NA 262 179 745 308 354 282 NA NA 236 189 882 334 366 317 NA NA 
1787346000.0 10002.0 124 294 496 0 123 176 NA NA 176 396 688 0 224 276 NA NA 317 176 740 203 349 315 NA NA 272 192 769 294 412 411 NA NA 
1787346000.0 10003.0 172 296 511 0 146 178 NA NA 275 403 674 0 215 276 NA NA 2205 167 696 187 208 199 NA NA 986 146 763 216 272 220 NA NA 
1787346000.0 10004.0 117 295 495 0 140 182 NA NA 172 391 682 0 223 271 NA NA 253 174 746 282 308 303 NA NA 258 169 721 321 328 322 NA NA 
1787346000.0 10005.0 124 294 496 0 145 182 NA NA 174 403 703 0 219 282 NA NA 306 171 727 303 321 308 NA NA 248 186 746 335 330 362 NA NA 
1787346000.0 10006.0 117 296 501 0 148 180 NA NA 172 398 711 0 221 276 NA NA 231 174 736 283 328 282 NA NA 233 148 725 305 347 300 NA NA 
1787346000.0 10008.0 116 294 502 0 173 180 NA NA 174 397 693 0 282 276 NA NA 237 176 759 295 375 313 NA NA 348 159 729 320 426 365 NA NA 
1787346000.0 1001.3 NA 528 202 0 NA NA NA NA NA 732 310 0 NA NA NA NA NA 3922 394 122 NA NA NA NA NA 1649 378 134 NA NA NA NA 
1787346000.0 10024.2 138 304 520 0 NA NA NA NA 202 416 713 0 NA NA NA NA 1414 265 1186 279 NA NA NA NA 601 186 1176 300 NA NA NA NA 
1787346000.0 10024.4 137 307 508 0 NA NA NA NA 200 410 696 0 NA NA NA NA 1527 263 1131 303 NA NA NA NA 719 186 1015 383 NA NA NA NA 
1787346000.0 10025.0 134 297 501 0 148 188 NA NA 191 401 726 0 224 274 NA NA 723 184 761 293 336 301 NA NA 390 164 734 317 379 311 NA NA 
1787346000.0 1003.0 NA 396 0 NA NA NA NA NA NA 623 0 NA NA NA NA NA NA 1158 110 NA NA NA NA NA NA 703 133 NA NA NA NA NA 
1787346000.0 10042.0 99 295 512 0 176 177 NA NA 188 412 696 0 286 281 NA NA 543 165 756 293 326 301 NA NA 371 185 734 322 335 330 NA NA 
1787346000.0 1005.0 NA 218 157 0 0 NA NA NA NA 377 249 0 0 NA NA NA NA 341 176 33 30 NA NA NA NA 456 217 47 65 NA NA NA 
1787346000.0 10059.0 167 311 531 0 151 195 NA NA 238 407 712 0 219 292 NA NA 2829 185 1019 200 208 205 NA NA 955 163 921 251 265 242 NA NA 
1787346000.0 101.0 187 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 328 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 
1787346000.0 1010.0 NA 86 110 0 NA NA NA NA NA 160 180 0 NA NA NA NA NA 142 153 51 NA NA NA NA NA 190 184 66 NA NA NA NA 
1787346000.0 102.0 180 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 316 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 
1787346000.0 10424.0 137 261 509 0 NA NA NA NA 201 357 706 0 NA NA NA NA 1168 169 872 306 NA NA NA NA 521 133 819 359 NA NA NA NA 
1787346000.0 1046.0 NA 102 88 0 NA NA NA NA NA 177 157 0 NA NA NA NA NA 183 140 21 NA NA NA NA NA 216 165 30 NA NA NA NA 
