Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1790370000.0 111.0 120 188 373 NA 198 273 535 NA 304 135 651 NA 284 171 628 NA 
1790370000.0 120.0 126 191 372 NA 185 278 516 NA 228 155 744 NA 222 135 746 NA 
1790370000.0 122.0 125 188 373 NA 194 274 545 NA 286 118 745 NA 333 127 735 NA 
1790370000.0 126.0 124 188 386 NA 189 278 514 NA 381 157 729 NA 268 129 757 NA 
1790370000.0 127.0 122 188 375 NA 177 275 540 NA 298 162 712 NA 246 147 709 NA 
1790370000.0 128.0 122 192 371 NA 174 278 525 NA 223 158 620 NA 215 134 612 NA 
1790370000.0 129.0 116 185 372 NA 173 272 525 NA 217 154 685 NA 212 139 684 NA 
1790370000.0 130.0 121 186 375 NA 175 276 535 NA 235 159 739 NA 239 173 789 NA 
1790370000.0 131.0 125 186 377 NA 179 281 523 NA 350 160 758 NA 297 137 733 NA 
1790370000.0 136.836 NA 217 502 0 NA 310 780 0 NA 168 6556 130 NA 171 2311 189 
1790370000.0 136.876 NA 218 495 0 NA 303 754 0 NA 168 6224 119 NA 188 2409 135 
1790370000.0 136.901 NA 309 295 0 NA 484 449 0 NA 3018 458 230 NA 1118 272 236 
1790370000.0 136.902 NA 317 239 0 NA 461 426 0 NA 2607 457 232 NA 1016 309 254 
1790370000.0 136.903 NA 367 344 0 NA 556 531 0 NA 3897 1753 228 NA 2329 706 268 
1790370000.0 136.906 NA 353 322 0 NA 536 486 0 NA 4352 501 411 NA 1425 294 383 
1790370000.0 1370.0 66 0 NA NA 91 0 NA NA 23 236 NA NA 54 237 NA NA 
1790370000.0 1370.17 66 0 NA NA 91 0 NA NA 23 210 NA NA 52 209 NA NA 
1790370000.0 1370.18 65 0 NA NA 91 0 NA NA 23 204 NA NA 74 210 NA NA 
1790370000.0 140.045 NA 218 607 0 NA 324 883 0 NA 239 6113 144 NA 242 2258 173 
1790370000.0 141.033 NA 211 644 0 NA 319 873 0 NA 263 6871 139 NA 372 2460 152 
1790370000.0 141.301 NA 359 858 0 NA 516 1305 0 NA 1111 10634 157 NA 503 7899 255 
1790370000.0 144.6 NA 408 NA NA NA 540 NA NA NA 1318 NA NA NA 1154 NA NA 
1790370000.0 2500.1502 NA 161 NA NA NA 259 NA NA NA 6846 NA NA NA 7805 NA NA 
1790370000.0 2500.1504 NA 160 NA NA NA 268 NA NA NA 9022 NA NA NA 9310 NA NA 
1790370000.0 2500.231 NA 87 NA NA NA 153 NA NA NA 3114 NA NA NA 1622 NA NA 
1790370000.0 2500.3312 NA 87 NA NA NA 156 NA NA NA 3540 NA NA NA 2051 NA NA 
1790370000.0 2500.4301 NA 97 NA NA NA 137 NA NA NA 5830 NA NA NA 6002 NA NA 
1790370000.0 38634.0 206 1749 2491 0 271 2457 3515 0 1863 6561 8842 320 901 2534 3368 425 
1790370000.0 4003.0 163 198 393 NA 236 283 546 NA 420 143 778 NA 280 135 759 NA 
1790370000.0 515.0 66 0 NA NA 103 0 NA NA 3220 52 NA NA 2377 83 NA NA 
1790370000.0 518.0 64 0 NA NA 102 0 NA NA 3378 52 NA NA 2416 67 NA NA 
1790370000.0 526.0 64 0 NA NA 104 0 NA NA 3382 51 NA NA 2416 76 NA NA 
