Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1790240400.0 130.0 124 194 378 NA NA 177 283 530 NA NA 223 160 637 NA NA 214 166 825 NA NA 
1790240400.0 144.6 NA 355 NA NA NA NA 546 NA NA NA NA 1303 NA NA NA NA 1091 NA NA NA 
1790240400.0 2500.1501 NA 167 NA NA NA NA 276 NA NA NA NA 3034 NA NA NA NA 1149 NA NA NA 
1790240400.0 2500.1502 NA 156 NA NA NA NA 257 NA NA NA NA 7338 NA NA NA NA 7283 NA NA NA 
1790240400.0 2500.1503 NA 176 NA NA NA NA 288 NA NA NA NA 4018 NA NA NA NA 1181 NA NA NA 
1790240400.0 2500.1504 NA 154 NA NA NA NA 270 NA NA NA NA 9598 NA NA NA NA 8039 NA NA NA 
1790240400.0 2500.2307 NA 165 NA NA NA NA 275 NA NA NA NA 3470 NA NA NA NA 1346 NA NA NA 
1790240400.0 2500.3307 NA 163 NA NA NA NA 267 NA NA NA NA 3232 NA NA NA NA 1284 NA NA NA 
1790240400.0 2500.3312 NA 90 NA NA NA NA 157 NA NA NA NA 3577 NA NA NA NA 2064 NA NA NA 
1790240400.0 2500.4301 NA 93 NA NA NA NA 143 NA NA NA NA 6144 NA NA NA NA 6451 NA NA NA 
1790240400.0 2500.9102 71 99 127 NA NA 105 124 217 NA NA 3330 97 112 NA NA 3454 110 142 NA NA 
1790240400.0 38434.911 212 738 831 0 286 283 1028 1015 0 398 2175 1581 1886 427 380 1304 841 1387 464 400 
1790240400.0 38496.0 NA 686 688 0 278 NA 986 881 0 388 NA 799 1093 227 365 NA 838 1063 246 371 
1790240400.0 38500.0 NA 693 683 0 280 NA 995 828 0 379 NA 785 1082 221 367 NA 829 1042 239 380 
1790240400.0 512.0 72 95 0 NA NA 104 124 0 NA NA 3353 89 63 NA NA 3413 77 121 NA NA 
