Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1789592400.0 103.0 119 0 0 168 0 0 222 66 536 330 319 1330 
1789592400.0 106.0 119 0 0 166 0 0 236 65 541 348 302 1284 
1789592400.0 10805.31 120 248 509 174 400 729 396 278 1098 804 813 3275 
1789592400.0 111.0 130 188 382 215 270 530 414 132 624 570 532 1450 
1789592400.0 119.0 154 195 399 240 277 543 575 164 651 534 476 1297 
1789592400.0 126.0 130 193 388 188 274 536 368 154 619 415 553 1328 
1789592400.0 127.0 118 194 386 174 268 523 291 151 622 347 535 1442 
1789592400.0 128.0 123 193 371 168 275 542 205 150 636 297 468 1462 
1789592400.0 144.6 NA 404 NA NA 564 NA NA 1385 NA NA 2494 NA 
1789592400.0 2500.1502 NA 160 NA NA 248 NA NA 6922 NA NA 6485 NA 
1789592400.0 2500.1504 NA 132 NA NA 259 NA NA 9185 NA NA 8186 NA 
1789592400.0 2500.231 NA 88 NA NA 150 NA NA 3217 NA NA 2382 NA 
1789592400.0 2500.3312 NA 88 NA NA 153 NA NA 3744 NA NA 3107 NA 
1789592400.0 2500.4301 NA 96 NA NA 137 NA NA 5841 NA NA 5745 NA 
1789592400.0 3000.0007 NA 790 NA NA 1048 NA NA 1019 NA NA 1334 NA 
1789592400.0 37634.774 NA 790 NA NA 1050 NA NA 1010 NA NA 1442 NA 
1789592400.0 4003.0 139 189 398 225 287 536 455 138 641 569 551 1448 
