Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1789938000.0 1349.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 1351.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 1360.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 1364.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 1365.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 1366.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1789938000.0 141.049 NA 215 604 0 NA 304 868 0 NA 276 7077 164 NA 281 2495 188 
1789938000.0 2500.1502 NA 160 NA NA NA 258 NA NA NA 8132 NA NA NA 8588 NA NA 
1789938000.0 2500.1504 NA 161 NA NA NA 262 NA NA NA 10672 NA NA NA 9810 NA NA 
1789938000.0 2500.231 NA 98 NA NA NA 154 NA NA NA 4064 NA NA NA 2344 NA NA 
1789938000.0 2500.3312 NA 97 NA NA NA 153 NA NA NA 3830 NA NA NA 2649 NA NA 
1789938000.0 2500.4301 NA 96 NA NA NA 144 NA NA NA 6863 NA NA NA 7951 NA NA 
1789938000.0 570.0 0 NA NA NA 0 NA NA NA 64 NA NA NA 3076 NA NA NA 
1789938000.0 571.0 0 NA NA NA 0 NA NA NA 66 NA NA NA 3078 NA NA NA 
