Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1789333200.0 1.0 156 197 316 NA NA NA NA NA 243 279 442 NA NA NA NA NA 1103 249 566 NA NA NA NA NA 701 285 586 NA NA NA NA NA 
1789333200.0 101.0 202 NA NA NA NA NA NA NA 333 NA NA NA NA NA NA NA 547 NA NA NA NA NA NA NA 630 NA NA NA NA NA NA NA 
1789333200.0 102.0 202 NA NA NA NA NA NA NA 324 NA NA NA NA NA NA NA 496 NA NA NA NA NA NA NA 660 NA NA NA NA NA NA NA 
1789333200.0 103.0 114 0 0 NA NA NA NA NA 176 0 0 NA NA NA NA NA 267 62 523 NA NA NA NA NA 301 70 516 NA NA NA NA NA 
1789333200.0 1048.0 NA 120 113 0 NA NA NA NA NA 198 182 0 NA NA NA NA NA 324 260 31 NA NA NA NA NA 325 273 47 NA NA NA NA 
1789333200.0 106.0 123 0 0 NA NA NA NA NA 178 0 0 NA NA NA NA NA 365 103 645 NA NA NA NA NA 399 122 732 NA NA NA NA NA 
1789333200.0 10804.31 127 308 534 0 162 201 NA NA 173 411 728 0 229 299 NA NA 363 243 1023 303 311 311 NA NA 392 267 1377 368 339 445 NA NA 
1789333200.0 10805.31 130 308 458 0 161 202 NA NA 176 405 731 0 234 298 NA NA 441 266 999 306 250 295 NA NA 461 225 1659 395 307 402 NA NA 
1789333200.0 110.0 121 194 382 NA NA NA NA NA 188 283 545 NA NA NA NA NA 268 149 615 NA NA NA NA NA 244 148 635 NA NA NA NA NA 
1789333200.0 111.0 133 192 387 NA NA NA NA NA 218 281 528 NA NA NA NA NA 423 131 651 NA NA NA NA NA 322 173 685 NA NA NA NA NA 
1789333200.0 11650.0 151 323 577 0 199 NA NA NA 204 437 816 0 304 NA NA NA 1058 280 1256 296 344 NA NA NA 772 264 1386 326 376 NA NA NA 
1789333200.0 120.0 120 193 379 NA NA NA NA NA 208 278 529 NA NA NA NA NA 250 165 613 NA NA NA NA NA 256 157 652 NA NA NA NA NA 
1789333200.0 122.0 126 181 371 NA NA NA NA NA 194 266 523 NA NA NA NA NA 299 120 595 NA NA NA NA NA 281 147 664 NA NA NA NA NA 
1789333200.0 123.1 375 NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA 524 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 
1789333200.0 123.2 411 NA NA NA NA NA NA NA 547 NA NA NA NA NA NA NA 622 NA NA NA NA NA NA NA 459 NA NA NA NA NA NA NA 
1789333200.0 123.3 327 NA NA NA NA NA NA NA 440 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 616 NA NA NA NA NA NA NA 
1789333200.0 124.1 365 NA NA NA NA NA NA NA 507 NA NA NA NA NA NA NA 469 NA NA NA NA NA NA NA 615 NA NA NA NA NA NA NA 
1789333200.0 124.2 404 NA NA NA NA NA NA NA 540 NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA 
1789333200.0 124.4 388 NA NA NA NA NA NA NA 507 NA NA NA NA NA NA NA 466 NA NA NA NA NA NA NA 614 NA NA NA NA NA NA NA 
1789333200.0 124.5 368 NA NA NA NA NA NA NA 529 NA NA NA NA NA NA NA 504 NA NA NA NA NA NA NA 591 NA NA NA NA NA NA NA 
1789333200.0 124.6 328 NA NA NA NA NA NA NA 447 NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA 650 NA NA NA NA NA NA NA 
1789333200.0 126.0 124 197 384 NA NA NA NA NA 212 282 538 NA NA NA NA NA 426 157 635 NA NA NA NA NA 337 139 647 NA NA NA NA NA 
