Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1787259600.0 1.0 157 180 300 NA NA NA NA NA NA 230 258 413 NA NA NA NA NA NA 581 141 363 NA NA NA NA NA NA 357 142 509 NA NA NA NA NA NA 
1787259600.0 10003.0 170 292 498 0 148 178 NA NA NA 274 395 672 0 222 281 NA NA NA 3142 252 1083 229 228 231 NA NA NA 1453 253 1162 261 271 277 NA NA NA 
1787259600.0 1001.0 NA 334 180 0 0 0 0 0 0 NA 478 263 0 0 0 0 0 0 NA 1472 318 48 30 53 96 59 93 NA 1178 364 69 49 77 129 94 111 
1787259600.0 1002.0 NA 377 112 NA NA NA NA NA NA NA 520 159 NA NA NA NA NA NA NA 1530 111 NA NA NA NA NA NA NA 1456 91 NA NA NA NA NA NA 
1787259600.0 10024.0 137 301 518 0 177 188 NA NA NA 199 410 712 0 297 276 NA NA NA 1297 251 1096 288 263 256 NA NA NA 626 200 1004 374 374 312 NA NA NA 
1787259600.0 1003.0 NA 400 0 NA NA NA NA NA NA NA 631 0 NA NA NA NA NA NA NA 1108 107 NA NA NA NA NA NA NA 770 131 NA NA NA NA NA NA 
1787259600.0 1005.0 NA 217 159 0 0 NA NA NA NA NA 379 246 0 0 NA NA NA NA NA 329 164 32 28 NA NA NA NA NA 471 184 66 61 NA NA NA NA 
1787259600.0 10059.0 170 316 543 0 157 195 NA NA NA 233 419 744 0 224 279 NA NA NA 2624 180 948 191 203 197 NA NA NA 895 138 914 244 227 203 NA NA NA 
1787259600.0 101.0 189 NA NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 250 NA NA NA NA NA NA NA NA 
1787259600.0 1010.0 NA 86 111 0 NA NA NA NA NA NA 159 177 0 NA NA NA NA NA NA 143 153 51 NA NA NA NA NA NA 289 163 72 NA NA NA NA NA 
1787259600.0 102.0 183 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA NA 251 NA NA NA NA NA NA NA NA 
1787259600.0 103.0 134 175 374 NA NA NA NA NA NA 188 254 527 NA NA NA NA NA NA 295 97 577 NA NA NA NA NA NA 290 132 729 NA NA NA NA NA NA 
1787259600.0 1046.0 NA 106 91 0 NA NA NA NA NA NA 179 156 0 NA NA NA NA NA NA 181 137 22 NA NA NA NA NA NA 279 154 40 NA NA NA NA NA 
