Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1789678800.0 1.0 138 186 272 NA NA NA NA NA 232 272 425 NA NA NA NA NA 587 155 378 NA NA NA NA NA 360 146 454 NA NA NA NA NA 
1789678800.0 10.0 153 190 393 0 NA NA NA NA 228 285 540 0 NA NA NA NA 622 160 641 172 NA NA NA NA 306 159 579 195 NA NA NA NA 
1789678800.0 10003.0 173 303 506 0 154 190 NA NA 277 409 729 0 228 299 NA NA 2018 167 683 177 197 205 NA NA 807 127 651 193 212 227 NA NA 
1789678800.0 1002.4 NA 540 0 NA NA NA NA NA NA 733 0 NA NA NA NA NA NA 4316 177 NA NA NA NA NA NA 1817 204 NA NA NA NA NA 
1789678800.0 10024.0 136 315 527 0 183 191 NA NA 199 430 729 0 297 305 NA NA 960 189 776 211 208 205 NA NA 432 135 645 250 215 216 NA NA 
1789678800.0 10024.1 143 312 314 0 NA NA NA NA 197 414 480 0 NA NA NA NA 914 188 303 183 NA NA NA NA 423 152 283 202 NA NA NA NA 
1789678800.0 10024.2 137 314 520 0 NA NA NA NA 198 421 728 0 NA NA NA NA 932 186 723 200 NA NA NA NA 418 128 630 223 NA NA NA NA 
1789678800.0 10024.3 144 318 300 0 NA NA NA NA 199 423 468 0 NA NA NA NA 928 182 292 159 NA NA NA NA 421 154 322 184 NA NA NA NA 
1789678800.0 10025.0 130 310 514 0 154 189 NA NA 189 412 711 0 229 300 NA NA 634 177 712 202 202 208 NA NA 340 133 647 228 220 241 NA NA 
1789678800.0 1003.0 NA 405 0 NA NA NA NA NA NA 657 0 NA NA NA NA NA NA 1105 121 NA NA NA NA NA NA 644 168 NA NA NA NA NA 
1789678800.0 1005.0 NA 220 159 0 0 NA NA NA NA 395 255 0 0 NA NA NA NA 361 168 35 29 NA NA NA NA 522 228 56 63 NA NA NA 
1789678800.0 10059.0 167 315 535 0 160 206 NA NA 236 431 742 0 237 301 NA NA 2588 195 961 210 200 200 NA NA 857 130 747 234 215 213 NA NA 
1789678800.0 10071.0 140 311 529 0 155 192 NA NA 199 426 733 0 232 298 NA NA 1026 188 791 212 203 208 NA NA 465 139 671 244 215 213 NA NA 
1789678800.0 101.0 181 NA NA NA NA NA NA NA 323 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 
1789678800.0 1010.0 NA 97 121 0 NA NA NA NA NA 173 196 0 NA NA NA NA NA 149 160 67 NA NA NA NA NA 231 191 93 NA NA NA NA 
1789678800.0 102.0 182 NA NA NA NA NA NA NA 327 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA 
1789678800.0 103.0 111 0 0 NA NA NA NA NA 169 0 0 NA NA NA NA NA 222 62 510 NA NA NA NA NA 205 80 510 NA NA NA NA NA 
1789678800.0 10424.0 136 268 522 0 NA NA NA NA 198 361 719 0 NA NA NA NA 968 172 759 207 NA NA NA NA 455 131 611 227 NA NA NA NA 
1789678800.0 1046.0 NA 112 102 0 NA NA NA NA NA 191 173 0 NA NA NA NA NA 189 147 22 NA NA NA NA NA 204 166 43 NA NA NA NA 
1789678800.0 1047.0 NA 112 120 0 NA NA NA NA NA 192 191 0 NA NA NA NA NA 190 162 29 NA NA NA NA NA 207 173 50 NA NA NA NA 
1789678800.0 1048.0 NA 110 107 0 NA NA NA NA NA 195 180 0 NA NA NA NA NA 192 162 22 NA NA NA NA NA 225 189 40 NA NA NA NA 
1789678800.0 1049.0 NA 129 0 NA NA NA NA NA NA 207 0 NA NA NA NA NA NA 539 62 NA NA NA NA NA NA 695 88 NA NA NA NA NA 
1789678800.0 105.0 136 187 111 NA NA NA NA NA 232 279 172 NA NA NA NA NA 596 156 154 NA NA NA NA NA 378 157 186 NA NA NA NA NA 
1789678800.0 1052.0 NA 222 155 0 NA NA NA NA NA 395 255 0 NA NA NA NA NA 320 170 23 NA NA NA NA NA 450 179 42 NA NA NA NA 
1789678800.0 106.0 117 0 0 NA NA NA NA NA 169 0 0 NA NA NA NA NA 224 65 527 NA NA NA NA NA 276 103 701 NA NA NA NA NA 
1789678800.0 107.0 151 197 394 NA NA NA NA NA 235 281 542 NA NA NA NA NA 848 163 656 NA NA NA NA NA 386 135 605 NA NA NA NA NA 
1789678800.0 108.0 166 192 394 NA NA NA NA NA 245 282 538 NA NA NA NA NA 804 164 688 NA NA NA NA NA 406 134 620 NA NA NA NA NA 
1789678800.0 10802.0 118 296 502 0 152 188 NA NA 174 404 710 0 229 303 NA NA 278 175 673 189 199 202 NA NA 354 134 645 205 205 209 NA NA 
1789678800.0 10803.0 179 303 512 0 152 202 NA NA 278 415 720 0 231 302 NA NA 2121 171 674 191 199 194 NA NA 946 135 645 217 240 204 NA NA 
1789678800.0 10804.31 115 300 501 0 154 199 NA NA 170 413 725 0 235 293 NA NA 225 173 684 192 197 195 NA NA 348 192 2263 225 224 206 NA NA 
1789678800.0 10805.31 119 294 503 0 154 186 NA NA 171 390 733 0 232 291 NA NA 280 177 702 192 202 204 NA NA 377 180 1424 229 224 297 NA NA 
1789678800.0 10807.0 115 297 502 0 178 186 NA NA 170 403 716 0 292 288 NA NA 207 178 690 194 210 207 NA NA 292 130 623 212 232 216 NA NA 
1789678800.0 10808.0 114 299 507 0 177 200 NA NA 172 396 704 0 292 297 NA NA 208 182 688 196 206 204 NA NA 271 135 710 229 214 210 NA NA 
1789678800.0 10809.0 116 297 508 0 180 189 NA NA 169 409 694 0 301 289 NA NA 230 186 707 194 208 200 NA NA 302 141 646 209 212 207 NA NA 
1789678800.0 10823.0 124 298 511 0 153 187 NA NA 180 394 703 0 227 296 NA NA 551 179 682 199 199 205 NA NA 354 127 623 220 223 212 NA NA 
1789678800.0 10824.0 135 306 522 0 182 195 NA NA 202 412 728 0 298 296 NA NA 918 195 748 214 207 212 NA NA 462 136 658 245 208 265 NA NA 
1789678800.0 10824.1 138 311 316 0 NA NA NA NA 198 407 484 0 NA NA NA NA 908 187 318 197 NA NA NA NA 423 129 264 220 NA NA NA NA 
1789678800.0 10824.6 135 307 530 0 182 192 NA NA 199 414 743 0 301 301 NA NA 931 194 772 216 215 205 NA NA 417 130 628 249 251 208 NA NA 
1789678800.0 10824.8 136 306 525 0 182 191 NA NA 199 397 731 0 295 301 NA NA 920 197 771 214 210 208 NA NA 409 131 714 250 247 216 NA NA 
1789678800.0 10826.0 142 316 534 0 158 200 NA NA 208 420 729 0 237 300 NA NA 1491 196 873 204 209 213 NA NA 635 139 659 223 267 235 NA NA 
1789678800.0 10842.0 129 300 513 0 181 188 NA NA 185 407 744 0 302 292 NA NA 446 161 702 205 209 209 NA NA 283 121 673 243 219 214 NA NA 
1789678800.0 10859.0 167 310 536 0 158 194 NA NA 236 428 751 0 239 302 NA NA 2748 208 1019 211 205 213 NA NA 933 171 799 233 221 226 NA NA 
1789678800.0 10871.0 145 310 522 0 157 189 NA NA 198 408 741 0 231 294 NA NA 1013 189 766 209 202 206 NA NA 454 136 699 232 218 224 NA NA 
1789678800.0 109.0 163 201 396 NA NA NA NA NA 239 289 543 NA NA NA NA NA 884 161 676 NA NA NA NA NA 381 129 592 NA NA NA NA NA 
1789678800.0 110.0 121 185 374 NA NA NA NA NA 172 277 519 NA NA NA NA NA 230 156 605 NA NA NA NA NA 220 146 615 NA NA NA NA NA 
1789678800.0 111.0 118 180 369 NA NA NA NA NA 195 273 527 NA NA NA NA NA 276 117 594 NA NA NA NA NA 233 159 623 NA NA NA NA NA 
1789678800.0 112.0 150 198 380 NA NA NA NA NA 240 287 518 NA NA NA NA NA 723 166 639 NA NA NA NA NA 347 138 581 NA NA NA NA NA 
1789678800.0 11224.0 136 269 518 0 NA NA NA NA 199 370 718 0 NA NA NA NA 963 179 774 210 NA NA NA NA 447 120 676 227 NA NA NA NA 
1789678800.0 11224.6 144 275 523 0 NA NA NA NA 200 367 709 0 NA NA NA NA 915 172 756 210 NA NA NA NA 409 108 607 231 NA NA NA NA 
1789678800.0 113.0 162 192 381 NA NA NA NA NA 237 279 530 NA NA NA NA NA 675 157 641 NA NA NA NA NA 343 135 623 NA NA NA NA NA 
1789678800.0 114.0 158 192 380 NA NA NA NA NA 228 281 554 NA NA NA NA NA 658 162 644 NA NA NA NA NA 334 156 654 NA NA NA NA NA 
1789678800.0 115.0 147 193 390 NA NA NA NA NA 235 287 538 NA NA NA NA NA 722 165 645 NA NA NA NA NA 363 146 614 NA NA NA NA NA 
1789678800.0 116.0 147 196 391 NA NA NA NA NA 234 279 551 NA NA NA NA NA 697 158 655 NA NA NA NA NA 367 130 609 NA NA NA NA NA 
1789678800.0 11603.0 194 312 551 0 154 NA NA NA 282 423 785 0 232 NA NA NA 2355 194 741 188 201 NA NA NA 1018 148 764 237 225 NA NA NA 
1789678800.0 11608.0 131 309 543 0 183 NA NA NA 174 414 753 0 300 NA NA NA 390 205 769 196 212 NA NA NA 603 217 707 225 219 NA NA NA 
1789678800.0 11609.0 131 312 549 0 183 NA NA NA 174 412 783 0 306 NA NA NA 413 203 771 197 211 NA NA NA 520 136 793 239 233 NA NA NA 
1789678800.0 11630.0 169 324 590 0 160 NA NA NA 239 441 807 0 238 NA NA NA 2986 238 1211 217 207 NA NA NA 1137 148 874 251 227 NA NA NA 
1789678800.0 11634.1 148 319 321 0 NA NA NA NA 192 433 489 0 NA NA NA NA 1054 215 317 190 NA NA NA NA 567 148 318 207 NA NA NA NA 
1789678800.0 11634.15 149 321 583 0 186 NA NA NA 192 437 819 0 307 NA NA NA 1077 222 942 210 209 NA NA NA 561 145 910 256 213 NA NA NA 
1789678800.0 11634.5 148 325 186 0 NA NA NA NA 194 422 326 0 NA NA NA NA 1035 212 193 79 NA NA NA NA 563 142 274 103 NA NA NA NA 
1789678800.0 11634.601 146 312 116 564 0 NA NA NA 204 420 187 789 0 NA NA NA 1045 213 63 855 213 NA NA NA 562 174 68 961 230 NA NA NA 
1789678800.0 11634.91 148 322 559 0 187 NA NA NA 201 421 781 0 308 NA NA NA 1048 221 851 211 211 NA NA NA 536 149 921 233 217 NA NA NA 
1789678800.0 11640.0 139 319 543 0 155 NA NA NA 180 416 780 0 234 NA NA NA 1185 199 748 201 204 NA NA NA 720 130 742 233 222 NA NA NA 
1789678800.0 11643.0 151 318 564 0 158 NA NA NA 192 416 793 0 241 NA NA NA 1192 225 875 212 205 NA NA NA 592 151 831 228 223 NA NA NA 
1789678800.0 11646.0 145 315 557 0 185 NA NA NA 187 421 777 0 314 NA NA NA 832 213 782 206 211 NA NA NA 518 133 726 248 222 NA NA NA 
1789678800.0 117.0 144 192 402 NA NA NA NA NA 236 284 536 NA NA NA NA NA 824 166 668 NA NA NA NA NA 392 139 590 NA NA NA NA NA 
1789678800.0 11723.17 168 327 571 0 NA NA NA NA 232 438 834 0 NA NA NA NA 2365 240 976 216 NA NA NA NA 988 179 842 239 NA NA NA NA 
1789678800.0 118.0 166 193 395 NA NA NA NA NA 237 276 561 NA NA NA NA NA 818 163 698 NA NA NA NA NA 388 137 669 NA NA NA NA NA 
1789678800.0 119.0 142 189 383 NA NA NA NA NA 241 277 541 NA NA NA NA NA 565 160 635 NA NA NA NA NA 330 141 593 NA NA NA NA NA 
1789678800.0 120.0 111 185 371 NA NA NA NA NA 193 282 526 NA NA NA NA NA 215 152 604 NA NA NA NA NA 232 138 631 NA NA NA NA NA 
1789678800.0 12034.0 147 280 557 0 NA NA NA NA 192 384 779 0 NA NA NA NA 1082 197 842 210 NA NA NA NA 584 129 751 224 NA NA NA NA 
1789678800.0 121.0 148 195 401 NA NA NA NA NA 246 284 543 NA NA NA NA NA 856 167 691 NA NA NA NA NA 409 137 704 NA NA NA NA NA 
1789678800.0 122.0 118 176 361 NA NA NA NA NA 182 264 527 NA NA NA NA NA 226 107 593 NA NA NA NA NA 218 129 639 NA NA NA NA NA 
1789678800.0 123.1 366 NA NA NA NA NA NA NA 545 NA NA NA NA NA NA NA 359 NA NA NA NA NA NA NA 328 NA NA NA NA NA NA NA 
1789678800.0 123.2 368 NA NA NA NA NA NA NA 544 NA NA NA NA NA NA NA 402 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 
1789678800.0 123.3 315 NA NA NA NA NA NA NA 436 NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA 
1789678800.0 124.1 354 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 312 NA NA NA NA NA NA NA 322 NA NA NA NA NA NA NA 
1789678800.0 124.2 361 NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA 335 NA NA NA NA NA NA NA 
1789678800.0 124.4 356 NA NA NA NA NA NA NA 504 NA NA NA NA NA NA NA 318 NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA 
1789678800.0 124.5 355 NA NA NA NA NA NA NA 508 NA NA NA NA NA NA NA 315 NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA 
1789678800.0 124.6 316 NA NA NA NA NA NA NA 437 NA NA NA NA NA NA NA 304 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 
1789678800.0 12434.0 146 314 512 0 185 NA NA NA 195 413 798 0 313 NA NA NA 1109 225 860 212 215 NA NA NA 643 142 843 239 222 NA NA NA 
1789678800.0 12434.511 146 316 159 0 NA NA NA NA 194 422 252 0 NA NA NA NA 1096 223 149 68 NA NA NA NA 698 148 163 91 NA NA NA NA 
