Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1788040800.0 1.0 160 181 299 NA NA NA NA NA 231 254 399 NA NA NA NA NA 677 146 356 NA NA NA NA NA 405 159 461 NA NA NA NA NA 
1788040800.0 10003.0 190 302 516 0 147 191 NA NA 279 392 686 0 216 283 NA NA 2121 156 680 175 188 192 NA NA 837 127 820 211 215 222 NA NA 
1788040800.0 10024.0 144 311 533 0 182 190 NA NA 198 395 712 0 292 280 NA NA 965 173 767 195 205 207 NA NA 439 151 725 302 272 289 NA NA 
1788040800.0 1003.0 NA 400 0 NA NA NA NA NA NA 634 0 NA NA NA NA NA NA 1131 106 NA NA NA NA NA NA 776 126 NA NA NA NA NA 
1788040800.0 1005.0 NA 235 161 0 0 NA NA NA NA 400 250 0 0 NA NA NA NA 348 171 33 30 NA NA NA NA 485 204 46 43 NA NA NA 
1788040800.0 101.0 184 NA NA NA NA NA NA NA 301 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA 
1788040800.0 102.0 181 NA NA NA NA NA NA NA 301 NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA 
1788040800.0 103.0 121 0 0 NA NA NA NA NA 168 0 0 NA NA NA NA NA 248 60 559 NA NA NA NA NA 323 72 651 NA NA NA NA NA 
1788040800.0 1046.0 NA 104 91 0 NA NA NA NA NA 176 156 0 NA NA NA NA NA 199 144 23 NA NA NA NA NA 239 175 45 NA NA NA NA 
1788040800.0 1047.0 NA 106 107 0 NA NA NA NA NA 174 175 0 NA NA NA NA NA 195 167 27 NA NA NA NA NA 368 220 38 NA NA NA NA 
1788040800.0 105.0 158 186 99 NA NA NA NA NA 232 265 154 NA NA NA NA NA 718 142 150 NA NA NA NA NA 405 137 213 NA NA NA NA NA 
1788040800.0 1052.0 NA 217 162 0 NA NA NA NA NA 375 248 0 NA NA NA NA NA 366 174 23 NA NA NA NA NA 492 198 35 NA NA NA NA 
1788040800.0 106.0 119 0 0 NA NA NA NA NA 166 0 0 NA NA NA NA NA 250 61 558 NA NA NA NA NA 242 81 809 NA NA NA NA NA 
1788040800.0 10804.31 114 282 491 0 141 175 NA NA 168 396 663 0 211 284 NA NA 270 230 843 226 201 220 NA NA 304 219 1197 252 218 239 NA NA 
1788040800.0 10805.31 126 293 510 0 147 188 NA NA 170 399 701 0 214 283 NA NA 289 169 769 190 216 202 NA NA 556 229 1496 234 234 226 NA NA 
1788040800.0 10823.0 135 295 505 0 148 186 NA NA 181 385 693 0 216 281 NA NA 668 180 719 191 204 201 NA NA 429 160 853 217 272 290 NA NA 
1788040800.0 10826.0 153 304 536 0 154 190 NA NA 209 393 723 0 223 286 NA NA 1560 191 874 200 204 208 NA NA 721 150 843 243 284 236 NA NA 
1788040800.0 10859.0 171 310 548 0 153 192 NA NA 241 412 725 0 220 281 NA NA 2766 190 993 200 194 197 NA NA 964 150 831 223 228 223 NA NA 
1788040800.0 10871.0 138 291 511 0 144 177 NA NA 201 394 703 0 219 283 NA NA 1108 191 833 211 199 225 NA NA 498 152 834 309 211 244 NA NA 
1788040800.0 110.0 113 173 361 NA NA NA NA NA 173 258 502 NA NA NA NA NA 231 155 641 NA NA NA NA NA 239 138 968 NA NA NA NA NA 
1788040800.0 111.0 126 172 362 NA NA NA NA NA 207 251 498 NA NA NA NA NA 359 122 644 NA NA NA NA NA 306 191 682 NA NA NA NA NA 
1788040800.0 11603.0 188 309 565 0 149 NA NA NA 267 408 777 0 220 NA NA NA 2301 189 739 181 199 NA NA NA 1118 147 815 222 281 NA NA NA 
1788040800.0 11630.0 174 320 590 0 152 NA NA NA 243 412 808 0 221 NA NA NA 3161 236 1286 224 207 NA NA NA 1381 148 1227 387 248 NA NA NA 
1788040800.0 11634.0 145 307 549 0 174 NA NA NA 192 402 770 0 289 NA NA NA 1288 246 1071 209 216 NA NA NA 666 181 972 237 256 NA NA NA 
1788040800.0 11634.91 144 302 553 0 175 NA NA NA 201 418 785 0 290 NA NA NA 1334 238 1126 210 212 NA NA NA 754 187 1088 228 226 NA NA NA 
1788040800.0 11640.0 138 301 531 0 143 NA NA NA 194 398 735 0 221 NA NA NA 1479 270 911 199 205 NA NA NA 899 212 885 222 217 NA NA NA 
1788040800.0 11646.0 144 303 543 0 174 NA NA NA 190 403 786 0 289 NA NA NA 1089 275 1061 203 215 NA NA NA 669 174 1162 228 233 NA NA NA 
1788040800.0 11723.17 166 317 557 0 NA NA NA NA 234 418 792 0 NA NA NA NA 2502 241 1047 215 NA NA NA NA 1007 162 886 236 NA NA NA NA 
1788040800.0 120.0 111 173 357 NA NA NA NA NA 180 257 505 NA NA NA NA NA 222 150 645 NA NA NA NA NA 213 188 851 NA NA NA NA NA 
1788040800.0 122.0 115 164 349 NA NA NA NA NA 182 245 499 NA NA NA NA NA 233 107 642 NA NA NA NA NA 251 135 794 NA NA NA NA NA 
1788040800.0 123.1 392 NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA 350 NA NA NA NA NA NA NA 369 NA NA NA NA NA NA NA 
1788040800.0 123.2 389 NA NA NA NA NA NA NA 509 NA NA NA NA NA NA NA 399 NA NA NA NA NA NA NA 316 NA NA NA NA NA NA NA 
1788040800.0 123.3 312 NA NA NA NA NA NA NA 405 NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA 384 NA NA NA NA NA NA NA 
1788040800.0 124.1 376 NA NA NA NA NA NA NA 486 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA 
1788040800.0 124.2 388 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA 339 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 
1788040800.0 124.4 377 NA NA NA NA NA NA NA 511 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 336 NA NA NA NA NA NA NA 
1788040800.0 124.5 377 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA 381 NA NA NA NA NA NA NA 
1788040800.0 124.6 311 NA NA NA NA NA NA NA 415 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 361 NA NA NA NA NA NA NA 
1788040800.0 12446.0 145 302 542 0 174 NA NA NA 202 398 756 0 286 NA NA NA 1043 268 922 206 215 NA NA NA 733 178 1121 227 231 NA NA NA 
1788040800.0 126.0 121 173 363 NA NA NA NA NA 186 267 501 NA NA NA NA NA 380 149 645 NA NA NA NA NA 276 175 759 NA NA NA NA NA 
1788040800.0 127.0 116 172 359 NA NA NA NA NA 172 265 513 NA NA NA NA NA 286 152 671 NA NA NA NA NA 262 196 1091 NA NA NA NA NA 
1788040800.0 128.0 113 172 356 NA NA NA NA NA 170 262 485 NA NA NA NA NA 220 148 625 NA NA NA NA NA 207 156 902 NA NA NA NA NA 
1788040800.0 12834.0 146 301 550 0 173 NA NA NA 194 411 781 0 290 NA NA NA 1250 262 1022 209 210 NA NA NA 717 195 887 231 225 NA NA NA 
1788040800.0 129.0 111 172 356 NA NA NA NA NA 169 261 511 NA NA NA NA NA 222 156 632 NA NA NA NA NA 228 151 873 NA NA NA NA NA 
1788040800.0 130.0 114 172 359 NA NA NA NA NA 175 257 500 NA NA NA NA NA 224 151 632 NA NA NA NA NA 312 148 780 NA NA NA NA NA 
1788040800.0 1301.0 146 227 322 NA NA NA NA NA 200 300 451 NA NA NA NA NA 637 146 396 NA NA NA NA NA 377 168 441 NA NA NA NA NA 
1788040800.0 1301.17 135 298 351 NA NA NA NA NA 186 395 515 NA NA NA NA NA 618 159 393 NA NA NA NA NA 377 128 531 NA NA NA NA NA 
1788040800.0 131.0 116 174 364 NA NA NA NA NA 171 265 522 NA NA NA NA NA 332 150 650 NA NA NA NA NA 244 190 659 NA NA NA NA NA 
1788040800.0 13234.0 81 599 0 NA NA NA NA NA 109 776 0 NA NA NA NA NA 61 805 107 NA NA NA NA NA 59 734 135 NA NA NA NA NA 
1788040800.0 135.1 418 0 222 175 NA NA NA NA 551 0 294 269 NA NA NA NA 389 103 255 155 NA NA NA NA 386 125 274 167 NA NA NA NA 
1788040800.0 135.11 422 0 231 175 NA NA NA NA 553 0 320 269 NA NA NA NA 479 105 315 149 NA NA NA NA 374 142 294 174 NA NA NA NA 
1788040800.0 135.12 416 0 219 174 NA NA NA NA 551 0 302 263 NA NA NA NA 377 103 240 147 NA NA NA NA 388 126 277 155 NA NA NA NA 
1788040800.0 135.13 418 0 NA NA NA NA NA NA 550 0 NA NA NA NA NA NA 375 122 NA NA NA NA NA NA 390 144 NA NA NA NA NA NA 
1788040800.0 135.2 344 0 216 172 NA NA NA NA 470 0 293 268 NA NA NA NA 336 89 222 145 NA NA NA NA 292 117 289 154 NA NA NA NA 
