Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1789981200.0 1.0 137 182 268 NA NA NA NA NA 229 265 412 NA NA NA NA NA 576 154 367 NA NA NA NA NA 346 159 469 NA NA NA NA NA 
1789981200.0 10001.0 123 309 504 0 153 189 NA NA 170 410 717 0 225 283 NA NA 231 168 669 180 196 192 NA NA 208 165 726 198 205 203 NA NA 
1789981200.0 10002.0 124 305 513 0 154 191 NA NA 169 409 717 0 225 282 NA NA 278 171 667 188 190 194 NA NA 235 158 758 233 201 221 NA NA 
1789981200.0 10005.0 126 313 511 0 150 188 NA NA 172 421 686 0 225 288 NA NA 268 164 649 185 197 209 NA NA 227 133 587 211 217 271 NA NA 
1789981200.0 1001.2 NA 559 221 0 0 0 0 NA NA 775 333 0 0 0 0 NA NA 4330 369 45 33 38 45 NA NA 1610 362 61 49 57 83 NA 
1789981200.0 1001.4 NA 540 175 0 0 0 NA NA NA 755 276 0 0 0 NA NA NA 3845 190 37 37 36 NA NA NA 1607 206 53 65 50 NA NA 
1789981200.0 10024.0 134 314 517 0 188 181 NA NA 196 406 714 0 297 282 NA NA 975 188 745 206 194 211 NA NA 562 144 723 264 237 339 NA NA 
1789981200.0 10025.0 139 315 520 0 159 192 NA NA 189 421 702 0 231 280 NA NA 649 172 688 205 194 198 NA NA 371 141 632 281 206 221 NA NA 
1789981200.0 1005.0 NA 229 156 0 0 NA NA NA NA 409 257 0 0 NA NA NA NA 316 165 35 29 NA NA NA NA 362 207 55 46 NA NA NA 
1789981200.0 10059.0 160 314 527 0 154 184 NA NA 237 422 739 0 230 294 NA NA 2643 196 936 205 190 215 NA NA 975 181 752 232 220 243 NA NA 
1789981200.0 10071.0 147 320 534 0 159 192 NA NA 199 417 742 0 229 293 NA NA 1021 185 765 215 201 213 NA NA 460 160 647 286 285 270 NA NA 
1789981200.0 101.0 179 NA NA NA NA NA NA NA 317 NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA 266 NA NA NA NA NA NA NA 
1789981200.0 102.0 177 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA 280 NA NA NA NA NA NA NA 
1789981200.0 103.0 109 0 0 NA NA NA NA NA 169 0 0 NA NA NA NA NA 224 61 486 NA NA NA NA NA 260 71 522 NA NA NA NA NA 
1789981200.0 1046.0 NA 111 94 0 NA NA NA NA NA 192 169 0 NA NA NA NA NA 177 137 24 NA NA NA NA NA 220 149 44 NA NA NA NA 
1789981200.0 1047.0 NA 111 113 0 NA NA NA NA NA 187 190 0 NA NA NA NA NA 176 161 29 NA NA NA NA NA 213 165 54 NA NA NA NA 
1789981200.0 1048.0 NA 108 105 0 NA NA NA NA NA 192 182 0 NA NA NA NA NA 179 159 23 NA NA NA NA NA 269 157 35 NA NA NA NA 
1789981200.0 105.0 138 186 103 NA NA NA NA NA 232 280 170 NA NA NA NA NA 672 160 145 NA NA NA NA NA 398 146 159 NA NA NA NA NA 
1789981200.0 1052.0 NA 227 151 0 NA NA NA NA NA 391 253 0 NA NA NA NA NA 293 164 24 NA NA NA NA NA 349 185 40 NA NA NA NA 
1789981200.0 106.0 108 0 0 NA NA NA NA NA 165 0 0 NA NA NA NA NA 233 65 483 NA NA NA NA NA 268 85 583 NA NA NA NA NA 
1789981200.0 10801.0 123 303 506 0 154 191 NA NA 168 402 706 0 231 286 NA NA 228 170 662 195 191 198 NA NA 215 128 642 288 205 217 NA NA 
1789981200.0 10802.0 126 305 500 0 149 193 NA NA 170 404 683 0 228 292 NA NA 272 167 669 189 201 201 NA NA 226 145 712 220 293 243 NA NA 
1789981200.0 10804.0 124 299 514 0 154 189 NA NA 169 392 686 0 227 279 NA NA 220 173 667 186 191 194 NA NA 211 157 644 214 230 209 NA NA 
1789981200.0 10804.31 116 299 493 0 154 179 NA NA 169 392 697 0 226 286 NA NA 227 174 661 188 185 198 NA NA 448 161 1133 290 229 215 NA NA 
