Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1787000400.0 141.044406 NA 209 223 0 NA NA 305 786 0 NA NA 257 497 59 NA NA 144 240 71 NA 
1787000400.0 141.044407 NA 206 236 0 NA NA 305 805 0 NA NA 259 553 67 NA NA 149 248 83 NA 
1787000400.0 141.044408 NA 207 184 NA NA NA 307 722 NA NA NA 259 96 NA NA NA 144 108 NA NA 
1787000400.0 141.044412 NA 206 197 0 NA NA 296 729 0 NA NA 260 179 64 NA NA 145 156 78 NA 
1787000400.0 141.044413 NA 207 197 0 NA NA 304 726 0 NA NA 260 212 68 NA NA 152 165 81 NA 
1787000400.0 141.044414 NA 206 127 NA NA NA 305 629 NA NA NA 258 67 NA NA NA 142 82 NA NA 
1787000400.0 141.044422 NA 208 212 0 NA NA 304 735 0 NA NA 257 204 64 NA NA 149 162 83 NA 
1787000400.0 141.044423 NA 209 213 0 NA NA 310 731 0 NA NA 250 202 68 NA NA 139 154 84 NA 
1787000400.0 141.044424 NA 206 126 NA NA NA 302 624 NA NA NA 256 68 NA NA NA 148 81 NA NA 
1787000400.0 141.044483 NA 331 0 NA NA NA 923 0 NA NA NA 478 92 NA NA NA 261 112 NA NA 
1787000400.0 160.03502 121 233 99 494 180 162 341 148 1091 271 650 129 76 497 159 458 124 120 477 165 
1787000400.0 18434.402 142 666 310 0 NA 195 1381 947 0 NA 1053 593 274 90 NA 553 444 262 105 NA 
1787000400.0 18434.403 144 669 319 0 NA 193 1416 957 0 NA 1048 601 284 96 NA 551 490 269 114 NA 
1787000400.0 18434.404 143 668 192 NA NA 192 1367 733 NA NA 1060 588 115 NA NA 558 449 129 NA NA 
1787000400.0 18434.406 142 668 310 0 NA 192 1376 933 0 NA 1054 595 278 96 NA 563 459 266 112 NA 
1787000400.0 18434.407 144 672 317 0 NA 189 1385 953 0 NA 1052 609 282 97 NA 551 496 263 114 NA 
1787000400.0 18434.408 142 664 196 NA NA 192 1351 732 NA NA 1050 588 116 NA NA 548 451 130 NA NA 
1787000400.0 18434.412 141 671 284 0 NA 192 1364 906 0 NA 1050 595 262 66 NA 552 445 255 79 NA 
