Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1789722000.0 141.044406 NA 222 203 0 NA NA 309 834 0 NA NA 291 726 70 NA NA 171 357 86 NA 
1789722000.0 141.044407 NA 219 217 0 NA NA 295 845 0 NA NA 283 705 83 NA NA 163 312 102 NA 
1789722000.0 141.044408 NA 225 165 NA NA NA 319 766 NA NA NA 291 106 NA NA NA 170 118 NA NA 
1789722000.0 141.044412 NA 221 182 0 NA NA 312 767 0 NA NA 283 214 78 NA NA 165 189 95 NA 
1789722000.0 141.044413 NA 220 183 0 NA NA 309 770 0 NA NA 287 251 87 NA NA 169 195 106 NA 
1789722000.0 141.044414 NA 219 134 NA NA NA 301 677 NA NA NA 277 81 NA NA NA 160 98 NA NA 
1789722000.0 141.044422 NA 220 182 0 NA NA 305 759 0 NA NA 286 231 72 NA NA 191 182 89 NA 
1789722000.0 141.044423 NA 221 182 0 NA NA 311 752 0 NA NA 288 232 85 NA NA 166 177 109 NA 
1789722000.0 141.044424 NA 221 132 NA NA NA 306 675 NA NA NA 290 82 NA NA NA 169 100 NA NA 
1789722000.0 141.044483 NA 271 0 NA NA NA 913 0 NA NA NA 558 111 NA NA NA 321 132 NA NA 
1789722000.0 160.03502 127 242 112 500 193 162 344 147 1157 274 754 130 55 556 188 529 129 69 558 225 
1789722000.0 18434.402 154 624 259 0 NA 193 1369 877 0 NA 1194 635 251 105 NA 622 444 239 123 NA 
1789722000.0 18434.403 154 620 265 0 NA 201 1340 877 0 NA 1222 632 265 114 NA 753 505 248 131 NA 
1789722000.0 18434.404 156 596 162 NA NA 206 1340 761 NA NA 1186 617 111 NA NA 612 430 128 NA NA 
1789722000.0 18434.406 155 623 260 0 NA 198 1368 870 0 NA 1227 640 248 112 NA 648 444 233 136 NA 
1789722000.0 18434.407 155 621 267 0 NA 206 1375 889 0 NA 1204 639 263 112 NA 712 450 241 131 NA 
1789722000.0 18434.408 156 593 163 NA NA 207 1305 765 NA NA 1240 640 108 NA NA 633 632 121 NA NA 
