Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1787907600.0 141.044406 NA 221 206 0 NA NA 313 797 0 NA NA 277 583 71 NA NA 169 280 89 NA 
1787907600.0 141.044407 NA 221 216 0 NA NA 314 810 0 NA NA 278 666 84 NA NA 163 305 102 NA 
1787907600.0 141.044408 NA 220 164 NA NA NA 302 760 NA NA NA 280 104 NA NA NA 165 121 NA NA 
1787907600.0 141.044412 NA 221 183 0 NA NA 303 749 0 NA NA 285 206 72 NA NA 173 183 89 NA 
1787907600.0 141.044413 NA 221 185 0 NA NA 309 750 0 NA NA 274 254 89 NA NA 165 194 109 NA 
1787907600.0 141.044414 NA 221 134 NA NA NA 301 668 NA NA NA 271 81 NA NA NA 165 98 NA NA 
1787907600.0 141.044422 NA 222 183 0 NA NA 315 727 0 NA NA 284 242 71 NA NA 170 204 89 NA 
1787907600.0 141.044423 NA 220 182 0 NA NA 304 725 0 NA NA 293 254 82 NA NA 167 204 103 NA 
1787907600.0 141.044424 NA 224 132 NA NA NA 312 668 NA NA NA 283 80 NA NA NA 168 99 NA NA 
1787907600.0 141.044483 NA 273 0 NA NA NA 905 0 NA NA NA 582 115 NA NA NA 332 140 NA NA 
1787907600.0 160.03502 128 244 111 496 194 172 335 145 1122 278 746 130 55 578 182 520 131 73 625 201 
1787907600.0 18434.402 155 672 310 0 NA 197 1389 958 0 NA 1196 681 334 106 NA 621 513 329 125 NA 
1787907600.0 18434.403 157 632 317 0 NA 200 1370 967 0 NA 1188 713 326 121 NA 791 604 314 140 NA 
1787907600.0 18434.404 155 656 177 NA NA 204 1374 761 NA NA 1183 692 134 NA NA 622 510 154 NA NA 
1787907600.0 18434.406 154 678 310 0 NA 194 1386 966 0 NA 1220 694 330 114 NA 640 520 321 129 NA 
1787907600.0 18434.407 155 672 317 0 NA 196 1366 963 0 NA 1219 692 311 115 NA 649 565 300 133 NA 
1787907600.0 18434.408 154 651 177 NA NA 200 1355 754 NA NA 1211 697 128 NA NA 640 511 146 NA NA 
1787907600.0 18434.412 156 676 286 0 NA 197 1375 925 0 NA 1187 689 283 78 NA 614 518 279 95 NA 
1787907600.0 18434.413 156 683 286 0 NA 196 1399 930 0 NA 1210 683 294 76 NA 629 502 288 92 NA 
1787907600.0 18434.422 154 677 276 0 NA 197 1366 886 0 NA 1193 698 305 71 NA 626 536 297 85 NA 
1787907600.0 18434.423 156 673 278 0 NA 207 1380 889 0 NA 1215 690 299 71 NA 627 512 287 85 NA 
1787907600.0 18434.424 155 652 179 NA NA 206 1352 720 NA NA 1210 693 162 NA NA 636 523 172 NA NA 
1787907600.0 18450.402 151 650 303 0 NA 197 1353 939 0 NA 743 638 301 98 NA 517 495 293 115 NA 
1787907600.0 18450.403 150 646 309 0 NA 186 1378 952 0 NA 744 651 306 113 NA 513 521 298 132 NA 
1787907600.0 18450.404 150 628 176 NA NA 188 1329 768 NA NA 779 634 126 NA NA 533 496 142 NA NA 
1787907600.0 18450.406 152 651 303 0 NA 191 1333 948 0 NA 747 642 315 107 NA 513 497 319 127 NA 
1787907600.0 18450.407 150 650 311 0 NA 196 1352 962 0 NA 742 647 302 107 NA 518 510 297 125 NA 
1787907600.0 18450.408 150 627 178 NA NA 197 1319 764 NA NA 754 635 128 NA NA 526 494 145 NA NA 
1787907600.0 18461.402 140 629 286 0 NA 180 1313 906 0 NA 430 629 294 90 NA 395 488 292 110 NA 
