Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1788382800.0 141.044406 NA 222 215 0 NA NA 310 827 0 NA NA 296 652 72 NA NA 171 300 92 NA 
1788382800.0 141.044407 NA 220 227 0 NA NA 315 850 0 NA NA 283 788 89 NA NA 178 334 108 NA 
1788382800.0 141.044408 NA 222 165 NA NA NA 308 771 NA NA NA 293 109 NA NA NA 170 129 NA NA 
1788382800.0 141.044412 NA 221 195 0 NA NA 307 783 0 NA NA 292 220 80 NA NA 175 194 98 NA 
1788382800.0 141.044413 NA 224 191 0 NA NA 310 778 0 NA NA 288 256 93 NA NA 176 205 111 NA 
1788382800.0 141.044414 NA 222 135 NA NA NA 302 680 NA NA NA 277 84 NA NA NA 164 106 NA NA 
1788382800.0 141.044422 NA 224 192 0 NA NA 318 772 0 NA NA 301 245 74 NA NA 174 211 93 NA 
1788382800.0 141.044423 NA 223 193 0 NA NA 302 770 0 NA NA 281 240 85 NA NA 169 187 104 NA 
1788382800.0 141.044424 NA 221 134 NA NA NA 303 680 NA NA NA 291 84 NA NA NA 169 109 NA NA 
1788382800.0 141.044483 NA 281 0 NA NA NA 970 0 NA NA NA 547 112 NA NA NA 298 145 NA NA 
1788382800.0 160.03502 138 243 111 511 194 175 332 150 1163 279 755 132 55 568 190 535 151 67 794 207 
1788382800.0 18434.402 156 621 321 0 NA 197 1448 982 0 NA 1212 707 326 110 NA 651 551 317 130 NA 
1788382800.0 18434.403 155 675 325 0 NA 196 1430 993 0 NA 1194 697 326 118 NA 1060 535 313 134 NA 
1788382800.0 18434.404 155 654 180 NA NA 205 1412 789 NA NA 1252 699 139 NA NA 652 516 218 NA NA 
1788382800.0 18434.406 157 674 321 0 NA 204 1433 982 0 NA 1233 712 333 118 NA 661 686 325 181 NA 
1788382800.0 18434.407 155 670 326 0 NA 195 1446 1001 0 NA 1188 716 321 115 NA 627 551 310 136 NA 
1788382800.0 18434.408 157 651 181 NA NA 208 1418 787 NA NA 1226 695 133 NA NA 635 515 151 NA NA 
1788382800.0 18434.412 155 671 289 0 NA 199 1428 945 0 NA 1205 712 309 79 NA 638 547 302 97 NA 
1788382800.0 18434.413 156 672 295 0 NA 196 1429 956 0 NA 1228 690 300 81 NA 651 593 298 98 NA 
1788382800.0 18434.422 156 674 287 0 NA 203 1440 936 0 NA 1221 715 293 76 NA 646 526 285 93 NA 
1788382800.0 18434.423 155 674 290 0 NA 197 1441 936 0 NA 1210 716 312 76 NA 621 528 296 91 NA 
1788382800.0 18434.424 156 651 180 NA NA 203 1411 750 NA NA 1251 697 164 NA NA 655 509 171 NA NA 
1788382800.0 18450.402 152 653 312 0 NA 203 1410 980 0 NA 744 652 296 106 NA 510 492 291 125 NA 
1788382800.0 18450.403 151 609 317 0 NA 189 1408 979 0 NA 753 653 318 115 NA 519 552 306 134 NA 
1788382800.0 18450.404 151 630 109 NA NA 198 1412 803 NA NA 743 648 130 NA NA 521 506 193 NA NA 
1788382800.0 18450.406 151 590 315 0 NA 189 1375 976 0 NA 751 651 317 109 NA 518 509 316 124 NA 
1788382800.0 18450.407 151 655 317 0 NA 188 1418 986 0 NA 755 650 300 111 NA 521 494 291 126 NA 
1788382800.0 18450.408 151 628 179 NA NA 187 1393 781 NA NA 749 635 135 NA NA 515 486 218 NA NA 
1788382800.0 18461.402 131 631 294 0 NA 165 1357 942 0 NA 454 640 298 91 NA 404 488 297 109 NA 
1788382800.0 37634.402 NA 877 442 0 NA NA 6387 1108 0 NA NA 943 454 103 NA NA 559 381 120 NA 
1788382800.0 37634.4021 NA 881 452 0 NA NA 6434 1169 0 NA NA 944 465 109 NA NA 566 392 123 NA 
1788382800.0 37634.403 NA 882 454 0 NA NA 6365 1131 0 NA NA 922 456 113 NA NA 551 387 134 NA 
1788382800.0 37634.404 NA 858 258 NA NA NA 6363 989 NA NA NA 938 248 NA NA NA 866 275 NA NA 
1788382800.0 37634.406 NA 879 473 0 NA NA 6412 1138 0 NA NA 915 458 109 NA NA 543 386 124 NA 
1788382800.0 37634.612 NA 323 269 0 NA NA 454 883 0 NA NA 2634 412 98 NA NA 2517 262 121 NA 
1788382800.0 37634.712 NA 858 410 0 NA NA 1866 1013 0 NA NA 939 469 132 NA NA 630 399 150 NA 
1788382800.0 37634.713 NA 857 417 0 NA NA 1965 1004 0 NA NA 930 469 129 NA NA 550 397 146 NA 
1788382800.0 37634.7503 NA 937 0 NA NA NA 6450 0 NA NA NA 1126 111 NA NA NA 762 129 NA NA 
1788382800.0 37634.751 NA 905 0 NA NA NA 6460 0 NA NA NA 1069 109 NA NA NA 633 127 NA NA 
1788382800.0 37661.402 NA 822 388 0 NA NA 6292 1012 0 NA NA 791 415 87 NA NA 512 387 104 NA 
1788382800.0 37661.751 NA 826 0 NA NA NA 1688 0 NA NA NA 905 98 NA NA NA 565 114 NA NA 
1788382800.0 37834.402 NA 1650 965 0 NA NA 7784 1864 0 NA NA 6843 1765 129 NA NA 3362 939 149 NA 
1788382800.0 37834.4021 NA 1608 980 0 NA NA 7744 1895 0 NA NA 7078 1707 128 NA NA 3421 805 145 NA 
1788382800.0 37834.403 NA 1652 972 0 NA NA 7913 1902 0 NA NA 6463 1833 141 NA NA 2991 834 161 NA 
1788382800.0 37834.404 NA 1844 265 NA NA NA 7884 993 NA NA NA 7428 241 NA NA NA 2684 258 NA NA 
1788382800.0 37834.712 NA 1653 974 0 NA NA 3326 1977 0 NA NA 7026 2387 164 NA NA 3527 910 183 NA 
1788382800.0 37834.713 NA 1709 1089 0 NA NA 3288 2017 0 NA NA 6784 3013 165 NA NA 3404 1114 188 NA 
1788382800.0 37834.7503 NA 1889 0 NA NA NA 8106 0 NA NA NA 9470 128 NA NA NA 3649 145 NA NA 
1788382800.0 37834.751 NA 1700 0 NA NA NA 7792 0 NA NA NA 7883 123 NA NA NA 3444 139 NA NA 
