Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1787346000.0 1.0 163 186 307 NA NA NA NA NA 236 268 411 NA NA NA NA NA 566 139 343 NA NA NA NA NA 348 124 437 NA NA NA NA NA 
1787346000.0 10003.0 186 311 527 0 158 196 NA NA 283 405 715 0 223 282 NA NA 1960 150 627 163 193 185 NA NA 853 149 630 185 229 227 NA NA 
1787346000.0 1003.0 NA 408 0 NA NA NA NA NA NA 661 0 NA NA NA NA NA NA 1075 104 NA NA NA NA NA NA 747 118 NA NA NA NA NA 
1787346000.0 1005.0 NA 230 167 0 0 NA NA NA NA 385 255 0 0 NA NA NA NA 284 166 31 28 NA NA NA NA 406 219 43 54 NA NA NA 
1787346000.0 101.0 191 NA NA NA NA NA NA NA 312 NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA 258 NA NA NA NA NA NA NA 
1787346000.0 102.0 187 NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA 285 NA NA NA NA NA NA NA 271 NA NA NA NA NA NA NA 
1787346000.0 103.0 126 0 0 NA NA NA NA NA 177 0 0 NA NA NA NA NA 217 49 464 NA NA NA NA NA 265 71 495 NA NA NA NA NA 
1787346000.0 1049.0 NA 124 0 NA NA NA NA NA NA 196 0 NA NA NA NA NA NA 474 50 NA NA NA NA NA NA 590 85 NA NA NA NA NA 
1787346000.0 105.0 163 190 106 NA NA NA NA NA 239 275 163 NA NA NA NA NA 568 138 143 NA NA NA NA NA 338 138 162 NA NA NA NA NA 
1787346000.0 1052.0 NA 233 168 0 NA NA NA NA NA 384 260 0 NA NA NA NA NA 342 164 22 NA NA NA NA NA 462 190 32 NA NA NA NA 
1787346000.0 106.0 120 0 0 NA NA NA NA NA 174 0 0 NA NA NA NA NA 220 48 471 NA NA NA NA NA 296 62 522 NA NA NA NA NA 
1787346000.0 10803.0 194 302 521 0 159 195 NA NA 284 393 726 0 230 283 NA NA 2054 157 635 166 191 183 NA NA 843 138 675 240 230 195 NA NA 
1787346000.0 10804.31 129 301 511 0 158 183 NA NA 178 399 698 0 223 284 NA NA 213 152 642 161 189 191 NA NA 380 136 1496 212 205 269 NA NA 
1787346000.0 10805.31 133 301 507 0 155 189 NA NA 180 388 714 0 222 279 NA NA 264 152 634 164 199 185 NA NA 333 225 1519 212 295 203 NA NA 
1787346000.0 10826.0 157 313 536 0 166 197 NA NA 216 413 742 0 237 283 NA NA 1426 184 826 186 194 191 NA NA 630 133 732 206 210 238 NA NA 
1787346000.0 10859.0 172 314 536 0 160 189 NA NA 252 403 735 0 237 292 NA NA 2667 187 964 187 199 194 NA NA 1023 162 920 243 243 206 NA NA 
1787346000.0 11630.0 181 324 587 0 164 NA NA NA 238 435 786 0 239 NA NA NA 2859 213 1139 188 202 NA NA NA 1109 140 908 225 217 NA NA NA 
1787346000.0 123.1 400 NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA 334 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 
1787346000.0 123.2 406 NA NA NA NA NA NA NA 529 NA NA NA NA NA NA NA 373 NA NA NA NA NA NA NA 358 NA NA NA NA NA NA NA 
1787346000.0 123.3 319 NA NA NA NA NA NA NA 433 NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA 325 NA NA NA NA NA NA NA 
1787346000.0 124.1 351 NA NA NA NA NA NA NA 482 NA NA NA NA NA NA NA 293 NA NA NA NA NA NA NA 389 NA NA NA NA NA NA NA 
1787346000.0 124.2 398 NA NA NA NA NA NA NA 505 NA NA NA NA NA NA NA 321 NA NA NA NA NA NA NA 275 NA NA NA NA NA NA NA 
1787346000.0 124.4 354 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA 
1787346000.0 124.5 357 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA 
1787346000.0 124.6 317 NA NA NA NA NA NA NA 430 NA NA NA NA NA NA NA 281 NA NA NA NA NA NA NA 281 NA NA NA NA NA NA NA 
1787346000.0 128.0 119 180 365 NA NA NA NA NA 177 270 513 NA NA NA NA NA 212 202 887 NA NA NA NA NA 235 184 898 NA NA NA NA NA 
1787346000.0 129.0 117 179 353 NA NA NA NA NA 177 270 514 NA NA NA NA NA 214 194 864 NA NA NA NA NA 221 201 882 NA NA NA NA NA 
1787346000.0 1301.0 151 234 329 NA NA NA NA NA 207 316 450 NA NA NA NA NA 544 135 340 NA NA NA NA NA 382 121 459 NA NA NA NA NA 
