Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1787173200.0 140.051 NA 256 632 NA NA 373 951 NA NA 301 5005 NA NA 256 2084 NA 
1787173200.0 144.6 NA 415 NA NA NA 543 NA NA NA 1356 NA NA NA 1105 NA NA 
1787173200.0 146.103 NA 254 786 0 NA 397 1183 0 NA 432 14089 194 NA 445 8482 218 
1787173200.0 2500.1502 NA 138 NA NA NA 243 NA NA NA 8391 NA NA NA 8438 NA NA 
1787173200.0 2500.1504 NA 138 NA NA NA 244 NA NA NA 11003 NA NA NA 10022 NA NA 
1787173200.0 2500.2311 NA 80 NA NA NA 164 NA NA NA 70 NA NA NA 124 NA NA 
1787173200.0 37634.0 NA 696 822 NA NA 1070 980 NA NA 927 1206 NA NA 664 1262 NA 
1787173200.0 37634.702 NA 773 843 NA NA 1058 1018 NA NA 1228 1444 NA NA 788 1265 NA 
1787173200.0 37634.9 NA 772 842 NA NA 1057 1025 NA NA 1267 1485 NA NA 840 1318 NA 
1787173200.0 37834.0 NA 1635 2387 NA NA 2348 2915 NA NA 6807 3276 NA NA 2846 1941 NA 
1787173200.0 77.0 161 NA NA NA 375 NA NA NA 157 NA NA NA 174 NA NA NA 
