Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1787950800.0 1.0 175 190 288 NA NA NA NA NA NA 246 269 396 NA NA NA NA NA NA 621 144 355 NA NA NA NA NA NA 422 140 406 NA NA NA NA NA NA 
1787950800.0 10.0 174 225 439 0 NA NA NA NA NA 248 312 594 0 NA NA NA NA NA 619 204 673 146 NA NA NA NA NA 326 205 651 158 NA NA NA NA NA 
1787950800.0 1000.0 NA 394 262 0 130 NA NA NA NA NA 518 347 0 199 NA NA NA NA NA 1273 202 121 194 NA NA NA NA NA 882 208 150 212 NA NA NA NA 
1787950800.0 10001.0 138 341 560 0 182 185 NA NA NA 187 444 743 0 250 272 NA NA NA 304 321 892 176 220 198 NA NA NA 268 277 844 194 223 197 NA NA NA 
1787950800.0 10002.0 141 340 565 0 182 189 NA NA NA 189 442 735 0 248 282 NA NA NA 376 312 962 174 220 201 NA NA NA 346 272 988 192 227 199 NA NA NA 
1787950800.0 10003.0 189 341 557 0 182 189 NA NA NA 286 434 748 0 248 289 NA NA NA 2636 246 822 180 220 198 NA NA NA 1255 206 959 207 219 204 NA NA NA 
1787950800.0 10004.0 139 340 559 0 183 188 NA NA NA 186 435 729 0 251 283 NA NA NA 325 320 811 170 223 197 NA NA NA 288 281 834 182 231 197 NA NA NA 
1787950800.0 10005.0 141 340 562 0 183 185 NA NA NA 188 434 751 0 257 272 NA NA NA 369 304 1090 170 223 201 NA NA NA 287 253 1056 188 225 205 NA NA NA 
1787950800.0 10006.0 138 340 557 0 181 189 NA NA NA 185 443 751 0 248 283 NA NA NA 289 279 960 170 220 198 NA NA NA 285 242 954 193 224 201 NA NA NA 
1787950800.0 10007.0 139 342 561 0 211 190 NA NA NA 184 450 744 0 334 283 NA NA NA 286 345 1011 173 225 200 NA NA NA 273 298 991 196 238 211 NA NA NA 
1787950800.0 10008.0 137 342 565 0 210 190 NA NA NA 182 436 734 0 325 290 NA NA NA 289 297 967 174 230 200 NA NA NA 276 234 961 192 245 218 NA NA NA 
1787950800.0 10009.0 140 343 567 0 210 190 NA NA NA 189 431 756 0 325 288 NA NA NA 313 267 1007 174 225 207 NA NA NA 268 244 991 189 236 240 NA NA NA 
1787950800.0 1001.0 NA 373 231 0 0 0 0 0 0 NA 522 316 0 0 0 0 0 0 NA 1509 257 34 22 35 71 43 72 NA 1127 260 43 33 48 82 55 82 
1787950800.0 1001.2 NA 599 367 0 0 0 0 NA NA NA 811 500 0 0 0 0 NA NA NA 4649 374 45 32 47 52 NA NA NA 1749 272 66 45 65 63 NA NA 
1787950800.0 1001.3 NA 576 296 0 NA NA NA NA NA NA 784 398 0 NA NA NA NA NA NA 3643 277 88 NA NA NA NA NA NA 1575 289 106 NA NA NA NA NA 
1787950800.0 1001.4 NA 571 250 0 0 0 NA NA NA NA 787 354 0 0 0 NA NA NA NA 3989 228 44 46 42 NA NA NA NA 1725 228 53 60 53 NA NA NA 
1787950800.0 1002.0 NA 417 152 NA NA NA NA NA NA NA 547 183 NA NA NA NA NA NA NA 1251 94 NA NA NA NA NA NA NA 979 85 NA NA NA NA NA NA 
1787950800.0 1002.3 NA 557 330 0 NA NA NA NA NA NA 752 440 0 NA NA NA NA NA NA 2865 367 88 NA NA NA NA NA NA 1394 378 99 NA NA NA NA NA 
1787950800.0 1002.4 NA 573 0 NA NA NA NA NA NA NA 800 0 NA NA NA NA NA NA NA 4249 162 NA NA NA NA NA NA NA 1772 179 NA NA NA NA NA NA 
1787950800.0 10024.0 157 352 590 0 216 192 NA NA NA 210 448 768 0 329 291 NA NA NA 1227 349 1126 190 230 205 NA NA NA 587 292 1043 205 238 209 NA NA NA 
1787950800.0 10024.1 158 354 370 0 NA NA NA NA NA 209 459 534 0 NA NA NA NA NA 920 223 357 170 NA NA NA NA NA 440 179 341 187 NA NA NA NA NA 
1787950800.0 10024.2 150 353 586 0 NA NA NA NA NA 212 462 750 0 NA NA NA NA NA 996 234 816 182 NA NA NA NA NA 478 199 807 222 NA NA NA NA NA 
1787950800.0 10024.3 158 353 340 0 NA NA NA NA NA 211 459 475 0 NA NA NA NA NA 912 228 320 142 NA NA NA NA NA 428 181 336 160 NA NA NA NA NA 
1787950800.0 10024.4 158 355 579 0 NA NA NA NA NA 208 453 732 0 NA NA NA NA NA 943 237 800 170 NA NA NA NA NA 432 197 853 184 NA NA NA NA NA 
1787950800.0 10025.0 152 345 573 0 184 188 NA NA NA 201 445 758 0 253 279 NA NA NA 809 308 1154 185 226 205 NA NA NA 449 261 1178 198 233 217 NA NA NA 
1787950800.0 1003.0 NA 425 0 NA NA NA NA NA NA NA 649 0 NA NA NA NA NA NA NA 1085 105 NA NA NA NA NA NA NA 698 133 NA NA NA NA NA NA 
1787950800.0 10042.0 149 345 579 0 212 190 NA NA NA 197 445 757 0 329 283 NA NA NA 604 270 990 187 228 206 NA NA NA 386 243 882 202 235 231 NA NA NA 
1787950800.0 1005.0 NA 215 159 0 0 NA NA NA NA NA 383 248 0 0 NA NA NA NA NA 336 169 31 27 NA NA NA NA NA 472 197 48 35 NA NA NA NA 
1787950800.0 10059.0 183 356 597 0 185 191 NA NA NA 254 458 755 0 261 275 NA NA NA 2761 264 1109 198 230 202 NA NA NA 1124 250 856 233 245 199 NA NA NA 
1787950800.0 10071.0 161 348 581 0 187 186 NA NA NA 214 442 781 0 257 285 NA NA NA 1083 266 911 189 224 214 NA NA NA 514 305 804 203 227 239 NA NA NA 
1787950800.0 101.0 190 NA NA NA NA NA NA NA NA 317 NA NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA NA 321 NA NA NA NA NA NA NA NA 
1787950800.0 1010.0 NA 96 118 0 NA NA NA NA NA NA 171 183 0 NA NA NA NA NA NA 134 149 51 NA NA NA NA NA NA 180 219 76 NA NA NA NA NA 
1787950800.0 102.0 177 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 286 NA NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA NA 
1787950800.0 103.0 147 206 414 NA NA NA NA NA NA 204 283 572 NA NA NA NA NA NA 291 169 662 NA NA NA NA NA NA 314 224 1006 NA NA NA NA NA NA 
1787950800.0 1030.0 NA 293 107 0 0 NA NA NA NA NA 452 166 0 0 NA NA NA NA NA 2145 150 20 20 NA NA NA NA NA 846 177 31 37 NA NA NA NA 
1787950800.0 1040.0 NA 517 94 0 NA NA NA NA NA NA 711 153 0 NA NA NA NA NA NA 3803 134 42 NA NA NA NA NA NA 1357 143 52 NA NA NA NA NA 
1787950800.0 10424.0 158 307 583 0 NA NA NA NA NA 211 409 737 0 NA NA NA NA NA 965 226 840 188 NA NA NA NA NA 428 210 772 206 NA NA NA NA NA 
1787950800.0 1046.0 NA 113 101 0 NA NA NA NA NA NA 186 161 0 NA NA NA NA NA NA 173 132 21 NA NA NA NA NA NA 202 150 46 NA NA NA NA NA 
1787950800.0 1047.0 NA 114 117 0 NA NA NA NA NA NA 187 179 0 NA NA NA NA NA NA 172 147 25 NA NA NA NA NA NA 207 143 36 NA NA NA NA NA 
1787950800.0 1048.0 NA 113 104 0 NA NA NA NA NA NA 189 174 0 NA NA NA NA NA NA 171 147 21 NA NA NA NA NA NA 190 148 31 NA NA NA NA NA 
1787950800.0 1049.0 NA 126 0 NA NA NA NA NA NA NA 210 0 NA NA NA NA NA NA NA 508 51 NA NA NA NA NA NA NA 685 93 NA NA NA NA NA NA 
1787950800.0 105.0 170 221 143 NA NA NA NA NA NA 245 305 207 NA NA NA NA NA NA 690 207 208 NA NA NA NA NA NA 409 210 226 NA NA NA NA NA NA 
1787950800.0 1052.0 NA 225 165 0 NA NA NA NA NA NA 391 250 0 NA NA NA NA NA NA 334 170 22 NA NA NA NA NA NA 510 280 36 NA NA NA NA NA 
1787950800.0 106.0 134 0 0 NA NA NA NA NA NA 186 0 0 NA NA NA NA NA NA 225 125 567 NA NA NA NA NA NA 249 160 828 NA NA NA NA NA NA 
1787950800.0 107.0 178 226 443 NA NA NA NA NA NA 247 316 570 NA NA NA NA NA NA 855 214 709 NA NA NA NA NA NA 396 192 673 NA NA NA NA NA NA 
1787950800.0 108.0 185 228 447 NA NA NA NA NA NA 263 309 596 NA NA NA NA NA NA 824 227 737 NA NA NA NA NA NA 391 219 716 NA NA NA NA NA NA 
1787950800.0 10801.0 135 333 560 0 182 185 NA NA NA 181 432 761 0 249 272 NA NA NA 290 367 815 172 223 202 NA NA NA 274 297 868 188 230 217 NA NA NA 
1787950800.0 10802.0 140 333 562 0 182 189 NA NA NA 190 428 751 0 249 288 NA NA NA 389 296 934 175 224 203 NA NA NA 310 231 979 196 232 209 NA NA NA 
1787950800.0 10803.0 194 334 562 0 182 190 NA NA NA 306 412 750 0 252 290 NA NA NA 2094 218 719 168 214 185 NA NA NA 974 192 749 234 276 212 NA NA NA 
1787950800.0 10804.0 137 332 561 0 182 191 NA NA NA 185 428 779 0 250 282 NA NA NA 305 320 933 173 221 193 NA NA NA 274 270 1005 186 227 193 NA NA NA 
1787950800.0 10804.31 138 332 549 0 180 158 NA NA NA 183 414 733 0 248 286 NA NA NA 297 260 819 189 226 204 NA NA NA 268 226 1320 269 238 240 NA NA NA 
1787950800.0 10805.0 139 331 560 0 183 186 NA NA NA 188 417 754 0 249 272 NA NA NA 368 291 1050 175 225 203 NA NA NA 289 247 1015 195 229 214 NA NA NA 
1787950800.0 10805.31 141 326 552 0 180 186 NA NA NA 189 426 747 0 247 287 NA NA NA 359 328 841 171 222 202 NA NA NA 282 343 1140 186 242 206 NA NA NA 
1787950800.0 10806.0 136 333 555 0 181 188 NA NA NA 183 425 724 0 257 280 NA NA NA 279 272 1030 170 221 196 NA NA NA 307 223 1030 187 225 204 NA NA NA 
1787950800.0 10807.0 139 333 563 0 210 190 NA NA NA 186 423 752 0 322 291 NA NA NA 268 328 1106 196 227 200 NA NA NA 293 284 1047 230 232 201 NA NA NA 
1787950800.0 10808.0 138 332 562 0 209 191 NA NA NA 185 431 786 0 322 289 NA NA NA 283 374 955 178 226 196 NA NA NA 274 316 986 197 239 195 NA NA NA 
1787950800.0 10809.0 138 333 564 0 210 189 NA NA NA 182 435 733 0 331 286 NA NA NA 288 354 1061 175 233 205 NA NA NA 288 310 980 191 241 237 NA NA NA 
