Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1788382800.0 11.0 157 229 425 0 160 NA 247 317 564 0 240 NA 1065 348 1349 296 341 NA 776 609 1956 573 669 NA 
1788382800.0 11601.0 138 349 577 0 179 NA 182 461 796 0 255 NA 660 449 1741 317 364 NA 875 624 2345 662 661 NA 
1788382800.0 11602.0 142 348 580 0 179 NA 185 458 811 0 263 NA 711 456 1734 275 377 NA 975 688 2354 648 685 NA 
1788382800.0 11604.0 141 347 575 0 178 NA 181 447 796 0 255 NA 689 433 1671 312 338 NA 930 706 2374 690 602 NA 
1788382800.0 11605.0 139 350 580 0 180 NA 186 454 793 0 255 NA 716 461 1701 277 321 NA 937 778 2696 633 586 NA 
1788382800.0 11607.0 140 352 544 0 208 NA 182 453 806 0 328 NA 592 461 1809 328 385 NA 820 815 2939 738 788 NA 
1788382800.0 11608.0 151 349 583 0 209 NA 198 457 816 0 326 NA 603 442 1782 288 355 NA 855 722 2636 660 714 NA 
1788382800.0 11634.24 141 277 538 0 171 NA 187 378 757 0 252 NA 641 338 1659 315 307 NA 1026 630 2290 793 596 NA 
1788382800.0 11634.601 150 318 119 573 0 NA 209 435 191 804 0 NA 1634 333 110 1509 327 NA 1153 511 262 2270 700 NA 
1788382800.0 11634.7 156 364 602 0 NA NA 201 475 820 0 NA NA 1672 457 1818 345 NA NA 1079 636 2462 744 NA NA 
1788382800.0 12.0 171 228 439 0 NA NA 253 322 590 0 NA NA 957 403 1460 259 NA NA 621 679 2011 613 NA NA 
1788382800.0 12034.0 155 321 593 0 NA NA 213 431 815 0 NA NA 1676 439 1889 341 NA NA 1205 596 2431 721 NA NA 
1788382800.0 12434.7 156 356 600 0 NA NA 217 462 825 0 NA NA 1773 481 1915 323 NA NA 1159 823 2365 714 NA NA 
1788382800.0 12461.0 136 344 577 0 176 NA 175 450 804 0 262 NA 610 451 1724 285 364 NA 840 806 2861 702 664 NA 
1788382800.0 12834.7 158 354 601 0 NA NA 214 463 838 0 NA NA 1744 510 1886 310 NA NA 1314 862 2453 618 NA NA 
1788382800.0 1311.0 143 273 493 0 162 NA 217 367 660 0 236 NA 901 377 1287 263 365 NA 663 680 1849 560 680 NA 
1788382800.0 1317.0 126 272 490 0 180 NA 187 367 674 0 282 NA 428 346 1408 220 368 NA 431 575 2109 532 609 NA 
1788382800.0 1318.0 126 271 486 0 181 NA 179 374 673 0 289 NA 349 365 1367 246 406 NA 387 646 2046 565 673 NA 
1788382800.0 1320.0 125 273 487 0 182 NA 178 367 672 0 278 NA 314 368 1423 223 394 NA 443 587 2281 522 696 NA 
