Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1788555600.0 10001.0 127 342 558 0 193 194 NA NA 182 446 741 0 272 297 NA NA 239 249 934 202 250 319 NA NA 384 576 1817 460 557 764 NA NA 
1788555600.0 10003.0 186 346 563 0 188 196 NA NA 286 457 764 0 264 300 NA NA 2097 246 1014 208 252 323 NA NA 1289 532 2076 575 541 609 NA NA 
1788555600.0 1002.0 NA 385 150 NA NA NA NA NA NA 580 193 NA NA NA NA NA NA 1383 102 NA NA NA NA NA NA 1862 182 NA NA NA NA NA 
1788555600.0 10024.0 149 355 545 0 222 197 NA NA 211 458 797 0 352 301 NA NA 941 265 1044 228 273 332 NA NA 542 461 1918 597 603 615 NA NA 
1788555600.0 10024.1 154 360 369 0 NA NA NA NA 210 470 524 0 NA NA NA NA 999 269 423 204 NA NA NA NA 567 572 947 607 NA NA NA NA 
1788555600.0 10024.3 150 356 342 0 NA NA NA NA 209 462 492 0 NA NA NA NA 1074 278 396 174 NA NA NA NA 617 638 787 467 NA NA NA NA 
1788555600.0 10025.0 145 347 566 0 191 197 NA NA 199 457 765 0 273 301 NA NA 638 253 1068 225 254 319 NA NA 482 463 2106 642 544 623 NA NA 
1788555600.0 1003.0 NA 429 0 NA NA NA NA NA NA 673 0 NA NA NA NA NA NA 1296 129 NA NA NA NA NA NA 1462 389 NA NA NA NA NA 
1788555600.0 10042.0 144 345 566 0 221 196 NA NA 196 446 774 0 346 301 NA NA 471 238 1075 212 260 324 NA NA 451 558 2002 572 548 640 NA NA 
1788555600.0 10059.0 173 341 549 0 197 199 NA NA 253 470 783 0 271 308 NA NA 2680 275 1193 229 259 339 NA NA 1289 573 1603 575 470 710 NA NA 
1788555600.0 101.0 202 NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 611 NA NA NA NA NA NA NA 
1788555600.0 102.0 200 NA NA NA NA NA NA NA 321 NA NA NA NA NA NA NA 324 NA NA NA NA NA NA NA 618 NA NA NA NA NA NA NA 
1788555600.0 103.0 133 214 426 NA NA NA NA NA 200 299 576 NA NA NA NA NA 298 203 892 NA NA NA NA NA 386 595 1549 NA NA NA NA NA 
1788555600.0 105.0 143 229 148 NA NA NA NA NA 240 321 223 NA NA NA NA NA 585 246 248 NA NA NA NA NA 497 510 526 NA NA NA NA NA 
1788555600.0 107.0 166 236 443 NA NA NA NA NA 248 326 602 NA NA NA NA NA 929 252 996 NA NA NA NA NA 506 465 1572 NA NA NA NA NA 
1788555600.0 10803.0 190 338 524 0 190 197 NA NA 305 453 780 0 272 298 NA NA 2377 280 1028 211 253 313 NA NA 1379 543 2017 460 482 711 NA NA 
1788555600.0 10804.31 134 333 554 0 190 195 NA NA 181 445 765 0 269 301 NA NA 228 252 898 203 251 318 NA NA 374 503 2221 487 547 692 NA NA 
1788555600.0 10805.31 128 336 556 NA NA NA NA NA 184 444 770 NA NA NA NA NA 305 263 939 NA NA NA NA NA 675 786 2385 NA NA NA NA NA 
1788555600.0 10823.0 138 340 559 0 190 193 NA NA 197 441 791 0 274 291 NA NA 606 259 1033 205 256 323 NA NA 637 669 2048 564 611 760 NA NA 
1788555600.0 10824.0 146 347 584 0 223 196 NA NA 210 462 776 0 345 301 NA NA 952 301 1177 226 257 333 NA NA 632 709 2186 591 577 682 NA NA 
1788555600.0 10824.1 146 353 363 0 NA NA NA NA 208 446 528 0 NA NA NA NA 1003 281 414 202 NA NA NA NA 644 504 722 383 NA NA NA NA 
1788555600.0 10824.6 146 347 583 0 225 199 NA NA 205 460 764 0 347 301 NA NA 955 289 1071 227 260 313 NA NA 728 574 1903 634 505 674 NA NA 
1788555600.0 10824.8 148 349 581 0 223 201 NA NA 210 453 800 0 348 305 NA NA 933 262 1022 227 258 320 NA NA 668 467 1662 629 550 718 NA NA 
1788555600.0 10825.0 140 339 569 0 195 195 NA NA 198 454 805 0 268 303 NA NA 625 268 1082 219 255 317 NA NA 519 619 2074 473 503 645 NA NA 
1788555600.0 10826.0 155 352 593 0 195 198 NA NA 222 458 784 0 280 301 NA NA 1600 294 1252 228 251 323 NA NA 932 589 2133 480 495 696 NA NA 
1788555600.0 10842.0 138 338 564 0 217 196 NA NA 195 457 791 0 350 291 NA NA 454 242 925 224 270 325 NA NA 545 545 1855 519 612 654 NA NA 
1788555600.0 10859.0 174 358 593 0 200 199 NA NA 259 475 796 0 274 295 NA NA 3054 317 1385 223 256 337 NA NA 1481 705 2043 507 565 796 NA NA 
1788555600.0 10871.0 151 347 578 0 195 198 NA NA 214 456 763 0 278 305 NA NA 1062 281 1071 227 250 329 NA NA 665 627 1854 641 484 758 NA NA 
1788555600.0 111.0 142 173 425 NA NA NA NA NA 224 312 579 NA NA NA NA NA 389 225 895 NA NA NA NA NA 420 634 1450 NA NA NA NA NA 
1788555600.0 112.0 157 190 392 NA NA NA NA NA 256 329 593 NA NA NA NA NA 841 275 961 NA NA NA NA NA 604 660 1517 NA NA NA NA NA 
1788555600.0 113.0 137 231 433 NA NA NA NA NA 253 327 577 NA NA NA NA NA 766 259 918 NA NA NA NA NA 589 652 1583 NA NA NA NA NA 
1788555600.0 11603.0 185 351 556 0 181 NA NA NA 279 477 807 0 263 NA NA NA 2230 289 1210 206 239 NA NA NA 1126 531 2278 630 517 NA NA NA 
1788555600.0 11607.0 143 350 581 0 210 NA NA NA 186 458 809 0 329 NA NA NA 511 393 1495 211 255 NA NA NA 877 764 2461 470 462 NA NA NA 
1788555600.0 11630.0 185 364 569 0 189 NA NA NA 241 480 835 0 266 NA NA NA 3204 350 1682 239 239 NA NA NA 1713 698 2429 662 500 NA NA NA 
1788555600.0 11634.0 155 359 606 0 218 NA NA NA 205 460 834 0 333 NA NA NA 1134 294 1371 226 248 NA NA NA 1226 596 2261 521 541 NA NA NA 
1788555600.0 11634.1 124 361 364 0 NA NA NA NA 203 466 549 0 NA NA NA NA 1151 305 434 201 NA NA NA NA 721 481 915 417 NA NA NA NA 
1788555600.0 11634.15 157 360 620 0 215 NA NA NA 208 468 850 0 330 NA NA NA 1074 294 1503 219 253 NA NA NA 930 616 2327 528 531 NA NA NA 
