Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1788166800.0 141.044406 NA 205 232 0 NA NA 302 792 0 NA NA 258 497 63 NA NA 147 246 79 NA 
1788166800.0 141.044407 NA 207 242 0 NA NA 299 806 0 NA NA 256 552 71 NA NA 149 258 87 NA 
1788166800.0 141.044408 NA 206 189 NA NA NA 303 722 NA NA NA 261 96 NA NA NA 149 107 NA NA 
1788166800.0 141.044412 NA 208 205 0 NA NA 309 745 0 NA NA 259 190 70 NA NA 151 172 89 NA 
1788166800.0 141.044413 NA 209 208 0 NA NA 312 740 0 NA NA 261 222 73 NA NA 152 187 91 NA 
1788166800.0 141.044414 NA 206 130 NA NA NA 302 629 NA NA NA 259 70 NA NA NA 151 85 NA NA 
1788166800.0 141.044422 NA 207 224 0 NA NA 303 746 0 NA NA 254 214 70 NA NA 146 168 92 NA 
1788166800.0 141.044423 NA 208 221 0 NA NA 311 739 0 NA NA 258 213 71 NA NA 149 170 90 NA 
1788166800.0 141.044424 NA 210 130 NA NA NA 305 630 NA NA NA 258 70 NA NA NA 150 86 NA NA 
1788166800.0 141.044483 NA 342 0 NA NA NA 923 0 NA NA NA 489 97 NA NA NA 266 119 NA NA 
1788166800.0 160.03502 123 232 100 505 182 165 325 143 1106 279 658 134 58 515 161 461 135 76 488 170 
1788166800.0 18434.402 113 667 320 0 NA 194 1399 942 0 NA 1065 607 286 95 NA 555 478 280 110 NA 
1788166800.0 18434.403 145 672 331 0 NA 191 1386 965 0 NA 1053 609 294 101 NA 546 486 285 120 NA 
1788166800.0 18434.404 144 674 198 NA NA 194 1350 736 NA NA 1054 593 115 NA NA 549 450 130 NA NA 
1788166800.0 18434.406 144 673 322 0 NA 193 1372 956 0 NA 1068 615 288 98 NA 550 481 277 115 NA 
1788166800.0 18434.407 145 670 327 0 NA 192 1398 958 0 NA 1056 610 291 99 NA 548 486 282 117 NA 
1788166800.0 18434.408 145 681 195 NA NA 194 1393 733 NA NA 1057 609 117 NA NA 548 482 133 NA NA 
1788166800.0 18434.412 112 673 298 0 NA 193 1403 916 0 NA 1072 607 267 71 NA 562 478 267 88 NA 
1788166800.0 18434.413 113 667 295 0 NA 192 1390 912 0 NA 1050 614 269 71 NA 543 498 262 88 NA 
1788166800.0 18434.422 145 675 292 0 NA 198 1390 897 0 NA 1054 606 267 66 NA 545 475 264 80 NA 
1788166800.0 18434.423 144 665 297 0 NA 193 1381 901 0 NA 1066 613 271 67 NA 565 488 261 81 NA 
