Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1787000400.0 141.044406 NA 209 195 0 NA NA 308 936 0 NA NA 250 500 64 NA NA 141 245 85 NA 
1787000400.0 141.044407 NA 211 204 0 NA NA 310 903 0 NA NA 254 559 74 NA NA 142 265 91 NA 
1787000400.0 141.044408 NA 211 149 NA NA NA 307 827 NA NA NA 262 96 NA NA NA 151 110 NA NA 
1787000400.0 141.044412 NA 207 172 0 NA NA 308 842 0 NA NA 256 184 68 NA NA 144 163 84 NA 
1787000400.0 141.044413 NA 210 175 0 NA NA 306 844 0 NA NA 257 218 73 NA NA 150 180 89 NA 
1787000400.0 141.044414 NA 210 122 NA NA NA 306 692 NA NA NA 260 73 NA NA NA 147 91 NA NA 
1787000400.0 141.044422 NA 208 175 0 NA NA 308 797 0 NA NA 262 206 67 NA NA 153 162 84 NA 
1787000400.0 141.044423 NA 209 174 0 NA NA 302 794 0 NA NA 252 205 76 NA NA 142 160 105 NA 
1787000400.0 141.044424 NA 210 121 NA NA NA 306 694 NA NA NA 254 71 NA NA NA 143 89 NA NA 
1787000400.0 141.044483 NA 257 0 NA NA NA 1010 0 NA NA NA 475 98 NA NA NA 264 121 NA NA 
1787000400.0 160.03502 123 234 100 477 184 166 340 148 1218 288 655 138 76 515 161 459 147 100 540 167 
1787000400.0 18434.402 142 584 285 0 NA 192 1480 1039 0 NA 1054 612 281 96 NA 561 489 277 116 NA 
1787000400.0 18434.403 146 586 293 0 NA 197 1514 1058 0 NA 1055 603 288 100 NA 546 484 284 117 NA 
1787000400.0 18434.404 143 584 162 NA NA 192 1477 839 NA NA 1051 604 118 NA NA 554 479 143 NA NA 
1787000400.0 18434.406 145 583 285 0 NA 192 1512 1044 0 NA 1054 606 283 99 NA 548 495 281 115 NA 
1787000400.0 18434.407 144 585 295 0 NA 191 1518 1046 0 NA 1050 609 287 101 NA 544 488 280 115 NA 
1787000400.0 18434.408 144 582 162 NA NA 189 1431 836 NA NA 1057 600 116 NA NA 551 480 134 NA NA 
1787000400.0 18434.412 144 589 266 0 NA 193 1509 1013 0 NA 1051 601 267 77 NA 547 469 263 108 NA 
1787000400.0 18434.413 145 552 267 0 NA 193 1491 1026 0 NA 1065 633 267 71 NA 558 596 259 86 NA 
1787000400.0 18434.422 144 585 256 0 NA 192 1460 965 0 NA 1057 615 262 69 NA 546 525 255 96 NA 
1787000400.0 18434.423 111 585 258 0 NA 192 1514 965 0 NA 1061 608 269 66 NA 561 474 261 81 NA 
1787000400.0 18434.424 143 587 161 NA NA 194 1489 789 NA NA 1054 599 148 NA NA 550 478 152 NA NA 
1787000400.0 18450.402 138 564 284 0 NA 186 1464 1029 0 NA 675 558 278 87 NA 472 456 279 104 NA 
1787000400.0 18450.403 140 564 289 0 NA 187 1482 1046 0 NA 659 548 282 94 NA 463 435 281 113 NA 
1787000400.0 18450.404 140 561 163 NA NA 187 1472 843 NA NA 663 546 111 NA NA 469 451 128 NA NA 
1787000400.0 18450.406 140 564 283 0 NA 184 1483 1092 0 NA 653 562 272 93 NA 449 462 278 108 NA 
1787000400.0 18450.407 141 564 290 0 NA 188 1466 1039 0 NA 658 554 278 95 NA 452 459 279 118 NA 
1787000400.0 18450.408 139 562 162 NA NA 183 1454 840 NA NA 660 550 111 NA NA 460 447 128 NA NA 
1787000400.0 18461.402 120 503 267 0 NA 164 1372 971 0 NA 378 570 255 81 NA 347 502 263 105 NA 
