Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1789765200.0 1.0 264 351 542 NA NA NA NA NA NA 395 472 729 NA NA NA NA NA NA 1268 295 524 NA NA NA NA NA NA 709 192 533 NA NA NA NA NA NA 
1789765200.0 10.0 273 351 757 0 NA NA NA NA NA 392 476 965 0 NA NA NA NA NA 1439 295 1027 230 NA NA NA NA NA 763 231 869 289 NA NA NA NA NA 
1789765200.0 1000.0 NA 733 379 0 228 NA NA NA NA NA 916 507 0 330 NA NA NA NA NA 3466 254 164 212 NA NA NA NA NA 1571 274 196 221 NA NA NA NA 
1789765200.0 10001.0 244 475 892 0 298 377 NA NA NA 332 622 1141 0 412 516 NA NA NA 816 295 911 263 236 215 NA NA NA 862 265 1169 419 389 247 NA NA NA 
1789765200.0 10002.0 247 469 888 0 309 379 NA NA NA 334 605 1132 0 418 524 NA NA NA 906 317 948 257 231 225 NA NA NA 1091 202 922 277 240 249 NA NA NA 
1789765200.0 10003.0 306 467 885 0 299 366 NA NA NA 438 622 1167 0 412 522 NA NA NA 7951 501 1521 392 364 382 NA NA NA 4156 312 1335 421 364 452 NA NA NA 
1789765200.0 10004.0 239 466 880 0 298 365 NA NA NA 332 623 1153 0 418 523 NA NA NA 582 313 912 264 235 230 NA NA NA 660 274 1235 316 292 354 NA NA NA 
1789765200.0 10005.0 242 466 880 0 298 365 NA NA NA 336 611 1139 0 413 518 NA NA NA 723 315 926 266 236 234 NA NA NA 648 273 1141 355 284 343 NA NA NA 
1789765200.0 10006.0 240 466 878 0 298 362 NA NA NA 331 621 1158 0 409 518 NA NA NA 509 311 899 265 234 230 NA NA NA 519 273 1093 324 287 340 NA NA NA 
1789765200.0 10007.0 242 477 903 0 337 366 NA NA NA 332 630 1156 0 482 519 NA NA NA 739 302 922 264 235 231 NA NA NA 854 265 911 475 350 324 NA NA NA 
