Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1787346000.0 1.0 152 208 304 NA NA NA NA 241 288 426 NA NA NA NA 1063 344 763 NA NA NA NA 858 396 919 NA NA NA NA 
1787346000.0 10003.0 185 339 562 0 201 180 NA 287 452 764 0 286 274 NA 3122 395 1211 280 475 305 NA 1469 415 1353 418 707 350 NA 
1787346000.0 1001.2 NA 625 394 0 0 0 0 NA 848 541 0 0 0 0 NA 4265 421 43 34 43 50 NA 1837 335 61 48 54 61 
1787346000.0 1002.0 NA 430 171 NA NA NA NA NA 570 217 NA NA NA NA NA 1215 153 NA NA NA NA NA 984 142 NA NA NA NA 
1787346000.0 10042.0 139 344 569 0 233 181 NA 191 456 760 0 355 274 NA 480 228 746 181 284 193 NA 385 234 839 197 292 229 NA 
1787346000.0 1005.0 NA 223 155 0 0 NA NA NA 398 248 0 0 NA NA NA 536 293 65 54 NA NA NA 648 361 79 64 NA NA 
1787346000.0 101.0 172 NA NA NA NA NA NA 304 NA NA NA NA NA NA 432 NA NA NA NA NA NA 424 NA NA NA NA NA NA 
1787346000.0 102.0 167 NA NA NA NA NA NA 306 NA NA NA NA NA NA 417 NA NA NA NA NA NA 389 NA NA NA NA NA NA 
1787346000.0 103.0 122 0 0 NA NA NA NA 181 0 0 NA NA NA NA 344 255 977 NA NA NA NA 395 365 1174 NA NA NA NA 
1787346000.0 105.0 149 222 143 NA NA NA NA 242 309 215 NA NA NA NA 1088 370 403 NA NA NA NA 665 419 468 NA NA NA NA 
1787346000.0 106.0 123 0 0 NA NA NA NA 182 0 0 NA NA NA NA 294 235 1006 NA NA NA NA 462 331 1192 NA NA NA NA 
1787346000.0 10803.0 196 334 558 0 204 178 NA 299 419 776 0 283 269 NA 2160 244 761 178 268 196 NA 1174 230 838 199 286 199 NA 
1787346000.0 10804.31 127 329 549 0 200 175 NA 179 435 773 0 282 270 NA 377 399 1281 274 466 330 NA 669 441 1888 356 535 402 NA 
1787346000.0 10805.31 129 329 548 0 200 178 NA 182 428 748 0 278 273 NA 431 441 1193 291 490 317 NA 733 850 1931 430 579 402 NA 
1787346000.0 10823.0 143 333 557 0 205 180 NA 192 433 738 0 283 281 NA 602 251 736 179 275 191 NA 464 252 820 197 279 216 NA 
1787346000.0 10824.0 153 344 577 0 236 184 NA 205 449 785 0 356 274 NA 895 267 848 192 282 191 NA 418 220 846 226 319 194 NA 
1787346000.0 10824.8 155 345 581 0 238 181 NA 209 448 759 0 352 275 NA 892 263 864 196 285 197 NA 416 226 978 251 298 239 NA 
1787346000.0 10826.0 162 351 551 0 209 180 NA 219 452 804 0 275 272 NA 2189 424 1538 285 461 355 NA 1101 414 1676 457 554 398 NA 
1787346000.0 10871.0 150 342 582 0 211 182 NA 209 461 784 0 280 274 NA 1047 273 852 190 267 183 NA 486 242 756 278 277 177 NA 
1787346000.0 110.0 134 221 423 NA NA NA NA 183 301 564 NA NA NA NA 240 225 684 NA NA NA NA 307 225 707 NA NA NA NA 
1787346000.0 111.0 138 218 417 NA NA NA NA 221 300 592 NA NA NA NA 354 198 683 NA NA NA NA 336 216 727 NA NA NA NA 
1787346000.0 11603.0 203 348 593 0 192 NA NA 296 462 782 0 262 NA NA 2435 265 825 167 271 NA NA 1098 243 996 190 277 NA NA 
1787346000.0 11634.15 158 361 618 0 230 NA NA 204 461 850 0 338 NA NA 1055 283 998 195 269 NA NA 616 264 993 228 274 NA NA 
1787346000.0 11640.0 149 351 591 0 196 NA NA 191 454 778 0 267 NA NA 1210 266 789 184 268 NA NA 790 205 932 198 285 NA NA 
1787346000.0 11643.0 162 358 607 0 200 NA NA 207 454 795 0 270 NA NA 1216 300 932 188 266 NA NA 727 247 1035 210 294 NA NA 
1787346000.0 12.0 165 224 432 0 NA NA NA 248 312 593 0 NA NA NA 621 237 746 161 NA NA NA 405 252 839 181 NA NA NA 
1787346000.0 120.0 123 218 413 NA NA NA NA 205 302 555 NA NA NA NA 331 338 1117 NA NA NA NA 464 422 1239 NA NA NA NA 
1787346000.0 122.0 133 210 410 NA NA NA NA 196 285 555 NA NA NA NA 267 182 665 NA NA NA NA 242 225 693 NA NA NA NA 
1787346000.0 123.1 385 NA NA NA NA NA NA 512 NA NA NA NA NA NA 536 NA NA NA NA NA NA 523 NA NA NA NA NA NA 
1787346000.0 123.2 372 NA NA NA NA NA NA 549 NA NA NA NA NA NA 620 NA NA NA NA NA NA 567 NA NA NA NA NA NA 
1787346000.0 123.3 316 NA NA NA NA NA NA 420 NA NA NA NA NA NA 476 NA NA NA NA NA NA 505 NA NA NA NA NA NA 
