Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1790154000.0 1049.0 NA 169 0 NA 259 0 NA 617 68 NA 962 118 
1790154000.0 120.0 138 232 425 200 330 579 225 242 698 247 261 968 
1790154000.0 127.0 134 231 430 185 320 594 304 243 680 323 260 688 
1790154000.0 130.0 136 235 430 187 316 594 232 224 690 216 244 817 
1790154000.0 144.6 NA 442 NA NA 592 NA NA 1273 NA NA 1082 NA 
1790154000.0 2500.1502 NA 152 NA NA 249 NA NA 7364 NA NA 7254 NA 
1790154000.0 2500.1504 NA 153 NA NA 249 NA NA 9657 NA NA 8884 NA 
1790154000.0 2500.3313 NA 90 NA NA 151 NA NA 61 NA NA 96 NA 
1790154000.0 2500.4301 NA 87 NA NA 135 NA NA 140 NA NA 151 NA 
1790154000.0 2500.4302 NA 88 NA NA 145 NA NA 59 NA NA 143 NA 
