Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1790283600.0 1.0 160 224 268 NA NA NA 241 307 446 NA NA NA 661 236 451 NA NA NA 636 305 568 NA NA NA 
1790283600.0 1005.0 NA 228 173 0 0 NA NA 397 260 0 0 NA NA 316 189 39 36 NA NA 596 246 60 62 NA 
1790283600.0 10059.0 177 369 602 0 225 199 244 482 822 0 299 297 2798 290 1139 217 301 216 1497 421 1554 359 477 315 
1790283600.0 101.0 197 NA NA NA NA NA 325 NA NA NA NA NA 326 NA NA NA NA NA 347 NA NA NA NA NA 
1790283600.0 102.0 197 NA NA NA NA NA 325 NA NA NA NA NA 302 NA NA NA NA NA 357 NA NA NA NA NA 
1790283600.0 103.0 135 223 431 NA NA NA 196 319 584 NA NA NA 317 215 749 NA NA NA 398 345 1101 NA NA NA 
1790283600.0 1046.0 NA 156 146 0 NA NA NA 232 220 0 NA NA NA 253 209 28 NA NA NA 318 267 48 NA NA 
1790283600.0 1047.0 NA 154 161 0 NA NA NA 232 227 0 NA NA NA 255 227 34 NA NA NA 341 258 63 NA NA 
1790283600.0 1049.0 NA 171 0 NA NA NA NA 262 0 NA NA NA NA 606 65 NA NA NA NA 736 148 NA NA NA 
1790283600.0 105.0 154 238 159 NA NA NA 239 315 231 NA NA NA 653 234 245 NA NA NA 618 269 270 NA NA NA 
1790283600.0 106.0 123 0 0 NA NA NA 185 0 0 NA NA NA 249 166 663 NA NA NA 369 257 1201 NA NA NA 
1790283600.0 10824.6 156 362 608 0 248 196 210 468 818 0 371 292 915 266 854 201 299 210 440 214 753 250 363 280 
1790283600.0 110.0 130 235 431 NA NA NA 180 313 584 NA NA NA 243 235 719 NA NA NA 269 269 823 NA NA NA 
1790283600.0 111.0 145 230 427 NA NA NA 206 323 616 NA NA NA 310 190 700 NA NA NA 312 210 748 NA NA NA 
1790283600.0 11603.0 204 359 594 0 209 NA 294 470 803 0 277 NA 2580 308 903 190 283 NA 1797 308 1118 261 306 NA 
1790283600.0 11634.15 162 372 631 0 241 NA 215 480 838 0 357 NA 1058 312 1107 207 295 NA 568 267 1070 233 348 NA 
1790283600.0 120.0 139 234 427 NA NA NA 202 315 601 NA NA NA 264 255 707 NA NA NA 364 284 797 NA NA NA 
1790283600.0 122.0 128 223 420 NA NA NA 193 306 583 NA NA NA 258 212 737 NA NA NA 397 348 1069 NA NA NA 
1790283600.0 123.1 416 NA NA NA NA NA 558 NA NA NA NA NA 375 NA NA NA NA NA 338 NA NA NA NA NA 
1790283600.0 123.2 414 NA NA NA NA NA 551 NA NA NA NA NA 412 NA NA NA NA NA 350 NA NA NA NA NA 
1790283600.0 123.3 332 NA NA NA NA NA 430 NA NA NA NA NA 318 NA NA NA NA NA 329 NA NA NA NA NA 
1790283600.0 124.1 398 NA NA NA NA NA 516 NA NA NA NA NA 325 NA NA NA NA NA 371 NA NA NA NA NA 
1790283600.0 124.2 409 NA NA NA NA NA 546 NA NA NA NA NA 351 NA NA NA NA NA 364 NA NA NA NA NA 
1790283600.0 124.4 398 NA NA NA NA NA 511 NA NA NA NA NA 334 NA NA NA NA NA 369 NA NA NA NA NA 
1790283600.0 124.5 399 NA NA NA NA NA 510 NA NA NA NA NA 335 NA NA NA NA NA 359 NA NA NA NA NA 
1790283600.0 124.6 331 NA NA NA NA NA 444 NA NA NA NA NA 327 NA NA NA NA NA 373 NA NA NA NA NA 
1790283600.0 126.0 139 231 437 NA NA NA 195 320 585 NA NA NA 401 247 795 NA NA NA 484 391 1351 NA NA NA 
1790283600.0 127.0 127 231 433 NA NA NA 184 317 588 NA NA NA 320 252 763 NA NA NA 417 348 1095 NA NA NA 
1790283600.0 128.0 132 230 431 NA NA NA 184 328 586 NA NA NA 230 257 734 NA NA NA 365 350 1025 NA NA NA 
1790283600.0 129.0 130 232 432 NA NA NA 180 321 605 NA NA NA 226 254 753 NA NA NA 360 336 1156 NA NA NA 
1790283600.0 130.0 133 234 430 NA NA NA 184 312 594 NA NA NA 234 227 720 NA NA NA 224 232 896 NA NA NA 
1790283600.0 1301.0 145 272 297 NA NA NA 224 375 488 NA NA NA 627 227 444 NA NA NA 552 265 549 NA NA NA 
1790283600.0 1301.17 137 342 365 NA NA NA 193 455 544 NA NA NA 662 245 481 NA NA NA 580 332 618 NA NA NA 
1790283600.0 131.0 137 236 438 NA NA NA 184 322 601 NA NA NA 328 227 705 NA NA NA 254 212 768 NA NA NA 
1790283600.0 135.3 365 0 235 178 NA NA 499 0 315 270 NA NA 323 93 238 166 NA NA 367 130 313 254 NA NA 
1790283600.0 140.004 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 148 984 237 NA NA NA 160 928 309 NA NA 
1790283600.0 140.011 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 158 969 238 NA NA NA 167 927 308 NA NA 
1790283600.0 140.113 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 150 844 412 NA NA NA 209 899 449 NA NA 
1790283600.0 141.008421 NA 278 252 0 NA NA NA 394 347 0 NA NA NA 316 308 70 NA NA NA 285 315 108 NA NA 
1790283600.0 141.113 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 161 558 228 NA NA NA 238 823 386 NA NA 
1790283600.0 141.301 NA 447 1055 0 NA NA NA 626 1718 0 NA NA NA 1283 11764 156 NA NA NA 946 5388 193 NA NA 
1790283600.0 142.903 NA 467 0 NA NA NA NA 631 0 NA NA NA NA 1167 107 NA NA NA NA 866 148 NA NA NA 
1790283600.0 144.201 144 389 649 0 NA NA 179 541 865 0 NA NA 959 392 1164 241 NA NA 1564 630 1420 276 NA NA 
1790283600.0 144.6 NA 441 NA NA NA NA NA 581 NA NA NA NA NA 1290 NA NA NA NA NA 1046 NA NA NA NA 
1790283600.0 146.103 NA 276 888 0 NA NA NA 406 1271 0 NA NA NA 354 12396 153 NA NA NA 403 8916 247 NA NA 
1790283600.0 162.02 156 293 156 570 179 0 192 409 197 780 250 0 1008 223 136 747 257 226 1172 277 143 662 303 294 
1790283600.0 163.0 148 402 617 183 0 NA 183 545 822 251 0 NA 974 342 934 257 243 NA 1409 425 940 300 295 NA 
