Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1789765200.0 1005.0 NA 319 272 0 0 NA 2097490 2097410 0 0 NA 610 341 105 105 NA 769 476 171 177 
1789765200.0 101.0 371 NA NA NA NA 2097470 NA NA NA NA 1422 NA NA NA NA 1253 NA NA NA NA 
1789765200.0 1010.0 NA 196 238 0 NA NA 2097380 2097350 0 NA NA 212 331 168 NA NA 333 431 245 NA 
1789765200.0 102.0 376 NA NA NA NA 2097440 NA NA NA NA 1413 NA NA NA NA 1410 NA NA NA NA 
1789765200.0 103.0 270 0 0 NA NA 2097320 0 0 NA NA 812 142 1512 NA NA 674 183 1965 NA NA 
1789765200.0 1046.0 NA 234 189 0 NA NA 2097380 2097360 0 NA NA 527 260 60 NA NA 554 339 107 NA 
1789765200.0 1047.0 NA 225 216 0 NA NA 2097380 2097370 0 NA NA 525 339 70 NA NA 584 389 127 NA 
1789765200.0 1048.0 NA 242 210 0 NA NA 2097380 2097370 0 NA NA 561 361 54 NA NA 641 420 99 NA 
1789765200.0 1052.0 NA 373 254 0 NA NA 2097490 2097410 0 NA NA 676 359 76 NA NA 862 510 129 NA 
1789765200.0 106.0 224 0 0 NA NA 2097320 0 0 NA NA 819 139 1512 NA NA 778 175 1974 NA NA 
1789765200.0 122.0 279 336 580 NA NA 2097350 2097410 2097600 NA NA 919 317 1751 NA NA 780 321 2151 NA NA 
1789765200.0 1307.0 253 344 471 214 0 2097310 2097410 2097500 2097370 0 1125 286 770 223 292 912 316 910 318 401 
1789765200.0 1319.0 278 412 735 0 NA 2097320 2097440 2097640 0 NA 1012 615 2293 546 NA 799 515 2504 736 NA 
1789765200.0 1340.0 256 357 706 0 NA 2097340 2097420 2097620 0 NA 1098 308 1691 525 NA 1112 313 1787 836 NA 
1789765200.0 1349.0 276 0 0 0 NA 2097320 0 0 0 NA 835 178 1489 548 NA 814 191 1873 721 NA 
1789765200.0 1350.0 265 0 0 0 NA 2097320 0 0 0 NA 837 177 1464 518 NA 731 176 1563 811 NA 
1789765200.0 140.113 NA 0 0 0 NA NA 0 0 0 NA NA 263 5327 4057 NA NA 301 7460 5298 NA 
1789765200.0 140.6 NA 199 675 0 NA NA 2097310 2097590 0 NA NA 106 1394 553 NA NA 278 1399 798 NA 
1789765200.0 15.0 262 377 676 0 NA 2097320 2097410 2097610 0 NA 878 608 2135 582 NA 908 562 2545 815 NA 
1789765200.0 21.0 257 370 683 0 NA 2097310 2097410 2097620 0 NA 794 649 2374 589 NA 1102 562 2604 774 NA 
1789765200.0 22.0 222 389 679 0 NA 2097320 2097410 2097610 0 NA 836 579 2487 560 NA 1063 517 2656 747 NA 
1789765200.0 2500.1502 NA 268 NA NA NA NA 2097440 NA NA NA NA 10608 NA NA NA NA 5667 NA NA NA 
