Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1456351200.0 1.0 59 81 146 NA NA NA NA 107 151 190 NA NA NA NA 3565 814 801 NA NA NA NA 3583 823 814 NA NA NA NA
1456351200.0 10.0 NA 85 214 0 NA NA NA NA 159 266 0 NA NA NA NA 4910 4876 1165 NA NA NA NA 5118 4894 1170 NA NA NA
1456351200.0 1000.0 NA 227 133 0 49 NA NA NA 287 177 0 84 NA NA NA 4845 975 1125 188 NA NA NA 4885 1013 1130 219 NA NA
1456351200.0 1001.0 NA 197 183 0 0 0 0 NA 256 223 0 0 0 0 NA 4338 537 130 122 1256 55 NA 4376 559 134 125 1259 62
1456351200.0 1002.0 NA 226 78 NA NA NA NA NA 289 103 NA NA NA NA NA 2615 177 NA NA NA NA NA 2838 253 NA NA NA NA
1456351200.0 1003.0 NA 197 0 NA NA NA NA NA 262 0 NA NA NA NA NA 6759 802 NA NA NA NA NA 6816 807 NA NA NA NA
1456351200.0 10039.0 NA 94 147 0 NA NA NA NA 183 193 0 NA NA NA NA 1583 1591 678 NA NA NA NA 1659 1638 685 NA NA NA
1456351200.0 1004.0 NA 188 163 0 0 0 NA NA 247 198 0 0 0 NA NA 1225 406 108 108 1240 NA NA 1241 413 115 112 1243 NA
1456351200.0 10046.0 NA 88 142 0 NA NA NA NA 183 186 0 NA NA NA NA 1449 1196 589 NA NA NA NA 1505 1244 613 NA NA NA
1456351200.0 10060.0 NA 89 139 0 NA NA NA NA 184 188 0 NA NA NA NA 1545 1780 602 NA NA NA NA 1633 1821 609 NA NA NA
1456351200.0 101.0 89 NA NA NA NA NA NA 147 NA NA NA NA NA NA 2291 NA NA NA NA NA NA 2300 NA NA NA NA NA NA
1456351200.0 102.0 90 NA NA NA NA NA NA 147 NA NA NA NA NA NA 1949 NA NA NA NA NA NA 1959 NA NA NA NA NA NA
1456351200.0 103.0 55 82 206 NA NA NA NA 100 152 259 NA NA NA NA 1567 495 870 NA NA NA NA 1572 505 881 NA NA NA NA
1456351200.0 105.0 59 85 32 NA NA NA NA 107 153 59 NA NA NA NA 3998 895 4 NA NA NA NA 4007 907 7 NA NA NA NA
1456351200.0 106.0 45 0 0 NA NA NA NA 84 0 0 NA NA NA NA 834 194 328 NA NA NA NA 839 202 338 NA NA NA NA
1456351200.0 107.0 60 82 211 NA NA NA NA 108 153 259 NA NA NA NA 7240 886 1072 NA NA NA NA 7247 895 1084 NA NA NA NA
1456351200.0 108.0 61 84 213 NA NA NA NA 111 153 262 NA NA NA NA 10307 904 1330 NA NA NA NA 10321 914 1345 NA NA NA NA
1456351200.0 109.0 63 87 209 NA NA NA NA 112 153 261 NA NA NA NA 11553 932 1415 NA NA NA NA 11564 942 1430 NA NA NA NA
1456351200.0 11.0 NA 83 220 0 61 NA NA NA 158 273 0 96 NA NA NA 4201 2059 1250 103 NA NA NA 4235 2075 1257 111 NA NA
1456351200.0 110.0 55 82 205 NA NA NA NA 98 152 259 NA NA NA NA 1279 814 960 NA NA NA NA 1297 825 978 NA NA NA NA
1456351200.0 1102.0 NA 84 210 139 78 NA NA NA 158 266 174 111 NA NA NA 4905 6531 3711 254 NA NA NA 4937 6552 3726 258 NA NA
1456351200.0 111.0 59 98 222 NA NA NA NA 107 153 259 NA NA NA NA 2316 383 555 NA NA NA NA 2419 399 622 NA NA NA NA
1456351200.0 112.0 61 84 208 NA NA NA NA 109 153 259 NA NA NA NA 6972 890 996 NA NA NA NA 6978 898 1007 NA NA NA NA
1456351200.0 113.0 59 83 208 NA NA NA NA 110 153 259 NA NA NA NA 6988 845 1044 NA NA NA NA 6996 852 1058 NA NA NA NA
1456351200.0 114.0 59 97 206 NA NA NA NA 109 153 259 NA NA NA NA 6320 905 1129 NA NA NA NA 6330 914 1144 NA NA NA NA
1456351200.0 115.0 60 82 207 NA NA NA NA 110 153 259 NA NA NA NA 8442 914 1147 NA NA NA NA 8456 928 1163 NA NA NA NA
1456351200.0 116.0 61 82 212 NA NA NA NA 110 153 260 NA NA NA NA 7974 888 1254 NA NA NA NA 7984 897 1265 NA NA NA NA
1456351200.0 117.0 61 97 209 NA NA NA NA 111 153 261 NA NA NA NA 10991 916 1336 NA NA NA NA 11000 925 1349 NA NA NA NA
1456351200.0 118.0 61 83 209 NA NA NA NA 110 153 260 NA NA NA NA 8473 902 1311 NA NA NA NA 8481 911 1322 NA NA NA NA
1456351200.0 119.0 60 86 210 NA NA NA NA 107 153 259 NA NA NA NA 7178 810 1058 NA NA NA NA 7185 817 1068 NA NA NA NA
1456351200.0 12.0 NA 83 215 0 NA NA NA NA 158 266 0 NA NA NA NA 4676 5270 1290 NA NA NA NA 4694 5287 1301 NA NA NA
1456351200.0 120.0 55 80 204 NA NA NA NA 97 152 259 NA NA NA NA 1125 782 910 NA NA NA NA 1132 791 960 NA NA NA NA
1456351200.0 121.0 61 84 209 NA NA NA NA 111 153 261 NA NA NA NA 10700 947 1331 NA NA NA NA 10711 959 1345 NA NA NA NA
1456351200.0 122.0 56 82 212 NA NA NA NA 107 153 259 NA NA NA NA 2517 566 946 NA NA NA NA 2531 576 963 NA NA NA NA
1456351200.0 125.0 62 82 213 NA NA NA NA 110 153 260 NA NA NA NA 8459 884 1146 NA NA NA NA 8467 893 1158 NA NA NA NA
1456351200.0 126.0 53 78 208 NA NA NA NA 98 152 259 NA NA NA NA 2305 789 926 NA NA NA NA 2315 798 939 NA NA NA NA
1456351200.0 127.0 52 81 208 NA NA NA NA 94 152 259 NA NA NA NA 2028 808 948 NA NA NA NA 2058 829 961 NA NA NA NA
1456351200.0 128.0 52 81 205 NA NA NA NA 98 152 259 NA NA NA NA 1081 775 983 NA NA NA NA 1091 786 1033 NA NA NA NA
1456351200.0 129.0 54 78 204 NA NA NA NA 92 152 259 NA NA NA NA 1068 841 934 NA NA NA NA 1075 852 952 NA NA NA NA
1456351200.0 13.0 NA 93 207 0 NA NA NA NA 158 260 0 NA NA NA NA 460 2066 1069 NA NA NA NA 491 2085 1074 NA NA NA
1456351200.0 130.0 52 79 207 NA NA NA NA 93 152 259 NA NA NA NA 1297 757 930 NA NA NA NA 1305 766 943 NA NA NA NA
1456351200.0 1301.0 68 135 184 NA NA NA NA 114 185 238 NA NA NA NA 3005 1086 906 NA NA NA NA 3030 1111 950 NA NA NA NA
1456351200.0 1302.0 70 148 191 NA NA NA NA 120 185 242 NA NA NA NA 12835 1317 1470 NA NA NA NA 12875 1345 1513 NA NA NA NA
1456351200.0 1303.0 71 157 184 NA NA NA NA 121 189 248 NA NA NA NA 18238 1504 2755 NA NA NA NA 18289 1530 2796 NA NA NA NA
1456351200.0 1306.0 NA 145 251 0 NA NA NA NA 201 315 0 NA NA NA NA 1048 1386 1876 NA NA NA NA 1088 1418 1882 NA NA NA
1456351200.0 1307.0 NA 129 143 60 0 NA NA NA 194 208 87 0 NA NA NA 1074 990 75 695 NA NA NA 1102 1018 79 701 NA NA
1456351200.0 1308.0 NA 125 143 54 0 NA NA NA 194 208 88 0 NA NA NA 1059 936 79 706 NA NA NA 1112 990 194 713 NA NA
1456351200.0 1309.0 NA 157 260 0 NA NA NA NA 208 315 0 NA NA NA NA 1338 1950 2089 NA NA NA NA 1396 1993 2095 NA NA NA
1456351200.0 131.0 56 92 206 NA NA NA NA 99 152 259 NA NA NA NA 1660 598 1002 NA NA NA NA 1678 635 1030 NA NA NA NA
1456351200.0 1310.0 NA 150 259 0 NA NA NA NA 209 315 0 NA NA NA NA 1414 1857 2214 NA NA NA NA 1455 1881 2220 NA NA NA
1456351200.0 1311.0 NA 162 237 0 66 NA NA NA 204 291 0 106 NA NA NA 1028 1377 2152 151 NA NA NA 1071 1409 2229 214 NA NA
1456351200.0 1312.0 NA 153 259 0 NA NA NA NA 209 315 0 NA NA NA NA 1342 2038 2187 NA NA NA NA 1371 2063 2193 NA NA NA
1456351200.0 1313.0 NA 167 260 0 NA NA NA NA 220 319 0 NA NA NA NA 2527 3422 2040 NA NA NA NA 2575 3467 2046 NA NA NA
1456351200.0 1314.0 NA 154 259 0 NA NA NA NA 209 315 0 NA NA NA NA 1290 1716 2185 NA NA NA NA 1325 1739 2190 NA NA NA
1456351200.0 1315.0 NA 145 251 0 NA NA NA NA 201 315 0 NA NA NA NA 1088 1436 1864 NA NA NA NA 1124 1495 1872 NA NA NA
1456351200.0 1316.0 NA 158 253 0 NA NA NA NA 203 315 0 NA NA NA NA 1146 1473 2081 NA NA NA NA 1192 1516 2086 NA NA NA
1456351200.0 1317.0 NA 149 254 0 NA NA NA NA 202 315 0 NA NA NA NA 1075 1357 1814 NA NA NA NA 1114 1406 1821 NA NA NA
1456351200.0 1318.0 NA 150 247 0 NA NA NA NA 201 315 0 NA NA NA NA 1029 1339 1845 NA NA NA NA 1071 1381 1897 NA NA NA
1456351200.0 1319.0 NA 146 251 0 NA NA NA NA 202 315 0 NA NA NA NA 1065 1420 1868 NA NA NA NA 1095 1454 1874 NA NA NA
1456351200.0 132.0 57 82 209 NA NA NA NA 106 152 259 NA NA NA NA 5221 873 1082 NA NA NA NA 5229 883 1096 NA NA NA NA
1456351200.0 1320.0 NA 151 254 0 NA NA NA NA 204 315 0 NA NA NA NA 1151 1511 1980 NA NA NA NA 1178 1537 1990 NA NA NA
1456351200.0 1321.0 NA 155 252 0 NA NA NA NA 204 315 0 NA NA NA NA 1210 1558 2157 NA NA NA NA 1238 1588 2163 NA NA NA
1456351200.0 1322.0 NA 153 252 0 NA NA NA NA 204 315 0 NA NA NA NA 1167 1740 2125 NA NA NA NA 1194 1764 2131 NA NA NA
1456351200.0 1323.0 NA 153 248 0 NA NA NA NA 201 315 0 NA NA NA NA 996 1226 1791 NA NA NA NA 1020 1257 1809 NA NA NA
1456351200.0 1324.0 NA 157 259 0 NA NA NA NA 209 315 0 NA NA NA NA 1308 1946 2154 NA NA NA NA 1344 1972 2163 NA NA NA
1456351200.0 1325.0 NA 152 261 0 87 NA NA NA 209 315 0 112 NA NA NA 1310 1965 2177 216 NA NA NA 1364 2008 2182 256 NA NA
1456351200.0 1326.0 NA 154 256 0 NA NA NA NA 205 315 0 NA NA NA NA 1270 1555 2181 NA NA NA NA 1312 1584 2192 NA NA NA
1456351200.0 1327.0 NA 144 257 0 NA NA NA NA 207 315 0 NA NA NA NA 1150 1650 2000 NA NA NA NA 1184 1699 2009 NA NA NA
1456351200.0 1328.0 NA 147 258 0 NA NA NA NA 207 315 0 NA NA NA NA 1313 1810 2088 NA NA NA NA 1357 1847 2095 NA NA NA
1456351200.0 1329.0 NA 156 258 0 NA NA NA NA 206 315 0 NA NA NA NA 1332 1653 2136 NA NA NA NA 1357 1681 2141 NA NA NA
1456351200.0 133.0 61 84 213 NA NA NA NA 111 153 262 NA NA NA NA 12426 862 1556 NA NA NA NA 12441 872 1569 NA NA NA NA
1456351200.0 1330.0 NA 155 254 0 NA NA NA NA 209 315 0 NA NA NA NA 1197 1762 2036 NA NA NA NA 1245 1814 2044 NA NA NA
1456351200.0 1331.0 NA 153 257 0 NA NA NA NA 205 315 0 NA NA NA NA 1117 1572 2070 NA NA NA NA 1166 1619 2076 NA NA NA
1456351200.0 1332.0 NA 147 259 0 NA NA NA NA 205 315 0 NA NA NA NA 1275 1774 2147 NA NA NA NA 1305 1807 2153 NA NA NA
1456351200.0 1333.0 NA 155 254 0 NA NA NA NA 206 315 0 NA NA NA NA 1198 1543 2127 NA NA NA NA 1231 1572 2133 NA NA NA
1456351200.0 1334.0 NA 147 258 0 NA NA NA NA 206 315 0 NA NA NA NA 1285 1773 2176 NA NA NA NA 1322 1795 2182 NA NA NA
1456351200.0 1335.0 NA 156 253 0 NA NA NA NA 206 315 0 NA NA NA NA 1174 1489 2144 NA NA NA NA 1203 1519 2150 NA NA NA
1456351200.0 1336.0 NA 153 255 0 NA NA NA NA 213 315 0 NA NA NA NA 1918 3480 2118 NA NA NA NA 1955 3512 2124 NA NA NA
1456351200.0 1337.0 NA 155 259 0 NA NA NA NA 214 319 0 NA NA NA NA 2014 3474 2212 NA NA NA NA 2064 3520 2219 NA NA NA
1456351200.0 1338.0 NA 154 261 0 NA NA NA NA 210 315 0 NA NA NA NA 1341 2036 2201 NA NA NA NA 1385 2066 2206 NA NA NA
1456351200.0 1339.0 NA 154 258 0 NA NA NA NA 211 319 0 NA NA NA NA 1816 2915 2106 NA NA NA NA 1880 2960 2113 NA NA NA
1456351200.0 134.0 NA 225 51 0 NA NA NA NA 290 78 0 NA NA NA NA 5644 11 20 NA NA NA NA 5679 15 29 NA NA NA
1456351200.0 134.701 NA 47 246 0 NA NA NA NA 96 305 0 NA NA NA NA 233 9540 1156 NA NA NA NA 278 9584 1162 NA NA NA
1456351200.0 134.702 NA 41 239 0 NA NA NA NA 94 298 0 NA NA NA NA 251 13248 1156 NA NA NA NA 272 13304 1161 NA NA NA
1456351200.0 134.703 NA 55 247 0 NA NA NA NA 93 314 0 NA NA NA NA 250 12963 1179 NA NA NA NA 287 13012 1185 NA NA NA
1456351200.0 134.704 NA 48 243 0 NA NA NA NA 92 299 0 NA NA NA NA 273 12495 1120 NA NA NA NA 285 12545 1124 NA NA NA
1456351200.0 134.705 NA 56 248 0 NA NA NA NA 96 308 0 NA NA NA NA 282 14015 1193 NA NA NA NA 329 14076 1201 NA NA NA
1456351200.0 134.706 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1456351200.0 134.707 NA 43 239 0 NA NA NA NA 95 300 0 NA NA NA NA 242 12938 1127 NA NA NA NA 250 12985 1139 NA NA NA
1456351200.0 134.708 NA 46 238 0 NA NA NA NA 94 297 0 NA NA NA NA 244 11917 1054 NA NA NA NA 289 11964 1059 NA NA NA
1456351200.0 134.709 NA 43 248 0 NA NA NA NA 98 311 0 NA NA NA NA 292 13175 1106 NA NA NA NA 305 13224 1113 NA NA NA
1456351200.0 134.71 NA 46 243 0 NA NA NA NA 91 293 0 NA NA NA NA 215 8308 1142 NA NA NA NA 231 8354 1147 NA NA NA
1456351200.0 134.801 NA 146 248 0 NA NA NA NA 193 306 0 NA NA NA NA 2250 9306 1178 NA NA NA NA 2281 9352 1184 NA NA NA
1456351200.0 134.802 NA 139 253 0 NA NA NA NA 192 312 0 NA NA NA NA 4346 17128 1325 NA NA NA NA 4414 17258 1334 NA NA NA
1456351200.0 134.803 NA 133 259 0 NA NA NA NA 195 308 0 NA NA NA NA 3939 15159 1276 NA NA NA NA 4077 15199 1312 NA NA NA
1456351200.0 134.804 NA 130 262 0 NA NA NA NA 194 318 0 NA NA NA NA 4477 16553 1250 NA NA NA NA 4530 16612 1289 NA NA NA
1456351200.0 134.805 NA 146 270 0 NA NA NA NA 202 324 0 NA NA NA NA 4706 16415 1384 NA NA NA NA 4763 16475 1392 NA NA NA
1456351200.0 134.806 NA 140 263 0 NA NA NA NA 195 317 0 NA NA NA NA 5458 19058 1246 NA NA NA NA 5515 19107 1252 NA NA NA
