Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1426716000.0 1.0 66 85 0 158 199 0 2139 293 0 4228 580 0
1426716000.0 10.0 NA 92 0 NA 215 0 NA 2120 0 NA 4041 0
1426716000.0 1000.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1426716000.0 1001.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1426716000.0 1002.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1426716000.0 1003.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1426716000.0 101.0 99 NA NA 226 NA NA 1349 NA NA 2645 NA NA
1426716000.0 102.0 100 NA NA 227 NA NA 1016 NA NA 2007 NA NA
1426716000.0 103.0 60 87 0 153 201 0 929 156 0 1735 345 0
1426716000.0 105.0 65 87 36 158 203 122 2106 293 3 3829 592 6
1426716000.0 106.0 56 0 0 145 0 0 654 53 0 1234 100 0
1426716000.0 107.0 66 88 0 159 203 0 3884 316 0 7207 608 0
1426716000.0 108.0 68 90 0 162 205 0 5591 331 0 10393 673 0
1426716000.0 109.0 69 90 0 161 206 0 6493 345 0 12095 694 0
1426716000.0 11.0 NA 90 0 NA 213 0 NA 1684 0 NA 3087 0
1426716000.0 110.0 58 87 0 145 202 0 777 284 0 1463 508 0
1426716000.0 1102.0 NA 92 0 NA 214 0 NA 2220 0 NA 3118 0
1426716000.0 111.0 66 88 0 159 202 0 2361 230 0 4344 458 0
1426716000.0 112.0 67 89 0 159 205 0 3577 324 0 6582 658 0
1426716000.0 113.0 68 88 0 160 204 0 3643 320 0 7085 628 0
1426716000.0 11325.0 NA 140 0 NA 302 0 NA 600 0 NA 1180 0
1426716000.0 114.0 67 88 0 159 204 0 3480 313 0 6405 711 0
1426716000.0 115.0 68 88 0 161 205 0 4574 326 0 8676 682 0
1426716000.0 116.0 68 89 0 161 204 0 4515 330 0 8340 666 0
1426716000.0 117.0 69 89 0 161 203 0 6157 341 0 11290 680 0
1426716000.0 118.0 68 89 0 161 205 0 4730 332 0 8908 603 0
1426716000.0 119.0 66 88 0 158 203 0 3735 312 0 6789 567 0
1426716000.0 12.0 NA 92 0 NA 213 0 NA 1971 0 NA 3671 0
1426716000.0 120.0 58 84 0 149 199 0 685 272 0 1329 606 0
1426716000.0 1201.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 121.0 69 89 0 161 206 0 6085 343 0 11101 657 0
1426716000.0 122.0 65 88 0 158 203 0 1453 193 0 2741 391 0
1426716000.0 123.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 123.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 123.3 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 124.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 124.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 124.4 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 124.5 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 124.6 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1426716000.0 125.0 68 88 0 161 204 0 4525 321 0 7692 490 0
1426716000.0 126.0 59 85 0 150 199 0 1373 274 0 2530 537 0
1426716000.0 127.0 59 84 0 150 199 0 1625 275 0 2971 527 0
1426716000.0 128.0 57 86 0 144 200 0 646 281 0 1210 554 0
1426716000.0 129.0 57 84 0 144 199 0 669 277 0 1302 554 0
1426716000.0 13.0 NA 90 0 NA 214 0 NA 246 0 NA 489 0
1426716000.0 130.0 59 84 0 149 199 0 774 273 0 1402 515 0
1426716000.0 1301.0 72 121 0 168 276 0 1640 421 0 3070 804 0
1426716000.0 1302.0 78 130 0 174 278 0 6987 526 0 12043 4268 0
1426716000.0 1303.0 79 130 0 175 278 0 11823 444 0 18037 890 0
1426716000.0 1306.0 NA 128 0 NA 295 0 NA 455 0 NA 860 0
1426716000.0 1307.0 NA 122 0 NA 289 0 NA 421 0 NA 840 0
1426716000.0 1308.0 NA 119 0 NA 284 0 NA 408 0 NA 800 0
1426716000.0 1309.0 NA 137 0 NA 300 0 NA 565 0 NA 1062 0
1426716000.0 131.0 60 86 0 151 200 0 1551 288 0 2626 433 0
1426716000.0 1310.0 NA 136 0 NA 300 0 NA 570 0 NA 1040 0
1426716000.0 1311.0 NA 128 0 NA 295 0 NA 467 0 NA 860 0
