Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1426863600.0 1.0 62 91 150 NA NA NA 89 116 180 NA NA NA 2078 312 583 NA NA NA 2118 326 611 NA NA NA
1426863600.0 10.0 NA 90 205 0 NA NA NA 122 241 0 NA NA NA 1977 2888 554 NA NA NA 2001 2955 558 NA NA
1426863600.0 1000.0 NA 212 109 0 50 NA NA 257 145 0 72 NA NA 2685 434 578 119 NA NA 2814 467 587 129 NA
1426863600.0 1001.0 NA 205 45 0 NA NA NA 241 67 0 NA NA NA 2360 28 23 NA NA NA 2416 33 27 NA NA
1426863600.0 1002.0 NA 208 68 NA NA NA NA 245 90 NA NA NA NA 2516 198 NA NA NA NA 2585 215 NA NA NA
1426863600.0 1003.0 NA 202 0 NA NA NA NA 238 0 NA NA NA NA 3790 556 NA NA NA NA 3861 563 NA NA NA
1426863600.0 101.0 93 NA NA NA NA NA 130 NA NA NA NA NA 1291 NA NA NA NA NA 1362 NA NA NA NA NA
1426863600.0 102.0 93 NA NA NA NA NA 130 NA NA NA NA NA 941 NA NA NA NA NA 965 NA NA NA NA NA
1426863600.0 103.0 57 92 202 NA NA NA 84 117 240 NA NA NA 876 188 735 NA NA NA 890 213 791 NA NA NA
1426863600.0 105.0 62 92 31 NA NA NA 89 118 51 NA NA NA 2030 307 3 NA NA NA 2066 361 16 NA NA NA
1426863600.0 106.0 53 0 0 NA NA NA 77 0 0 NA NA NA 599 43 428 NA NA NA 613 61 519 NA NA NA
1426863600.0 107.0 62 93 202 NA NA NA 91 118 237 NA NA NA 3818 338 868 NA NA NA 3915 356 1011 NA NA NA
1426863600.0 108.0 67 95 207 NA NA NA 93 120 240 NA NA NA 5371 346 1013 NA NA NA 5471 368 1083 NA NA NA
1426863600.0 109.0 67 95 205 NA NA NA 94 121 240 NA NA NA 6077 356 1040 NA NA NA 6168 383 1104 NA NA NA
1426863600.0 11.0 NA 88 212 0 52 NA NA 120 251 0 73 NA NA 1531 1369 628 39 NA NA 1595 1435 639 58 NA
1426863600.0 110.0 54 92 200 NA NA NA 77 117 240 NA NA NA 733 304 746 NA NA NA 749 338 819 NA NA NA
1426863600.0 1102.0 NA 90 208 131 65 NA NA 121 240 166 96 NA NA 2099 3760 2084 184 NA NA 2199 3827 2123 201 NA
1426863600.0 111.0 62 93 203 NA NA NA 90 118 240 NA NA NA 2351 254 841 NA NA NA 2364 274 878 NA NA NA
1426863600.0 112.0 65 92 203 NA NA NA 91 118 240 NA NA NA 3465 340 871 NA NA NA 3503 347 1048 NA NA NA
1426863600.0 113.0 65 94 202 NA NA NA 92 119 237 NA NA NA 3652 349 878 NA NA NA 3686 468 917 NA NA NA
1426863600.0 11325.0 NA 145 235 0 64 NA NA 185 280 0 86 NA NA 576 1365 1028 80 NA NA 601 1410 1045 106 NA
1426863600.0 114.0 65 94 202 NA NA NA 91 120 236 NA NA NA 3596 344 866 NA NA NA 3645 354 915 NA NA NA
1426863600.0 115.0 66 93 202 NA NA NA 92 120 237 NA NA NA 4595 361 904 NA NA NA 4678 381 955 NA NA NA
1426863600.0 116.0 65 94 204 NA NA NA 92 120 240 NA NA NA 4326 348 895 NA NA NA 4397 373 912 NA NA NA
