Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1421413200.0 1.0 66 105 134 NA NA NA 108 131 176 NA NA NA 1832 240 645 NA NA NA 1861 263 771 NA NA NA
1421413200.0 10.0 NA 122 198 0 NA NA NA 159 236 0 NA NA NA 2036 3915 954 NA NA NA 2079 4022 988 NA NA
1421413200.0 11.0 NA 117 202 0 52 NA NA 154 243 0 72 NA NA 1165 1848 1111 57 NA NA 1223 1940 1133 78 NA
1421413200.0 12.0 NA 124 195 0 NA NA NA 159 236 0 NA NA NA 1884 4127 1046 NA NA NA 1917 4254 1062 NA NA
1421413200.0 13.0 NA 119 193 0 NA NA NA 158 236 0 NA NA NA 333 1525 903 NA NA NA 377 1588 952 NA NA
1421413200.0 1301.0 76 120 149 78 NA NA 118 146 188 110 NA NA 3923 352 719 149 NA NA 4079 372 1230 342 NA NA
1421413200.0 1302.0 81 125 156 NA NA NA 121 152 189 NA NA NA 9251 441 833 NA NA NA 9670 3482 2704 NA NA NA
1421413200.0 1303.0 81 125 NA NA NA NA 123 152 NA NA NA NA 12577 370 NA NA NA NA 13146 2611 NA NA NA NA
1421413200.0 1306.0 NA 123 200 0 79 NA NA 169 247 0 110 NA NA 432 963 963 139 NA NA 460 1020 976 218 NA
1421413200.0 1307.0 NA 118 121 43 0 NA NA 158 175 64 0 NA NA 404 611 27 456 NA NA 430 672 35 473 NA
1421413200.0 1308.0 NA 119 121 42 0 NA NA 157 175 63 0 NA NA 383 549 38 476 NA NA 422 739 51 511 NA
1421413200.0 1309.0 NA 134 208 0 81 NA NA 175 248 0 117 NA NA 554 1186 1000 173 NA NA 598 3062 1257 3275 NA
1421413200.0 1311.0 NA 127 210 0 NA NA NA 170 255 0 NA NA NA 457 946 1145 NA NA NA 677 7740 1280 NA NA
1421413200.0 1312.0 NA 132 205 0 NA NA NA 174 248 0 NA NA NA 551 1107 962 NA NA NA 770 7741 1013 NA NA
1421413200.0 1313.0 NA 138 215 NA NA NA NA 181 250 NA NA NA NA 544 2114 NA NA NA NA 3376 8280 NA NA NA
