Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1429952400.0 1.0 67 87 134 NA 92 112 177 NA 3459 450 1272 NA 3481 491 1351 NA
1429952400.0 10.0 NA 94 0 NA NA 128 0 NA NA 4137 0 NA NA 4339 0 NA
1429952400.0 1000.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1429952400.0 1001.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1429952400.0 1002.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1429952400.0 1003.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1429952400.0 101.0 101 NA NA NA 137 NA NA NA 2408 NA NA NA 2429 NA NA NA
1429952400.0 102.0 102 NA NA NA 137 NA NA NA 1892 NA NA NA 1974 NA NA NA
1429952400.0 103.0 62 89 0 NA 86 115 0 NA 1537 257 0 NA 1546 268 0 NA
1429952400.0 105.0 67 89 38 NA 92 116 58 NA 3495 517 7 NA 3503 535 18 NA
1429952400.0 106.0 58 0 0 NA 79 0 0 NA 1085 66 0 NA 1094 75 0 NA
1429952400.0 107.0 68 90 0 NA 93 115 0 NA 6561 667 0 NA 6602 700 0 NA
1429952400.0 108.0 72 92 0 NA 96 118 0 NA 10554 560 0 NA 10591 570 0 NA
1429952400.0 109.0 71 92 0 NA 96 119 0 NA 10255 568 0 NA 10275 576 0 NA
1429952400.0 11.0 NA 92 0 NA NA 127 0 NA NA 3330 0 NA NA 3511 0 NA
1429952400.0 110.0 60 88 0 NA 79 115 0 NA 1303 550 0 NA 1308 578 0 NA
1429952400.0 1102.0 NA 97 0 NA NA 127 0 NA NA 4614 0 NA NA 7318 0 NA
1429952400.0 111.0 67 90 0 NA 92 116 0 NA 3977 492 0 NA 3995 549 0 NA
1429952400.0 112.0 69 90 0 NA 94 118 0 NA 6446 683 0 NA 6462 788 0 NA
1429952400.0 113.0 70 90 0 NA 94 117 0 NA 7225 529 0 NA 7244 550 0 NA
1429952400.0 11325.0 NA 144 0 NA NA 186 0 NA NA 1332 0 NA NA 1900 0 NA
1429952400.0 114.0 68 90 0 NA 93 118 0 NA 6214 541 0 NA 6230 610 0 NA
1429952400.0 115.0 70 91 0 NA 95 118 0 NA 8012 568 0 NA 8028 599 0 NA
