Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1431939600.0 1.0 66 87 142 NA NA NA 91 112 176 NA NA NA 2365 313 688 NA NA NA 3829 404 882 NA NA NA
1431939600.0 10.0 NA 95 193 0 NA NA NA 127 235 0 NA NA NA 2164 3249 672 NA NA NA 2228 3678 693 NA NA
1431939600.0 1000.0 NA 203 99 0 46 NA NA 250 134 0 66 NA NA 3082 488 630 107 NA NA 3804 560 639 146 NA
1431939600.0 1001.0 NA 196 42 0 NA NA NA 231 62 0 NA NA NA 2735 26 23 NA NA NA 3631 45 33 NA NA
1431939600.0 1002.0 NA 198 61 NA NA NA NA 234 83 NA NA NA NA 2798 174 NA NA NA NA 3658 211 NA NA NA
1431939600.0 1003.0 NA 194 0 NA NA NA NA 231 0 NA NA NA NA 4203 641 NA NA NA NA 4309 655 NA NA NA
1431939600.0 101.0 102 NA NA NA NA NA 136 NA NA NA NA NA 1426 NA NA NA NA NA 1475 NA NA NA NA NA
1431939600.0 102.0 102 NA NA NA NA NA 136 NA NA NA NA NA 1015 NA NA NA NA NA 1075 NA NA NA NA NA
1431939600.0 103.0 62 90 191 NA NA NA 85 114 235 NA NA NA 976 169 770 NA NA NA 996 193 799 NA NA NA
1431939600.0 105.0 67 89 38 NA NA NA 91 115 57 NA NA NA 2570 304 4 NA NA NA 2614 316 7 NA NA NA
1431939600.0 106.0 58 0 0 NA NA NA 78 0 0 NA NA NA 620 47 514 NA NA NA 636 54 550 NA NA NA
1431939600.0 107.0 69 89 191 NA NA NA 93 115 235 NA NA NA 4238 339 949 NA NA NA 4344 380 976 NA NA NA
1431939600.0 108.0 70 91 193 NA NA NA 95 117 235 NA NA NA 5748 360 1095 NA NA NA 5808 370 1128 NA NA NA
1431939600.0 109.0 72 92 192 NA NA NA 95 119 235 NA NA NA 6912 344 1021 NA NA NA 7014 353 1050 NA NA NA
1431939600.0 11.0 NA 93 197 0 52 NA NA 125 243 0 71 NA NA 1747 1478 712 36 NA NA 1852 1788 772 56 NA
1431939600.0 110.0 59 88 187 NA NA NA 78 114 235 NA NA NA 772 306 823 NA NA NA 777 323 886 NA NA NA
1431939600.0 1102.0 NA 94 200 120 66 NA NA 126 235 157 97 NA NA 2286 4112 2366 186 NA NA 2669 4232 3044 196 NA
1431939600.0 111.0 67 90 189 NA NA NA 91 115 235 NA NA NA 2605 277 869 NA NA NA 2614 298 963 NA NA NA
1431939600.0 112.0 70 90 190 NA NA NA 93 117 235 NA NA NA 3764 328 920 NA NA NA 3864 340 948 NA NA NA
1431939600.0 113.0 70 91 192 NA NA NA 93 116 235 NA NA NA 3933 341 886 NA NA NA 4008 358 936 NA NA NA
1431939600.0 11325.0 NA 143 219 0 66 NA NA 185 269 0 88 NA NA 712 1407 1058 155 NA NA 1712 1461 1084 198 NA
1431939600.0 114.0 70 90 190 NA NA NA 93 117 235 NA NA NA 3810 327 956 NA NA NA 3822 556 1968 NA NA NA
1431939600.0 115.0 71 90 192 NA NA NA 94 117 235 NA NA NA 4721 347 975 NA NA NA 4760 568 1248 NA NA NA
1431939600.0 116.0 71 91 192 NA NA NA 94 117 235 NA NA NA 4688 354 996 NA NA NA 4707 372 1167 NA NA NA
1431939600.0 117.0 72 91 192 NA NA NA 94 118 235 NA NA NA 6446 343 1095 NA NA NA 6476 356 1132 NA NA NA
