Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1443430800.0 1.0 67 82 NA 92 106 NA 3320 459 NA 3362 475 NA
1443430800.0 10.0 NA 91 NA NA 123 NA NA 3755 NA NA 3799 NA
1443430800.0 103.0 62 85 NA 86 111 NA 1371 281 NA 1389 319 NA
1443430800.0 105.0 67 83 38 92 110 58 3463 471 6 3480 488 26
1443430800.0 106.0 58 0 NA 79 0 NA 993 90 NA 1003 106 NA
1443430800.0 107.0 68 85 NA 93 111 NA 6084 569 NA 6165 591 NA
1443430800.0 108.0 71 87 NA 96 114 NA 8549 614 NA 8623 625 NA
1443430800.0 109.0 73 88 NA 96 115 NA 10234 572 NA 10306 593 NA
1443430800.0 11.0 NA 89 NA NA 122 NA NA 2957 NA NA 3018 NA
1443430800.0 110.0 59 84 NA 79 111 NA 1253 485 NA 1271 515 NA
1443430800.0 1102.0 NA 91 NA NA 122 NA NA 4157 NA NA 5849 NA
1443430800.0 111.0 67 86 NA 92 112 NA 3726 429 NA 3757 439 NA
1443430800.0 112.0 69 86 NA 94 114 NA 6161 544 NA 6213 569 NA
1443430800.0 113.0 69 86 NA 94 113 NA 5509 500 NA 5570 515 NA
1443430800.0 114.0 69 85 NA 93 113 NA 5439 528 NA 5499 556 NA
1443430800.0 115.0 70 86 NA 95 114 NA 7133 538 NA 7185 560 NA
1443430800.0 116.0 70 86 NA 95 113 NA 6686 546 NA 6740 564 NA
1443430800.0 117.0 72 87 NA 96 115 NA 9255 548 NA 9296 554 NA
1443430800.0 118.0 69 87 NA 95 113 NA 7117 561 NA 7145 573 NA
1443430800.0 119.0 70 85 NA 93 111 NA 6987 492 NA 7025 514 NA
1443430800.0 12.0 NA 90 NA NA 122 NA NA 3383 NA NA 3479 NA
1443430800.0 120.0 60 82 NA 84 108 NA 1164 467 NA 1169 481 NA
1443430800.0 121.0 72 87 NA 95 114 NA 8920 526 NA 8931 539 NA
1443430800.0 122.0 67 86 NA 92 112 NA 2081 322 NA 2099 344 NA
1443430800.0 125.0 72 86 NA 95 114 NA 7192 550 NA 7237 576 NA
1443430800.0 126.0 60 83 NA 85 108 NA 2098 476 NA 2114 489 NA
1443430800.0 127.0 60 82 NA 84 108 NA 2514 444 NA 2530 451 NA
1443430800.0 128.0 58 83 NA 79 109 NA 959 484 NA 973 491 NA
1443430800.0 129.0 59 82 NA 83 108 NA 1006 462 NA 1017 472 NA
1443430800.0 13.0 NA 88 NA NA 123 NA NA 435 NA NA 461 NA
1443430800.0 130.0 59 82 NA 80 108 NA 1169 456 NA 1180 476 NA
