Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1448791200.0 1.0 68 82 92 106 3279 457 3458 477
1448791200.0 10.0 NA 91 NA 124 NA 3595 NA 3645
1448791200.0 106.0 58 0 79 0 598 43 630 53
1448791200.0 110.0 59 84 80 111 697 270 716 294
1448791200.0 113.0 70 86 94 113 3321 282 3381 298
1448791200.0 115.0 70 86 95 114 4485 313 4644 341
1448791200.0 116.0 70 86 95 114 4301 309 4463 338
1448791200.0 118.0 71 86 95 113 4096 346 4149 356
1448791200.0 119.0 69 86 94 113 3185 307 3248 321
1448791200.0 125.0 70 87 95 115 4070 323 4116 338
1448791200.0 134.805 NA 114 NA 154 NA 1969 NA 2368
1448791200.0 134.806 NA 113 NA 150 NA 2196 NA 2228
1448791200.0 24.0 NA 91 NA 123 NA 2004 NA 2043
1448791200.0 250199.0 125 NA 160 NA 2992 NA 5855 NA
1448791200.0 250207.0 NA 141 NA 185 NA 3766 NA 4641
1448791200.0 27.0 NA 90 NA 122 NA 3181 NA 3249
1448791200.0 3.0 67 83 98 108 9965 232 10304 344
1448791200.0 35.0 NA 90 NA 123 NA 3359 NA 3431
1448791200.0 36.0 NA 90 NA 124 NA 3459 NA 3511
1448791200.0 37.0 NA 91 NA 124 NA 3686 NA 3731
1448791200.0 38.0 NA 91 NA 123 NA 3527 NA 3639
1448791200.0 4.36 NA 51 NA 77 NA 75 NA 92
1448791200.0 4.41 NA 43 NA 73 NA 81 NA 195
1448791200.0 4.53 NA 43 NA 72 NA 81 NA 100
1448791200.0 4.71 NA 43 NA 72 NA 83 NA 98
1448791200.0 4.75 NA 43 NA 72 NA 82 NA 100
1448791200.0 500205.0 NA 142 NA 184 NA 4289 NA 4680
1448791200.0 500207.0 NA 134 NA 181 NA 3695 NA 4503
1448791200.0 50200.0 NA 150 NA 196 NA 1764 NA 3685
1448791200.0 50202.0 NA 154 NA 200 NA 1979 NA 3473
1448791200.0 50203.0 NA 150 NA 196 NA 1984 NA 3629
1448791200.0 50204.0 NA 155 NA 200 NA 1915 NA 3304
1448791200.0 50205.0 NA 145 NA 193 NA 1708 NA 3424
1448791200.0 50206.0 NA 153 NA 198 NA 1941 NA 4092
