Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1444338000.0 1.0 63 87 124 NA NA NA NA 90 114 168 NA NA NA NA 2407 370 404 NA NA NA NA 2517 384 578 NA NA NA NA
1444338000.0 10.0 NA 86 185 0 NA NA NA NA 119 223 0 NA NA NA NA 1993 2754 651 NA NA NA NA 2025 2814 667 NA NA NA
1444338000.0 1000.0 NA 183 115 0 53 NA NA NA 231 153 0 77 NA NA NA 2538 589 583 150 NA NA NA 5125 1320 638 480 NA NA
1444338000.0 1001.0 NA 180 119 0 0 0 0 NA 219 145 0 0 0 0 NA 2307 314 91 88 251 71 NA 4859 443 110 96 317 82
1444338000.0 1002.0 NA 200 69 NA NA NA NA NA 250 94 NA NA NA NA NA 2559 209 NA NA NA NA NA 4880 267 NA NA NA NA
1444338000.0 1003.0 NA 175 0 NA NA NA NA NA 218 0 NA NA NA NA NA 3713 570 NA NA NA NA NA 6121 578 NA NA NA NA
1444338000.0 101.0 92 NA NA NA NA NA NA 130 NA NA NA NA NA NA 1507 NA NA NA NA NA NA 1560 NA NA NA NA NA NA
1444338000.0 102.0 93 NA NA NA NA NA NA 130 NA NA NA NA NA NA 1089 NA NA NA NA NA NA 1127 NA NA NA NA NA NA
1444338000.0 103.0 57 88 182 NA NA NA NA 85 114 225 NA NA NA NA 1008 213 548 NA NA NA NA 1031 232 607 NA NA NA NA
1444338000.0 105.0 62 89 31 NA NA NA NA 90 116 53 NA NA NA NA 2357 349 4 NA NA NA NA 2501 378 8 NA NA NA NA
1444338000.0 106.0 52 0 0 NA NA NA NA 78 0 0 NA NA NA NA 617 40 227 NA NA NA NA 631 53 252 NA NA NA NA
1444338000.0 107.0 65 89 185 NA NA NA NA 92 115 225 NA NA NA NA 3850 328 686 NA NA NA NA 3938 341 743 NA NA NA NA
1444338000.0 108.0 66 91 187 NA NA NA NA 94 118 225 NA NA NA NA 5460 394 790 NA NA NA NA 5562 406 845 NA NA NA NA
1444338000.0 109.0 67 91 187 NA NA NA NA 95 119 225 NA NA NA NA 6477 378 812 NA NA NA NA 6538 392 868 NA NA NA NA
1444338000.0 11.0 NA 84 193 0 53 NA NA NA 117 235 0 76 NA NA NA 1578 1207 707 43 NA NA NA 1610 1242 719 57 NA NA
1444338000.0 110.0 54 88 181 NA NA NA NA 78 115 225 NA NA NA NA 750 335 517 NA NA NA NA 783 354 541 NA NA NA NA
1444338000.0 1102.0 NA 86 190 114 66 NA NA NA 117 225 152 100 NA NA NA 2025 3399 1952 198 NA NA NA 4672 3915 2002 215 NA NA
1444338000.0 111.0 63 90 184 NA NA NA NA 91 116 225 NA NA NA NA 2347 264 623 NA NA NA NA 2382 280 670 NA NA NA NA
