Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1435395600.0 1.0 64 87 141 NA NA NA 160 229 283 NA NA NA 2137 402 588 NA NA NA 2752 595 865 NA NA NA
1435395600.0 10.0 NA 84 200 0 NA NA NA 227 376 0 NA NA NA 2356 2858 557 NA NA NA 2406 2911 562 NA NA
1435395600.0 1000.0 NA 202 107 0 49 NA NA 379 218 0 130 NA NA 2884 450 531 133 NA NA 3232 694 540 197 NA
1435395600.0 1001.0 NA 198 43 0 NA NA NA 361 129 0 NA NA NA 2618 13 9 NA NA NA 2811 22 25 NA NA
1435395600.0 1002.0 NA 197 68 NA NA NA NA 361 135 NA NA NA NA 2636 191 NA NA NA NA 2962 241 NA NA NA
1435395600.0 1003.0 NA 192 0 NA NA NA NA 354 0 NA NA NA NA 3962 533 NA NA NA NA 4333 557 NA NA NA
1435395600.0 101.0 94 NA NA NA NA NA 224 NA NA NA NA NA 1354 NA NA NA NA NA 1379 NA NA NA NA NA
1435395600.0 102.0 95 NA NA NA NA NA 224 NA NA NA NA NA 1038 NA NA NA NA NA 1051 NA NA NA NA NA
1435395600.0 103.0 59 89 199 NA NA NA 155 230 376 NA NA NA 953 270 738 NA NA NA 960 282 853 NA NA NA
1435395600.0 105.0 64 90 30 NA NA NA 160 230 118 NA NA NA 2146 407 3 NA NA NA 2156 417 6 NA NA NA
1435395600.0 106.0 49 0 0 NA NA NA 138 0 0 NA NA NA 509 94 427 NA NA NA 512 99 442 NA NA NA
1435395600.0 107.0 64 90 199 NA NA NA 161 230 376 NA NA NA 3860 416 837 NA NA NA 3873 425 873 NA NA NA
1435395600.0 108.0 67 93 202 NA NA NA 163 230 376 NA NA NA 5191 436 975 NA NA NA 5278 445 1077 NA NA NA
1435395600.0 109.0 67 93 201 NA NA NA 164 230 376 NA NA NA 6204 446 1000 NA NA NA 6224 459 1023 NA NA NA
1435395600.0 11.0 NA 82 206 0 52 NA NA 227 387 0 142 NA NA 1890 1312 605 44 NA NA 1935 1344 616 47 NA
1435395600.0 110.0 56 89 196 NA NA NA 147 230 376 NA NA NA 797 397 741 NA NA NA 801 404 761 NA NA NA
1435395600.0 1102.0 NA 84 204 131 65 NA NA 227 376 259 145 NA NA 2429 3588 1982 165 NA NA 2571 3606 2009 167 NA
1435395600.0 111.0 64 91 199 NA NA NA 161 230 376 NA NA NA 2369 341 787 NA NA NA 2380 351 810 NA NA NA
1435395600.0 112.0 66 91 198 NA NA NA 162 230 371 NA NA NA 3679 422 827 NA NA NA 3698 431 858 NA NA NA
1435395600.0 113.0 66 90 198 NA NA NA 162 230 372 NA NA NA 3651 438 833 NA NA NA 3667 514 854 NA NA NA
1435395600.0 114.0 65 91 199 NA NA NA 161 230 376 NA NA NA 3545 444 839 NA NA NA 3558 451 865 NA NA NA
1435395600.0 115.0 67 92 198 NA NA NA 163 230 372 NA NA NA 4443 431 873 NA NA NA 4459 438 896 NA NA NA
1435395600.0 116.0 66 92 198 NA NA NA 163 230 372 NA NA NA 4246 432 902 NA NA NA 4337 438 924 NA NA NA
1435395600.0 117.0 67 89 199 NA NA NA 163 230 376 NA NA NA 6067 468 1010 NA NA NA 6095 484 1119 NA NA NA
1435395600.0 118.0 66 91 198 NA NA NA 162 230 372 NA NA NA 4580 449 995 NA NA NA 4593 467 1160 NA NA NA
