Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1440493200.0 1.0 87 81 140 NA NA NA 141 140 181 NA NA NA 6052 1377 850 NA NA NA 2713 1367 772 NA NA NA
1440493200.0 10.0 NA 94 361 0 NA NA NA 151 405 0 NA NA NA 5603 7008 1254 NA NA NA 3935 3285 1272 NA NA
1440493200.0 1000.0 NA 298 115 0 44 NA NA 354 163 0 71 NA NA 6209 1643 1049 275 NA NA 6219 7064 1140 1755 NA
1440493200.0 1001.0 NA 312 110 0 0 0 NA 354 138 0 0 0 NA 5654 394 65 76 737 NA 5337 836 1531 160 1265
1440493200.0 1002.0 NA 333 70 NA NA NA NA 385 99 NA NA NA NA 5555 379 NA NA NA NA 7117 390 NA NA NA
1440493200.0 1003.0 NA 287 0 NA NA NA NA 338 0 NA NA NA NA 8170 778 NA NA NA NA 6114 889 NA NA NA
1440493200.0 101.0 111 NA NA NA NA NA 158 NA NA NA NA NA 1821 NA NA NA NA NA 1836 NA NA NA NA NA
1440493200.0 102.0 111 NA NA NA NA NA 158 NA NA NA NA NA 1680 NA NA NA NA NA 1695 NA NA NA NA NA
1440493200.0 103.0 61 82 335 NA NA NA 96 141 379 NA NA NA 4445 939 1829 NA NA NA 2735 974 1893 NA NA NA
1440493200.0 105.0 87 83 31 NA NA NA 141 141 56 NA NA NA 7039 1121 8 NA NA NA 2750 1030 34 NA NA NA
1440493200.0 106.0 49 0 0 NA NA NA 78 0 0 NA NA NA 868 591 1304 NA NA NA 878 642 1335 NA NA NA
1440493200.0 107.0 91 88 353 NA NA NA 147 141 397 NA NA NA 12722 1507 2492 NA NA NA 4158 1392 2964 NA NA NA
1440493200.0 108.0 96 88 355 NA NA NA 148 141 400 NA NA NA 16766 1512 3199 NA NA NA 5667 1283 2748 NA NA NA
1440493200.0 109.0 98 89 354 NA NA NA 147 141 399 NA NA NA 15254 1356 2854 NA NA NA 5181 1092 2426 NA NA NA
1440493200.0 11.0 NA 90 382 0 54 NA NA 151 428 0 80 NA NA 4709 3461 1243 106 NA NA 3535 2525 1261 143 NA
1440493200.0 110.0 71 84 344 NA NA NA 108 141 389 NA NA NA 4107 1299 2169 NA NA NA 1869 1344 2780 NA NA NA
1440493200.0 1102.0 NA 96 363 120 67 NA NA 150 407 166 103 NA NA 5700 8753 6360 449 NA NA 11893 6076 3793 571 NA
1440493200.0 111.0 91 87 348 NA NA NA 143 141 394 NA NA NA 8243 1191 2413 NA NA NA 3379 1032 2343 NA NA NA
1440493200.0 112.0 99 86 349 NA NA NA 146 141 394 NA NA NA 10976 1522 2209 NA NA NA 4173 1168 2038 NA NA NA
1440493200.0 113.0 95 87 349 NA NA NA 146 141 395 NA NA NA 11588 1276 2279 NA NA NA 4148 1086 2059 NA NA NA
1440493200.0 114.0 96 89 355 NA NA NA 148 141 399 NA NA NA 12178 1315 2374 NA NA NA 4383 1377 1970 NA NA NA
1440493200.0 115.0 100 86 351 NA NA NA 149 141 396 NA NA NA 14046 1264 2340 NA NA NA 5190 1117 2009 NA NA NA
1440493200.0 116.0 99 89 355 NA NA NA 150 141 402 NA NA NA 16463 1504 2248 NA NA NA 6239 1258 2038 NA NA NA
1440493200.0 117.0 95 89 354 NA NA NA 146 141 399 NA NA NA 17106 1437 2330 NA NA NA 5891 1248 1883 NA NA NA
