Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1445331600.0 1.0 90 82 138 NA NA 141 141 186 NA NA 2728 667 506 NA NA 1252 611 547 NA NA
1445331600.0 10.0 NA 95 356 0 NA NA 152 403 0 NA NA 2670 3732 708 NA NA 1811 1727 718 NA
1445331600.0 101.0 111 NA NA NA NA 159 NA NA NA NA 684 NA NA NA NA 709 NA NA NA NA
1445331600.0 102.0 110 NA NA NA NA 158 NA NA NA NA 676 NA NA NA NA 718 NA NA NA NA
1445331600.0 105.0 89 85 31 NA NA 141 142 57 NA NA 2463 655 8 NA NA 1152 681 41 NA NA
1445331600.0 11.0 NA 90 382 0 54 NA 151 428 0 82 NA 2156 1974 762 68 NA 1582 1433 776 67
1445331600.0 12.0 NA 91 351 0 NA NA 151 400 0 NA NA 2432 3793 724 NA NA 1698 1863 735 NA
1445331600.0 13.0 NA 90 349 0 NA NA 151 397 0 NA NA 523 1657 658 NA NA 486 1083 684 NA
1445331600.0 14.0 NA 92 351 0 NA NA 151 398 0 NA NA 2320 2980 695 NA NA 1632 1645 707 NA
1445331600.0 15.0 NA 85 342 0 NA NA 151 390 0 NA NA 1983 1635 591 NA NA 1462 1214 600 NA
1445331600.0 16.0 NA 90 345 0 NA NA 151 393 0 NA NA 2135 2124 692 NA NA 1562 1330 705 NA
1445331600.0 17.0 NA 86 345 0 NA NA 151 392 0 NA NA 2037 1801 649 NA NA 1491 1216 661 NA
1445331600.0 18.0 NA 85 342 0 NA NA 151 389 0 NA NA 2033 1529 667 NA NA 1501 1140 685 NA
1445331600.0 19.0 NA 84 342 0 NA NA 151 390 0 NA NA 2022 1578 637 NA NA 1501 1171 650 NA
1445331600.0 2.0 99 87 146 NA NA 148 141 194 NA NA 7143 723 748 NA NA 2281 641 658 NA NA
1445331600.0 20.0 NA 88 343 0 NA NA 151 391 0 NA NA 2104 2079 714 NA NA 1502 1277 723 NA
1445331600.0 21.0 NA 89 345 0 NA NA 151 392 0 NA NA 2301 2528 741 NA NA 1639 1411 754 NA
1445331600.0 22.0 NA 89 346 0 NA NA 151 392 0 NA NA 2468 3162 633 NA NA 1714 1647 642 NA
1445331600.0 23.0 NA 91 350 0 NA NA 151 397 0 NA NA 2443 2742 682 NA NA 1696 1539 697 NA
1445331600.0 24.0 NA 93 356 0 NA NA 151 403 0 NA NA 2629 3803 805 NA NA 1806 1694 826 NA
1445331600.0 25.0 NA 93 NA NA NA NA 151 NA NA NA NA 2773 NA NA NA NA 1902 NA NA NA
1445331600.0 26.0 NA 91 355 0 NA NA 151 405 0 NA NA 2355 2369 705 NA NA 1689 1430 726 NA
1445331600.0 27.0 NA 91 350 0 NA NA 151 398 0 NA NA 2376 2355 717 NA NA 1688 1371 729 NA
1445331600.0 28.0 NA 92 356 0 NA NA 151 402 0 NA NA 2601 3045 691 NA NA 1800 1533 701 NA
1445331600.0 29.0 NA 91 356 0 NA NA 151 407 0 NA NA 2439 2561 711 NA NA 1752 1463 723 NA
1445331600.0 3.0 94 84 156 NA NA 143 141 198 NA NA 13786 601 1294 NA NA 4819 570 734 NA NA
1445331600.0 30.0 NA 90 351 0 NA NA 151 398 0 NA NA 2488 2862 731 NA NA 1745 1487 744 NA
1445331600.0 31.0 NA 91 350 0 NA NA 151 397 0 NA NA 2464 2417 757 NA NA 1737 1389 769 NA
1445331600.0 32.0 NA 91 351 0 NA NA 151 399 0 NA NA 2514 2711 774 NA NA 1765 1480 796 NA
1445331600.0 33.0 NA 90 349 0 NA NA 151 396 0 NA NA 2498 2285 753 NA NA 1790 1404 762 NA
1445331600.0 34.0 96 87 348 0 NA 148 142 395 0 NA 5980 600 1141 647 NA 1998 479 1000 659 NA
1445331600.0 35.0 NA 92 354 0 NA NA 151 400 0 NA NA 2495 2932 767 NA NA 1744 1463 896 NA
1445331600.0 37.0 NA 94 359 0 NA NA 151 407 0 NA NA 2608 4703 831 NA NA 1810 2163 887 NA
1445331600.0 4.17 NA 36 321 0 116 NA 71 374 0 165 NA 58 3777 711 626 NA 93 2275 724 453
1445331600.0 4.22 NA 197 57 67 0 NA 253 86 106 0 NA 1611 109 167 199 NA 1093 139 190 230
1445331600.0 4.23 NA 62 327 0 NA NA 102 386 0 NA NA 174 4282 762 NA NA 233 3203 770 NA
1445331600.0 4.24 NA 56 324 0 NA NA 90 384 0 NA NA 78 4114 782 NA NA 92 2754 795 NA
1445331600.0 4.25 NA 56 322 0 NA NA 89 381 0 NA NA 77 3936 848 NA NA 75 2547 859 NA
1445331600.0 4.26 NA 56 325 0 NA NA 88 384 0 NA NA 71 4812 818 NA NA 85 2854 831 NA
1445331600.0 4.27 NA 57 327 0 NA NA 91 386 0 NA NA 99 5263 670 NA NA 107 3143 682 NA
1445331600.0 4.28 NA 65 321 0 NA NA 108 383 0 NA NA 221 3675 2069 NA NA 275 3944 2095 NA
1445331600.0 4.29 NA 37 328 0 119 NA 71 377 0 165 NA 69 4298 763 666 NA 92 2599 775 546
1445331600.0 4.34 NA 61 330 0 NA NA 100 390 0 NA NA 175 5089 681 NA NA 309 3396 690 NA
1445331600.0 4.36 NA 55 327 0 NA NA 87 386 0 NA NA 80 5167 644 NA NA 135 2936 652 NA
1445331600.0 4.37 NA 56 331 0 NA NA 89 391 0 NA NA 98 5994 622 NA NA 231 3096 643 NA
1445331600.0 4.4 NA 36 337 0 NA NA 72 390 0 NA NA 75 4940 698 NA NA 97 2018 707 NA
1445331600.0 4.41 NA 36 338 0 NA NA 72 391 0 NA NA 89 7151 735 NA NA 103 2623 743 NA
1445331600.0 4.42 NA 36 346 0 NA NA 73 402 0 NA NA 94 8905 772 NA NA 167 3330 822 NA
1445331600.0 4.43 NA 37 332 0 NA NA 72 384 0 NA NA 59 4972 795 NA NA 72 2274 1206 NA
1445331600.0 4.44 NA 36 333 0 NA NA 72 386 0 NA NA 72 6960 800 NA NA 111 3386 1023 NA
1445331600.0 4.45 NA 36 346 0 NA NA 72 399 0 NA NA 79 10777 857 NA NA 92 4873 898 NA
1445331600.0 4.51 NA 36 346 0 NA NA 72 400 0 NA NA 75 8849 809 NA NA 112 4194 915 NA
1445331600.0 4.52 NA 36 348 0 NA NA 72 404 0 NA NA 89 11280 788 NA NA 97 5096 820 NA
1445331600.0 4.53 NA 36 343 0 NA NA 72 400 0 NA NA 81 10336 797 NA NA 80 4639 888 NA
1445331600.0 4.54 NA 36 347 0 NA NA 71 402 0 NA NA 85 10522 793 NA NA 113 4861 845 NA
1445331600.0 4.55 NA 36 348 0 NA NA 71 404 0 NA NA 94 13610 762 NA NA 89 5607 834 NA
1445331600.0 4.57 NA 53 358 0 NA NA 86 418 0 NA NA 119 13403 754 NA NA 121 5760 778 NA
1445331600.0 4.58 NA 37 334 0 NA NA 73 385 0 NA NA 83 6927 740 NA NA 79 3764 787 NA
1445331600.0 4.6 NA 319 0 NA NA NA 375 0 NA NA NA 3032 414 NA NA NA 2527 571 NA NA
1445331600.0 4.61 NA 36 359 0 NA NA 72 408 0 NA NA 87 10507 742 NA NA 95 4625 758 NA
1445331600.0 4.62 NA 36 345 0 NA NA 72 399 0 NA NA 88 9855 744 NA NA 84 3947 777 NA
1445331600.0 4.63 NA 36 349 0 NA NA 71 404 0 NA NA 96 11447 707 NA NA 144 4094 721 NA
1445331600.0 4.64 NA 35 351 0 NA NA 71 403 0 NA NA 105 10562 820 NA NA 228 3719 1171 NA
1445331600.0 4.65 NA 36 365 0 NA NA 72 423 0 NA NA 107 16439 735 NA NA 259 6316 790 NA
1445331600.0 4.67 NA 54 356 0 NA NA 87 417 0 NA NA 157 13246 728 NA NA 253 6020 743 NA
1445331600.0 4.68 NA 37 350 0 NA NA 72 405 0 NA NA 98 12047 775 NA NA 133 5227 792 NA
