Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1445853600.0 1.0 65 85 127 NA NA NA NA 97 143 171 NA NA NA NA 2429 540 505 NA NA NA NA 2541 577 1004 NA NA NA NA
1445853600.0 10.0 NA 83 192 0 NA NA NA NA 140 230 0 NA NA NA NA 2608 3553 977 NA NA NA NA 2645 3605 989 NA NA NA
1445853600.0 1000.0 NA 191 113 0 42 NA NA NA 235 153 0 67 NA NA NA 2444 656 722 107 NA NA NA 2948 992 779 191 NA NA
1445853600.0 1001.0 NA 184 176 0 0 0 0 NA 223 203 0 0 0 0 NA 2269 688 136 105 1165 56 NA 2646 1037 312 113 1281 118
1445853600.0 1002.0 NA 200 68 NA NA NA NA NA 246 93 NA NA NA NA NA 2655 240 NA NA NA NA NA 3113 355 NA NA NA NA
1445853600.0 1003.0 NA 176 0 NA NA NA NA NA 222 0 NA NA NA NA NA 3662 707 NA NA NA NA NA 4148 752 NA NA NA NA
1445853600.0 101.0 94 NA NA NA NA NA NA 137 NA NA NA NA NA NA 1678 NA NA NA NA NA NA 1705 NA NA NA NA NA NA
1445853600.0 102.0 95 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1149 NA NA NA NA NA NA 1192 NA NA NA NA NA NA
1445853600.0 103.0 61 88 187 NA NA NA NA 91 144 225 NA NA NA NA 1107 369 749 NA NA NA NA 1142 380 802 NA NA NA NA
1445853600.0 105.0 66 88 30 NA NA NA NA 97 144 53 NA NA NA NA 2471 502 5 NA NA NA NA 2577 523 12 NA NA NA NA
1445853600.0 106.0 51 0 0 NA NA NA NA 76 0 0 NA NA NA NA 565 176 337 NA NA NA NA 573 219 412 NA NA NA NA
1445853600.0 107.0 65 89 190 NA NA NA NA 98 144 228 NA NA NA NA 4784 514 837 NA NA NA NA 4972 533 920 NA NA NA NA
1445853600.0 108.0 68 91 191 NA NA NA NA 100 144 229 NA NA NA NA 6741 553 964 NA NA NA NA 6943 581 1030 NA NA NA NA
1445853600.0 109.0 71 92 192 NA NA NA NA 100 144 228 NA NA NA NA 7986 549 932 NA NA NA NA 8178 576 985 NA NA NA NA
1445853600.0 11.0 NA 81 199 0 52 NA NA NA 140 238 0 76 NA NA NA 2032 1558 1260 80 NA NA NA 2081 1621 1268 95 NA NA
1445853600.0 110.0 58 88 186 NA NA NA NA 84 144 227 NA NA NA NA 767 498 725 NA NA NA NA 802 561 780 NA NA NA NA
1445853600.0 1102.0 NA 83 193 118 66 NA NA NA 140 231 154 100 NA NA NA 2262 4073 2522 244 NA NA NA 2586 4659 3345 263 NA NA
1445853600.0 111.0 67 89 189 NA NA NA NA 97 144 228 NA NA NA NA 3165 410 772 NA NA NA NA 3213 440 887 NA NA NA NA
1445853600.0 112.0 68 90 188 NA NA NA NA 98 144 226 NA NA NA NA 4356 590 777 NA NA NA NA 4403 626 849 NA NA NA NA
1445853600.0 113.0 68 91 190 NA NA NA NA 99 144 228 NA NA NA NA 4670 504 793 NA NA NA NA 4735 537 875 NA NA NA NA
1445853600.0 114.0 68 88 189 NA NA NA NA 98 144 228 NA NA NA NA 4986 587 749 NA NA NA NA 5059 625 832 NA NA NA NA
1445853600.0 115.0 69 91 188 NA NA NA NA 100 144 227 NA NA NA NA 5303 548 833 NA NA NA NA 5373 597 898 NA NA NA NA
1445853600.0 116.0 68 90 191 NA NA NA NA 100 144 228 NA NA NA NA 5530 523 975 NA NA NA NA 5575 541 1029 NA NA NA NA
1445853600.0 117.0 69 90 192 NA NA NA NA 100 144 228 NA NA NA NA 7510 631 956 NA NA NA NA 7583 655 1032 NA NA NA NA
1445853600.0 118.0 68 90 191 NA NA NA NA 99 144 228 NA NA NA NA 5766 506 879 NA NA NA NA 5833 535 939 NA NA NA NA
1445853600.0 119.0 67 89 190 NA NA NA NA 97 144 228 NA NA NA NA 4286 566 846 NA NA NA NA 4325 587 901 NA NA NA NA
1445853600.0 12.0 NA 82 191 0 NA NA NA NA 140 229 0 NA NA NA NA 2370 3869 1108 NA NA NA NA 2401 3929 1115 NA NA NA
1445853600.0 120.0 58 85 186 NA NA NA NA 88 144 227 NA NA NA NA 682 436 654 NA NA NA NA 697 474 705 NA NA NA NA
1445853600.0 121.0 69 91 192 NA NA NA NA 100 144 228 NA NA NA NA 7325 515 995 NA NA NA NA 7383 527 1039 NA NA NA NA
1445853600.0 122.0 66 88 187 NA NA NA NA 96 144 225 NA NA NA NA 1699 367 669 NA NA NA NA 1716 386 730 NA NA NA NA
1445853600.0 123.1 173 NA NA NA NA NA NA 214 NA NA NA NA NA NA 814 NA NA NA NA NA NA 862 NA NA NA NA NA NA
1445853600.0 123.2 174 NA NA NA NA NA NA 216 NA NA NA NA NA NA 980 NA NA NA NA NA NA 1045 NA NA NA NA NA NA
1445853600.0 123.3 161 NA NA NA NA NA NA 203 NA NA NA NA NA NA 659 NA NA NA NA NA NA 757 NA NA NA NA NA NA
1445853600.0 124.1 167 NA NA NA NA NA NA 206 NA NA NA NA NA NA 652 NA NA NA NA NA NA 701 NA NA NA NA NA NA
1445853600.0 124.2 173 NA NA NA NA NA NA 213 NA NA NA NA NA NA 739 NA NA NA NA NA NA 794 NA NA NA NA NA NA
1445853600.0 124.4 168 NA NA NA NA NA NA 206 NA NA NA NA NA NA 642 NA NA NA NA NA NA 712 NA NA NA NA NA NA
1445853600.0 124.5 168 NA NA NA NA NA NA 206 NA NA NA NA NA NA 704 NA NA NA NA NA NA 762 NA NA NA NA NA NA
1445853600.0 124.6 161 NA NA NA NA NA NA 203 NA NA NA NA NA NA 651 NA NA NA NA NA NA 729 NA NA NA NA NA NA
1445853600.0 125.0 69 90 191 NA NA NA NA 99 144 228 NA NA NA NA 5166 536 883 NA NA NA NA 5196 550 921 NA NA NA NA
1445853600.0 126.0 59 85 187 NA NA NA NA 89 144 227 NA NA NA NA 1563 441 708 NA NA NA NA 1574 469 775 NA NA NA NA
1445853600.0 127.0 58 86 187 NA NA NA NA 84 144 227 NA NA NA NA 1794 471 702 NA NA NA NA 1811 485 746 NA NA NA NA
1445853600.0 128.0 57 87 186 NA NA NA NA 83 144 227 NA NA NA NA 653 445 639 NA NA NA NA 665 463 680 NA NA NA NA
1445853600.0 129.0 58 85 186 NA NA NA NA 88 144 227 NA NA NA NA 631 466 644 NA NA NA NA 645 496 703 NA NA NA NA
1445853600.0 13.0 NA 80 190 0 NA NA NA NA 140 227 0 NA NA NA NA 360 1605 969 NA NA NA NA 397 1666 978 NA NA NA
1445853600.0 130.0 59 85 186 NA NA NA NA 89 144 227 NA NA NA NA 743 450 693 NA NA NA NA 758 467 765 NA NA NA NA
1445853600.0 1301.0 74 126 154 NA NA NA NA 103 171 201 NA NA NA NA 1914 650 830 NA NA NA NA 7590 798 1217 NA NA NA NA
1445853600.0 1302.0 80 136 159 NA NA NA NA 109 171 205 NA NA NA NA 9080 910 1076 NA NA NA NA 15070 936 1149 NA NA NA NA
1445853600.0 1303.0 80 140 168 NA NA NA NA 110 171 206 NA NA NA NA 14675 1071 2163 NA NA NA NA 17706 1109 2261 NA NA NA NA
1445853600.0 1306.0 NA 131 222 0 NA NA NA NA 179 265 0 NA NA NA NA 770 928 1549 NA NA NA NA 894 1577 1585 NA NA NA
1445853600.0 1307.0 NA 127 134 51 0 NA NA NA 176 189 75 0 NA NA NA 573 817 91 583 NA NA NA 704 1034 568 694 NA NA
1445853600.0 1308.0 NA 125 133 50 0 NA NA NA 176 189 75 0 NA NA NA 558 730 73 554 NA NA NA 711 1018 597 679 NA NA
1445853600.0 1309.0 NA 142 229 0 NA NA NA NA 185 274 0 NA NA NA NA 944 1514 1501 NA NA NA NA 1097 1614 1518 NA NA NA
1445853600.0 131.0 60 87 185 NA NA NA NA 90 144 223 NA NA NA NA 1699 453 651 NA NA NA NA 1724 468 697 NA NA NA NA
1445853600.0 1310.0 NA 140 224 0 NA NA NA NA 185 271 0 NA NA NA NA 862 1490 1627 NA NA NA NA 1000 1562 1678 NA NA NA
1445853600.0 1311.0 NA 132 217 0 60 NA NA NA 182 260 0 85 NA NA NA 755 1243 1839 186 NA NA NA 797 1323 1878 196 NA NA
1445853600.0 1312.0 NA 137 225 0 NA NA NA NA 186 269 0 NA NA NA NA 958 1434 1735 NA NA NA NA 1004 1518 1758 NA NA NA
1445853600.0 1313.0 NA 143 231 0 NA NA NA NA 190 278 0 NA NA NA NA 986 6164 1812 NA NA NA NA 1011 6262 1875 NA NA NA
1445853600.0 1314.0 NA 144 227 0 NA NA NA NA 185 274 0 NA NA NA NA 892 2065 1556 NA NA NA NA 941 2140 1590 NA NA NA
