Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1445461200.0 1.0 66 87 125 NA NA 164 232 276 NA NA 3451 698 652 NA NA 3639 721 1030 NA NA
1445461200.0 11.0 NA 81 200 0 52 NA 229 380 0 144 NA 2329 1790 1267 86 NA 2369 1830 1274 92
1445461200.0 13.0 NA 80 192 0 NA NA 229 369 0 NA NA 444 2263 1293 NA NA 467 2304 1299 NA
1445461200.0 2.0 71 89 137 NA NA 167 231 277 NA NA 10875 633 1010 NA NA 11313 644 1057 NA NA
1445461200.0 3.0 72 85 133 NA NA 169 231 276 NA NA 19376 508 1436 NA NA 19896 654 1707 NA NA
1445461200.0 4.17 NA 34 199 0 113 NA 131 372 0 229 NA 123 4082 1095 756 NA 283 4293 1149 893
1445461200.0 4.22 NA 130 54 65 0 NA 304 148 160 0 NA 1314 127 198 302 NA 1475 138 220 327
1445461200.0 4.23 NA 60 207 0 NA NA 162 382 0 NA NA 242 4152 1381 NA NA 294 4422 1416 NA
1445461200.0 4.24 NA 54 204 0 NA NA 151 380 0 NA NA 138 3941 1347 NA NA 183 4271 1394 NA
1445461200.0 4.25 NA 54 203 0 NA NA 149 380 0 NA NA 131 4055 1339 NA NA 172 4324 1390 NA
1445461200.0 4.26 NA 53 205 0 NA NA 149 381 0 NA NA 129 5042 1205 NA NA 211 5390 1229 NA
1445461200.0 4.27 NA 54 203 0 NA NA 151 378 0 NA NA 131 5561 1230 NA NA 444 5862 1244 NA
1445461200.0 4.28 NA 63 207 0 NA NA 167 384 0 NA NA 281 3571 2895 NA NA 476 3861 2927 NA
1445461200.0 4.29 NA 33 204 0 115 NA 132 378 0 233 NA 128 4288 1156 992 NA 235 4451 1185 1312
1445461200.0 4.34 NA 59 212 0 NA NA 160 385 0 NA NA 259 5283 1262 NA NA 406 5401 1348 NA
1445461200.0 4.36 NA 54 208 0 NA NA 149 379 0 NA NA 147 5561 1028 NA NA 179 5972 1157 NA
1445461200.0 4.37 NA 54 208 0 NA NA 149 384 0 NA NA 150 6833 1086 NA NA 170 7331 1171 NA
1445461200.0 4.4 NA 34 207 0 NA NA 132 383 0 NA NA 139 6360 1061 NA NA 192 6859 1161 NA
1445461200.0 4.41 NA 34 207 0 NA NA 131 383 0 NA NA 150 8901 995 NA NA 174 9430 1078 NA
1445461200.0 4.42 NA 34 212 0 NA NA 132 390 0 NA NA 173 11520 1174 NA NA 204 12172 1239 NA
1445461200.0 4.43 NA 35 203 0 NA NA 131 379 0 NA NA 118 5990 1085 NA NA 139 6581 1173 NA
1445461200.0 4.44 NA 34 204 0 NA NA 131 380 0 NA NA 155 7885 1022 NA NA 252 8480 1128 NA
1445461200.0 4.45 NA 34 210 0 NA NA 132 387 0 NA NA 175 12461 1209 NA NA 199 13140 1306 NA
1445461200.0 4.51 NA 34 212 0 NA NA 132 389 0 NA NA 162 9891 1108 NA NA 316 10514 1140 NA
1445461200.0 4.52 NA 33 212 0 NA NA 132 390 0 NA NA 172 13125 975 NA NA 221 13614 1014 NA
1445461200.0 4.53 NA 34 207 0 NA NA 132 387 0 NA NA 167 12575 1041 NA NA 239 13104 1049 NA
1445461200.0 4.54 NA 34 208 0 NA NA 131 391 0 NA NA 179 12624 1062 NA NA 242 12968 1072 NA
1445461200.0 4.55 NA 34 209 0 NA NA 132 387 0 NA NA 189 17460 1056 NA NA 253 17765 1063 NA
1445461200.0 4.57 NA 52 212 0 NA NA 147 396 0 NA NA 189 16044 1135 NA NA 251 16382 1151 NA
1445461200.0 4.58 NA 35 199 0 NA NA 134 384 0 NA NA 155 7789 1148 NA NA 215 8110 1178 NA
1445461200.0 4.6 NA 197 0 NA NA NA 377 0 NA NA NA 2823 702 NA NA NA 3037 757 NA NA
1445461200.0 4.61 NA 34 208 0 NA NA 132 390 0 NA NA 156 12328 1057 NA NA 265 12640 1078 NA
1445461200.0 4.62 NA 33 211 0 NA NA 132 388 0 NA NA 186 11746 1005 NA NA 248 11930 1020 NA
1445461200.0 4.63 NA 34 215 0 NA NA 131 386 0 NA NA 184 13581 952 NA NA 262 13737 966 NA
1445461200.0 4.64 NA 34 212 0 NA NA 131 388 0 NA NA 176 12787 941 NA NA 230 12923 947 NA
1445461200.0 4.65 NA 34 220 0 NA NA 132 398 0 NA NA 200 19355 914 NA NA 235 19531 922 NA
1445461200.0 4.67 NA 52 220 0 NA NA 149 397 0 NA NA 249 14258 942 NA NA 455 14361 963 NA
1445461200.0 4.68 NA 35 211 0 NA NA 134 388 0 NA NA 186 12652 984 NA NA 232 12748 989 NA
1445461200.0 4.71 NA 34 207 0 NA NA 132 384 0 NA NA 171 7888 795 NA NA 207 7935 807 NA
1445461200.0 4.72 NA 34 210 0 NA NA 132 387 0 NA NA 154 8817 848 NA NA 173 8890 865 NA
1445461200.0 4.73 NA 35 217 0 NA NA 134 390 0 NA NA 209 11440 901 NA NA 233 11569 911 NA
1445461200.0 4.74 NA 34 209 0 NA NA 131 385 0 NA NA 159 9358 851 NA NA 188 9436 857 NA
1445461200.0 4.75 NA 34 216 0 NA NA 132 386 0 NA NA 178 14996 930 NA NA 207 15119 947 NA
1445461200.0 4.76 NA 52 216 0 NA NA 145 393 0 NA NA 185 10286 898 NA NA 216 10409 922 NA
1445461200.0 4.77 NA 53 220 0 NA NA 151 395 0 NA NA 177 8441 1475 NA NA 458 8509 1486 NA
1445461200.0 4.78 NA 35 220 0 NA NA 134 388 0 NA NA 183 14135 928 NA NA 229 14235 940 NA
1445461200.0 5.1 173 0 NA NA NA 343 0 NA NA NA 986 268 NA NA NA 1110 282 NA NA NA
1445461200.0 5.2 163 0 NA NA NA 336 0 NA NA NA 694 215 NA NA NA 724 224 NA NA NA
1445461200.0 5.3 163 0 NA NA NA 336 0 NA NA NA 733 190 NA NA NA 769 199 NA NA NA
1445461200.0 5.4 172 0 NA NA NA 342 0 NA NA NA 737 250 NA NA NA 825 267 NA NA NA
1445461200.0 5.5 172 0 NA NA NA 343 0 NA NA NA 751 283 NA NA NA 822 290 NA NA NA
