Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1448964000.0 109.0 69 89 191 NA 168 231 368 NA 7377 491 874 NA 7558 520 900 NA
1448964000.0 1302.0 79 131 163 NA 177 293 321 NA 8669 922 896 NA 10487 1272 969 NA
1448964000.0 133.0 71 88 190 NA 169 231 369 NA 9233 509 895 NA 9717 604 1004 NA
1448964000.0 134.701 NA 112 221 0 NA 270 398 0 NA 1369 5451 824 NA 1925 5510 831
1448964000.0 134.71 NA 110 215 0 NA 264 390 0 NA 1146 4678 867 NA 1166 4739 874
1448964000.0 134.801 NA 119 215 0 NA 273 395 0 NA 1653 5588 840 NA 2219 5678 1357
1448964000.0 134.812 NA 117 213 0 NA 271 393 0 NA 1511 5345 818 NA 2087 5414 828
1448964000.0 134.912 NA 116 210 0 NA 271 391 0 NA 1510 4885 837 NA 2077 4975 873
1448964000.0 145.0 NA 192 301 0 NA 352 478 0 NA 3578 5134 927 NA 4191 5307 937
1448964000.0 204.0 67 96 200 0 166 238 387 0 4840 811 1459 740 5300 1522 2188 779
1448964000.0 250204.0 NA 194 246 0 NA 370 451 0 NA 12656 3595 1363 NA 13725 5905 1527
1448964000.0 250205.0 NA 181 256 0 NA 371 448 0 NA 10583 3151 1345 NA 13633 5680 1568
1448964000.0 250206.0 NA 184 250 0 NA 368 448 0 NA 11394 3905 1375 NA 12512 6191 1537
1448964000.0 25406.0 238 0 104 NA 440 0 226 NA 3290 481 388 NA 4110 502 631 NA
1448964000.0 25408.0 246 0 106 NA 459 0 226 NA 5203 527 629 NA 16028 571 873 NA
1448964000.0 280.0 106 88 183 0 237 231 367 0 6119 441 722 706 6425 475 800 726
1448964000.0 4.42 NA 34 208 0 NA 133 387 0 NA 135 8078 762 NA 175 8210 773
1448964000.0 4.51 NA 35 210 0 NA 132 386 0 NA 117 6623 745 NA 163 6679 765
1448964000.0 4.62 NA 34 207 0 NA 133 385 0 NA 134 8092 709 NA 195 8248 726
1448964000.0 4.72 NA 34 206 0 NA 132 385 0 NA 123 6934 754 NA 334 7001 775
1448964000.0 4.77 NA 53 217 0 NA 152 395 0 NA 138 6314 1184 NA 243 6397 1215
1448964000.0 50200.0 NA 156 251 0 NA 323 469 0 NA 2198 3504 1610 NA 3724 12484 1701
1448964000.0 50203.0 NA 156 244 0 NA 325 465 0 NA 2134 3067 1635 NA 3644 12163 1708
1448964000.0 50204.0 NA 159 246 0 NA 327 471 0 NA 2235 3661 1515 NA 4146 13414 1564
