Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1450173600.0 109.0 66 91 203 NA 98 146 241 NA 6326 464 822 NA 6655 644 1012 NA
1450173600.0 134.704 NA 121 215 0 NA 165 281 0 NA 1705 7115 855 NA 1973 8485 886
1450173600.0 134.707 NA 123 216 0 NA 169 277 0 NA 1891 7093 837 NA 2169 8337 865
1450173600.0 134.708 NA 122 217 0 NA 171 279 0 NA 1906 6797 871 NA 2329 8220 897
1450173600.0 134.802 NA 130 215 0 NA 173 282 0 NA 2571 9438 839 NA 2825 9845 847
1450173600.0 134.803 NA 130 218 0 NA 175 282 0 NA 2334 8467 819 NA 2636 8909 825
1450173600.0 134.904 NA 130 215 0 NA 178 281 0 NA 2489 7782 837 NA 2753 8091 844
1450173600.0 134.905 NA 129 224 0 NA 173 276 0 NA 1945 6232 827 NA 2213 6861 839
1450173600.0 134.906 NA 131 216 0 NA 174 279 0 NA 2389 7333 832 NA 2652 7775 839
1450173600.0 134.909 NA 129 210 0 NA 175 275 0 NA 2128 6796 848 NA 2412 8163 869
1450173600.0 134.91 NA 129 215 0 NA 174 275 0 NA 1873 6110 862 NA 2140 7960 890
1450173600.0 134.911 NA 129 211 0 NA 175 280 0 NA 2115 6527 841 NA 2394 8017 887
1450173600.0 145.0 NA 200 286 0 NA 254 338 0 NA 3224 3320 340 NA 4022 3613 350
1450173600.0 250408.0 220 0 111 NA 278 0 150 NA 1500 450 491 NA 1999 607 575 NA
1450173600.0 25409.0 248 0 112 NA 322 0 151 NA 4275 483 517 NA 12185 499 618 NA
1450173600.0 280.0 92 73 187 0 167 146 241 0 5488 493 687 757 6269 1519 979 805
1450173600.0 3.0 64 85 141 NA 98 144 176 NA 9873 370 829 NA 10668 424 863 NA
1450173600.0 36.0 NA 90 199 0 NA 148 246 0 NA 2103 11214 792 NA 2423 12440 820
1450173600.0 37.0 NA 90 201 0 NA 148 243 0 NA 2327 3616 870 NA 2395 5135 2170
1450173600.0 39.0 NA 92 203 0 NA 148 246 0 NA 2366 5932 866 NA 2439 6693 901
1450173600.0 4.55 NA 44 224 0 NA 76 268 0 NA 167 10032 754 NA 224 10243 761
1450173600.0 4.65 NA 44 222 0 NA 76 277 0 NA 180 12423 710 NA 327 13994 732
1450173600.0 512.0 28 40 0 NA 116 64 0 NA 29 35 15 NA 8540 44 18 NA
1450173600.0 526.0 28 40 0 NA 116 65 0 NA 15 37 16 NA 8541 49 19 NA
