Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1445720400.0 1.0 67 87 NA 167 238 NA 2241 500 NA 2874 789 NA
1445720400.0 2.0 71 91 130 170 238 285 6496 463 713 8280 645 944
1445720400.0 4.17 NA 35 NA NA 138 NA NA 94 NA NA 190 NA
1445720400.0 4.23 NA 61 NA NA 169 NA NA 188 NA NA 478 NA
1445720400.0 4.24 NA 56 NA NA 158 NA NA 103 NA NA 141 NA
1445720400.0 4.25 NA 55 NA NA 156 NA NA 104 NA NA 154 NA
1445720400.0 4.26 NA 55 NA NA 155 NA NA 118 NA NA 151 NA
1445720400.0 4.27 NA 56 NA NA 158 NA NA 120 NA NA 171 NA
1445720400.0 4.28 NA 65 NA NA 174 NA NA 224 NA NA 2192 NA
1445720400.0 4.29 NA 36 NA NA 138 NA NA 97 NA NA 273 NA
1445720400.0 4.34 NA 60 NA NA 167 NA NA 228 NA NA 382 NA
1445720400.0 4.36 NA 55 NA NA 156 NA NA 115 NA NA 154 NA
1445720400.0 4.37 NA 55 NA NA 156 NA NA 129 NA NA 223 NA
1445720400.0 4.4 NA 36 NA NA 139 NA NA 114 NA NA 214 NA
1445720400.0 4.42 NA 36 NA NA 139 NA NA 136 NA NA 228 NA
1445720400.0 4.43 NA 37 NA NA 138 NA NA 100 NA NA 152 NA
1445720400.0 4.44 NA 36 NA NA 138 NA NA 113 NA NA 246 NA
1445720400.0 4.45 NA 36 NA NA 139 NA NA 134 NA NA 259 NA
1445720400.0 4.51 NA 36 NA NA 139 NA NA 147 NA NA 317 NA
1445720400.0 4.52 NA 36 NA NA 139 NA NA 136 NA NA 224 NA
1445720400.0 4.53 NA 36 NA NA 138 NA NA 152 NA NA 219 NA
1445720400.0 4.54 NA 36 NA NA 138 NA NA 158 NA NA 218 NA
