Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1446458400.0 10.0 NA 83 193 0 NA NA 234 378 0 NA NA 3913 4120 1024 NA NA 4008 4152 1054 NA
1446458400.0 1000.0 NA 193 114 0 43 NA 372 236 0 130 NA 2626 572 551 95 NA 2677 647 568 120
1446458400.0 1002.0 NA 201 68 NA NA NA 385 143 NA NA NA 2709 202 NA NA NA 2771 216 NA NA
1446458400.0 101.0 103 NA NA NA NA 238 NA NA NA NA 1283 NA NA NA NA 1336 NA NA NA NA
1446458400.0 102.0 103 NA NA NA NA 238 NA NA NA NA 992 NA NA NA NA 1042 NA NA NA NA
1446458400.0 108.0 72 92 195 NA NA 171 237 377 NA NA 5960 464 818 NA NA 6008 474 844 NA NA
1446458400.0 109.0 70 92 193 NA NA 171 237 377 NA NA 6939 482 899 NA NA 7015 521 1066 NA NA
1446458400.0 115.0 70 91 192 NA NA 170 237 375 NA NA 4426 462 691 NA NA 4661 483 742 NA NA
1446458400.0 116.0 69 89 186 NA NA 170 237 376 NA NA 4283 505 747 NA NA 4465 538 886 NA NA
1446458400.0 117.0 72 92 194 NA NA 170 237 376 NA NA 6540 483 814 NA NA 6632 496 906 NA NA
1446458400.0 118.0 69 91 193 NA NA 170 237 376 NA NA 4627 461 775 NA NA 4799 479 820 NA NA
1446458400.0 121.0 71 91 194 NA NA 170 237 377 NA NA 6445 502 844 NA NA 6470 522 874 NA NA
1446458400.0 123.1 172 NA NA NA NA 352 NA NA NA NA 706 NA NA NA NA 755 NA NA NA NA
1446458400.0 123.2 175 NA NA NA NA 354 NA NA NA NA 872 NA NA NA NA 899 NA NA NA NA
1446458400.0 123.3 160 NA NA NA NA 341 NA NA NA NA 536 NA NA NA NA 569 NA NA NA NA
1446458400.0 124.1 168 NA NA NA NA 344 NA NA NA NA 538 NA NA NA NA 574 NA NA NA NA
1446458400.0 124.2 172 NA NA NA NA 352 NA NA NA NA 655 NA NA NA NA 719 NA NA NA NA
1446458400.0 124.4 168 NA NA NA NA 344 NA NA NA NA 535 NA NA NA NA 568 NA NA NA NA
1446458400.0 124.5 168 NA NA NA NA 344 NA NA NA NA 530 NA NA NA NA 558 NA NA NA NA
1446458400.0 124.6 160 NA NA NA NA 341 NA NA NA NA 531 NA NA NA NA 573 NA NA NA NA
1446458400.0 125.0 69 92 191 NA NA 170 237 375 NA NA 4459 476 668 NA NA 4638 504 721 NA NA
1446458400.0 1302.0 79 137 166 NA NA 180 300 329 NA NA 8263 851 1080 NA NA 8347 882 1107 NA NA
1446458400.0 1303.0 81 140 161 NA NA 181 299 330 NA NA 12321 969 1945 NA NA 12490 1190 2507 NA NA
1446458400.0 1307.0 NA 128 135 51 0 NA 305 304 148 0 NA 593 638 91 505 NA 620 660 102 518
1446458400.0 1308.0 NA 127 134 51 0 NA 305 304 148 0 NA 588 603 82 507 NA 610 631 99 518
1446458400.0 1315.0 NA 137 217 0 NA NA 309 418 0 NA NA 621 999 1363 NA NA 715 1226 1375 NA
1446458400.0 1318.0 NA 132 226 0 NA NA 308 418 0 NA NA 622 1021 1432 NA NA 649 1093 1492 NA
1446458400.0 1319.0 NA 133 226 0 NA NA 309 418 0 NA NA 651 998 1488 NA NA 680 1081 1511 NA
1446458400.0 1320.0 NA 142 217 0 NA NA 310 418 0 NA NA 644 1051 1419 NA NA 691 1156 1430 NA
1446458400.0 1323.0 NA 140 226 0 NA NA 308 417 0 NA NA 612 961 1419 NA NA 632 1051 1506 NA
1446458400.0 1326.0 NA 138 230 0 NA NA 313 423 0 NA NA 700 1129 1478 NA NA 726 1221 1499 NA
1446458400.0 133.0 70 92 195 NA NA 171 237 378 NA NA 7921 509 1039 NA NA 7992 567 1059 NA NA
1446458400.0 134.703 NA 120 229 0 NA NA 276 409 0 NA NA 3179 12143 1108 NA NA 3519 12893 1117 NA
1446458400.0 134.704 NA 117 205 0 NA NA 273 403 0 NA NA 2807 11501 1137 NA NA 2883 12033 1168 NA
1446458400.0 134.705 NA 120 227 0 NA NA 278 410 0 NA NA 3265 13232 1173 NA NA 3282 13555 1197 NA
1446458400.0 134.803 NA 124 208 0 NA NA 283 408 0 NA NA 4093 14530 1064 NA NA 4213 15103 1073 NA
1446458400.0 134.809 NA 127 226 0 NA NA 282 406 0 NA NA 4902 16252 1107 NA NA 5205 16350 1155 NA
1446458400.0 134.81 NA 125 223 0 NA NA 280 407 0 NA NA 4362 15159 1100 NA NA 4545 15543 1108 NA
1446458400.0 134.902 NA 124 218 0 NA NA 282 404 0 NA NA 2306 7635 798 NA NA 2350 8561 807 NA
1446458400.0 134.907 NA 147 235 0 NA NA 323 420 0 NA NA 3119 7564 829 NA NA 3474 10111 840 NA
1446458400.0 134.908 NA 152 238 0 NA NA 324 421 0 NA NA 2950 7685 822 NA NA 3385 10131 833 NA
1446458400.0 134.909 NA 125 208 0 NA NA 283 402 0 NA NA 2412 7659 782 NA NA 2491 9167 807 NA
1446458400.0 135.1 202 0 103 NA NA 392 0 229 NA NA 1186 264 232 NA NA 1251 272 249 NA NA
1446458400.0 135.11 207 0 104 NA NA 398 0 229 NA NA 1448 299 276 NA NA 1493 303 288 NA NA
1446458400.0 135.12 198 0 103 NA NA 392 0 227 NA NA 984 229 230 NA NA 1323 241 249 NA NA
1446458400.0 135.2 186 0 100 NA NA 374 0 224 NA NA 763 200 245 NA NA 804 216 284 NA NA
1446458400.0 135.3 186 0 101 NA NA 374 0 225 NA NA 781 201 248 NA NA 827 222 269 NA NA
1446458400.0 135.4 198 0 103 NA NA 391 0 229 NA NA 995 240 230 NA NA 1315 250 248 NA NA
1446458400.0 135.5 198 0 102 NA NA 391 0 227 NA NA 881 230 245 NA NA 921 240 492 NA NA
1446458400.0 135.6 198 0 103 NA NA 393 0 229 NA NA 1051 244 235 NA NA 1350 262 252 NA NA
1446458400.0 135.7 200 0 103 NA NA 391 0 230 NA NA 882 226 287 NA NA 914 234 536 NA NA
1446458400.0 135.8 91 NA NA NA NA 214 NA NA NA NA 320 NA NA NA NA 916 NA NA NA NA
1446458400.0 135.9 201 0 102 NA NA 393 0 226 NA NA 853 232 274 NA NA 918 242 512 NA NA
1446458400.0 14.0 NA 82 192 0 NA NA 233 375 0 NA NA 2087 2371 771 NA NA 2171 2443 776 NA
1446458400.0 140.51 NA 45 208 0 NA NA 145 370 0 NA NA 5806 3314 1249 NA NA 5943 3488 1256 NA
1446458400.0 145.0 NA 194 NA NA NA NA 357 NA NA NA NA 3230 NA NA NA NA 3301 NA NA NA
1446458400.0 2.0 72 90 139 NA NA 170 236 285 NA NA 6440 496 710 NA NA 6526 511 740 NA NA
1446458400.0 200.0 NA 91 208 0 NA NA 234 400 0 NA NA 806 1595 792 NA NA 1558 2229 812 NA
1446458400.0 204.0 68 100 206 0 NA 169 244 400 0 NA 4772 845 1581 814 NA 4869 1709 2300 918 NA
1446458400.0 205.0 NA 89 202 0 NA NA 234 397 0 NA NA 680 1164 757 NA NA 1469 1901 1484 NA
1446458400.0 22.0 NA 81 191 0 NA NA 233 375 0 NA NA 2051 2352 725 NA NA 2083 2372 743 NA
1446458400.0 25.0 NA 84 202 0 60 NA 234 389 0 158 NA 3929 5601 1106 118 NA 4087 5700 1121 130
1446458400.0 250199.0 139 NA NA NA NA 274 NA NA NA NA 3093 NA NA NA NA 3264 NA NA NA NA
1446458400.0 250200.0 NA 314 257 0 NA NA 504 522 0 NA NA 18761 5644 1935 NA NA 19772 6446 1956 NA
1446458400.0 250200.1 77 180 181 NA NA 178 354 343 NA NA 5226 1668 2902 NA NA 5336 1973 2923 NA NA
1446458400.0 250400.0 207 0 105 NA NA 411 0 232 NA NA 1638 232 486 NA NA 1831 237 511 NA NA
1446458400.0 250402.0 213 0 106 NA NA 413 0 231 NA NA 1751 244 434 NA NA 1815 252 447 NA NA
1446458400.0 250403.0 208 0 105 NA NA 409 0 232 NA NA 1478 221 362 NA NA 1754 242 377 NA NA
1446458400.0 250405.0 208 0 106 NA NA 411 0 231 NA NA 1591 224 374 NA NA 1875 229 397 NA NA
1446458400.0 250406.0 211 0 106 NA NA 412 0 230 NA NA 1318 222 344 NA NA 1373 239 362 NA NA
1446458400.0 250407.0 195 0 102 NA NA 395 0 232 NA NA 1215 183 342 NA NA 1261 190 549 NA NA
1446458400.0 250408.0 209 0 107 NA NA 414 0 231 NA NA 1889 254 537 NA NA 2427 259 574 NA NA
1446458400.0 250409.0 219 0 107 NA NA 419 0 232 NA NA 2383 253 604 NA NA 2472 257 696 NA NA
1446458400.0 25202.0 NA 183 283 0 NA NA 358 499 0 NA NA 3505 5028 1364 NA NA 5554 5230 1374 NA
1446458400.0 25205.0 NA 178 287 0 NA NA 361 500 0 NA NA 3439 4560 1401 NA NA 4497 5752 1418 NA
1446458400.0 25400.0 241 0 107 NA NA 450 0 231 NA NA 4586 292 459 NA NA 4938 298 547 NA NA
1446458400.0 25402.0 243 0 105 NA NA 453 0 233 NA NA 4769 270 516 NA NA 5184 276 537 NA NA
1446458400.0 25403.0 245 0 107 NA NA 448 0 231 NA NA 4489 262 430 NA NA 4813 278 531 NA NA
1446458400.0 25405.0 241 0 106 NA NA 451 0 231 NA NA 4261 274 452 NA NA 5637 295 469 NA NA
1446458400.0 25406.0 240 0 105 NA NA 447 0 229 NA NA 3439 275 360 NA NA 4822 288 370 NA NA
1446458400.0 25407.0 229 0 105 NA NA 427 0 229 NA NA 4094 269 363 NA NA 4326 272 380 NA NA
1446458400.0 25408.0 247 0 108 NA NA 464 0 233 NA NA 6113 326 582 NA NA 8414 390 705 NA NA
1446458400.0 25409.0 247 0 106 NA NA 458 0 232 NA NA 4849 296 468 NA NA 5170 355 518 NA NA
1446458400.0 26.0 NA 81 195 0 NA NA 233 384 0 NA NA 2083 1837 742 NA NA 2184 1894 768 NA
1446458400.0 27.0 NA 82 189 0 NA NA 233 376 0 NA NA 2054 1748 778 NA NA 2107 1797 1722 NA
1446458400.0 28.0 NA 83 194 0 NA NA 233 377 0 NA NA 2179 2673 744 NA NA 2242 2714 757 NA
1446458400.0 3.0 72 86 134 NA NA 172 236 286 NA NA 11039 386 1468 NA NA 11235 484 1657 NA NA
1446458400.0 300.0 67 NA NA NA NA 161 NA NA NA NA 568 NA NA NA NA 627 NA NA NA NA
1446458400.0 301.0 67 NA NA NA NA 162 NA NA NA NA 594 NA NA NA NA 1316 NA NA NA NA
1446458400.0 302.0 67 NA NA NA NA 161 NA NA NA NA 561 NA NA NA NA 617 NA NA NA NA
1446458400.0 33.0 NA 82 192 0 NA NA 233 375 0 NA NA 2034 1679 724 NA NA 2118 1716 740 NA
1446458400.0 34.0 68 90 191 0 NA 169 237 376 0 NA 4303 451 746 793 NA 4461 471 807 804 NA
1446458400.0 35.0 NA 82 192 0 NA NA 233 376 0 NA NA 2262 2360 753 NA NA 2389 2439 774 NA
1446458400.0 36.0 NA 83 201 0 NA NA 233 379 0 NA NA 2383 16206 823 NA NA 2462 16295 830 NA
1446458400.0 37.0 NA 84 197 0 NA NA 233 380 0 NA NA 3971 5839 1104 NA NA 4013 5878 1117 NA
1446458400.0 38.0 NA 83 197 0 NA NA 234 379 0 NA NA 3966 5141 1099 NA NA 4235 5260 1115 NA
1446458400.0 39.0 NA 86 200 0 NA NA 233 383 0 NA NA 2575 8609 825 NA NA 2603 8707 843 NA
1446458400.0 4.17 NA 35 202 0 114 NA 139 378 0 237 NA 137 4121 940 999 NA 149 4338 972 1085
1446458400.0 4.22 NA 129 55 67 0 NA 306 155 167 0 NA 972 89 126 227 NA 993 107 137 248
1446458400.0 4.26 NA 54 184 0 NA NA 156 387 0 NA NA 157 5025 1178 NA NA 270 5903 1187 NA
1446458400.0 4.41 NA 36 212 0 NA NA 138 388 0 NA NA 122 6541 742 NA NA 176 6648 775 NA
1446458400.0 4.42 NA 36 219 0 NA NA 139 395 0 NA NA 224 13023 1000 NA NA 245 13121 1011 NA
1446458400.0 4.55 NA 36 220 0 NA NA 139 392 0 NA NA 135 12809 695 NA NA 194 12892 741 NA
1446458400.0 4.62 NA 36 213 0 NA NA 139 393 0 NA NA 229 12526 1022 NA NA 265 12624 1043 NA
1446458400.0 4.63 NA 36 217 0 NA NA 138 395 0 NA NA 243 16237 1022 NA NA 293 17005 1136 NA
1446458400.0 4.72 NA 36 207 0 NA NA 139 392 0 NA NA 128 7458 687 NA NA 153 8152 702 NA
1446458400.0 4.77 NA 55 225 0 NA NA 159 400 0 NA NA 143 6790 1184 NA NA 230 6847 1192 NA
1446458400.0 4.78 NA 37 219 0 NA NA 141 394 0 NA NA 256 18561 1031 NA NA 281 18682 1064 NA
1446458400.0 4000.0 NA 84 191 NA NA NA 233 380 NA NA NA 2336 3743 NA NA NA 2379 4475 NA NA
1446458400.0 4006.0 60 99 206 NA NA 158 244 400 NA NA 1486 807 1218 NA NA 1515 1534 1864 NA NA
1446458400.0 43.0 NA 84 192 0 NA NA 233 376 0 NA NA 3506 4384 1141 NA NA 3611 4487 1179 NA
1446458400.0 45.0 NA 83 192 0 NA NA 234 376 0 NA NA 2167 2458 740 NA NA 2295 2514 753 NA
1446458400.0 500200.1 77 156 178 NA NA 178 325 341 NA NA 4999 1198 2552 NA NA 5144 1287 2644 NA NA
1446458400.0 503.0 40 0 NA NA NA 133 0 NA NA NA 98 20 NA NA NA 136 23 NA NA NA
1446458400.0 504.0 40 0 NA NA NA 133 0 NA NA NA 53 20 NA NA NA 61 27 NA NA NA
1446458400.0 505.0 40 0 NA NA NA 133 0 NA NA NA 48 22 NA NA NA 63 31 NA NA NA
1446458400.0 506.0 40 0 NA NA NA 133 0 NA NA NA 49 23 NA NA NA 65 32 NA NA NA
1446458400.0 507.0 40 0 NA NA NA 132 0 NA NA NA 88 25 NA NA NA 109 34 NA NA NA
1446458400.0 508.0 40 0 NA NA NA 133 0 NA NA NA 42 21 NA NA NA 56 30 NA NA NA
1446458400.0 509.0 39 0 NA NA NA 132 0 NA NA NA 36 21 NA NA NA 44 31 NA NA NA
1446458400.0 510.0 40 0 NA NA NA 133 0 NA NA NA 166 18 NA NA NA 171 24 NA NA NA
1446458400.0 517.0 28 42 0 NA NA 173 136 0 NA NA 13 51 17 NA NA 2119 61 21 NA NA
