Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1447236000.0 1.0 67 88 137 NA NA NA NA 168 236 284 NA NA NA NA 1902 465 444 NA NA NA NA 1939 513 485 NA NA NA NA
1447236000.0 10.0 NA 84 196 0 NA NA NA NA 234 379 0 NA NA NA NA 3948 4275 1106 NA NA NA NA 4078 4388 1164 NA NA NA
1447236000.0 1000.0 NA 195 114 0 43 NA NA NA 372 237 0 130 NA NA NA 3646 936 780 257 NA NA NA 3712 1104 793 283 NA NA
1447236000.0 1001.0 NA 185 177 0 0 0 0 NA 359 279 0 0 0 0 NA 2721 554 109 126 950 80 NA 2857 837 148 139 955 95
1447236000.0 1002.0 NA 202 69 NA NA NA NA NA 386 143 NA NA NA NA NA 3206 244 NA NA NA NA NA 3692 341 NA NA NA NA
1447236000.0 1003.0 NA 178 0 NA NA NA NA NA 355 0 NA NA NA NA NA 4717 649 NA NA NA NA NA 5008 677 NA NA NA NA
1447236000.0 1004.0 NA 203 161 0 0 0 NA NA 373 257 0 0 0 NA NA 776 250 69 68 540 NA NA 820 268 92 76 548 NA
1447236000.0 101.0 103 NA NA NA NA NA NA 238 NA NA NA NA NA NA 1410 NA NA NA NA NA NA 1429 NA NA NA NA NA NA
1447236000.0 102.0 104 NA NA NA NA NA NA 238 NA NA NA NA NA NA 919 NA NA NA NA NA NA 943 NA NA NA NA NA NA
1447236000.0 103.0 62 88 190 NA NA NA NA 162 237 374 NA NA NA NA 839 289 571 NA NA NA NA 861 299 630 NA NA NA NA
1447236000.0 105.0 67 89 31 NA NA NA NA 168 237 126 NA NA NA NA 1854 422 4 NA NA NA NA 1900 439 10 NA NA NA NA
1447236000.0 106.0 52 0 0 NA NA NA NA 148 0 0 NA NA NA NA 455 111 202 NA NA NA NA 464 119 293 NA NA NA NA
1447236000.0 107.0 69 90 193 NA NA NA NA 168 237 375 NA NA NA NA 5343 679 954 NA NA NA NA 5508 696 978 NA NA NA NA
1447236000.0 108.0 70 92 195 NA NA NA NA 171 237 378 NA NA NA NA 7052 639 913 NA NA NA NA 7138 702 947 NA NA NA NA
1447236000.0 109.0 73 90 195 NA NA NA NA 171 237 378 NA NA NA NA 8739 625 1014 NA NA NA NA 8867 643 1046 NA NA NA NA
1447236000.0 11.0 NA 82 202 0 53 NA NA NA 234 387 0 151 NA NA NA 2302 1409 990 92 NA NA NA 2407 1453 1008 112 NA NA
1447236000.0 110.0 60 89 189 NA NA NA NA 159 237 375 NA NA NA NA 696 463 605 NA NA NA NA 724 476 653 NA NA NA NA
1447236000.0 1102.0 NA 84 197 119 67 NA NA NA 234 380 259 153 NA NA NA 2519 3774 2044 131 NA NA NA 2708 3834 2085 139 NA NA
1447236000.0 111.0 67 90 190 NA NA NA NA 169 237 374 NA NA NA NA 2228 405 645 NA NA NA NA 2315 442 698 NA NA NA NA
1447236000.0 112.0 71 91 191 NA NA NA NA 169 237 375 NA NA NA NA 5968 668 895 NA NA NA NA 6020 680 923 NA NA NA NA
1447236000.0 113.0 71 92 193 NA NA NA NA 170 238 376 NA NA NA NA 4733 494 813 NA NA NA NA 4960 506 841 NA NA NA NA
1447236000.0 114.0 71 91 192 NA NA NA NA 169 237 375 NA NA NA NA 5719 670 986 NA NA NA NA 5770 689 1029 NA NA NA NA
1447236000.0 115.0 71 91 193 NA NA NA NA 170 237 376 NA NA NA NA 7464 713 1046 NA NA NA NA 7758 732 1079 NA NA NA NA
1447236000.0 116.0 69 91 193 NA NA NA NA 170 237 376 NA NA NA NA 6699 713 1054 NA NA NA NA 6860 731 1134 NA NA NA NA
1447236000.0 117.0 72 92 192 NA NA NA NA 170 237 377 NA NA NA NA 8561 787 1264 NA NA NA NA 8870 832 1349 NA NA NA NA
1447236000.0 118.0 71 90 194 NA NA NA NA 170 237 376 NA NA NA NA 6642 741 1169 NA NA NA NA 6899 755 1197 NA NA NA NA
1447236000.0 119.0 69 92 191 NA NA NA NA 169 237 376 NA NA NA NA 5288 660 976 NA NA NA NA 5420 714 1012 NA NA NA NA
1447236000.0 12.0 NA 83 196 0 NA NA NA NA 234 378 0 NA NA NA NA 2600 3776 907 NA NA NA NA 2634 3834 915 NA NA NA
1447236000.0 120.0 59 86 189 NA NA NA NA 158 237 375 NA NA NA NA 617 425 585 NA NA NA NA 636 461 635 NA NA NA NA
1447236000.0 121.0 71 92 195 NA NA NA NA 171 237 377 NA NA NA NA 7480 551 1029 NA NA NA NA 7673 578 1067 NA NA NA NA
1447236000.0 122.0 65 90 192 NA NA NA NA 168 237 375 NA NA NA NA 1282 339 587 NA NA NA NA 1334 364 695 NA NA NA NA
1447236000.0 123.1 174 NA NA NA NA NA NA 353 NA NA NA NA NA NA 708 NA NA NA NA NA NA 737 NA NA NA NA NA NA
1447236000.0 123.2 174 NA NA NA NA NA NA 354 NA NA NA NA NA NA 952 NA NA NA NA NA NA 1020 NA NA NA NA NA NA
1447236000.0 123.3 161 NA NA NA NA NA NA 342 NA NA NA NA NA NA 607 NA NA NA NA NA NA 638 NA NA NA NA NA NA
1447236000.0 124.1 168 NA NA NA NA NA NA 344 NA NA NA NA NA NA 528 NA NA NA NA NA NA 555 NA NA NA NA NA NA
