Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1447020000.0 1.0 91 80 144 NA NA NA NA 141 140 186 NA NA NA NA 5099 912 684 NA NA NA NA 2167 730 636 NA NA NA NA
1447020000.0 10.0 NA 91 347 0 NA NA NA NA 150 394 0 NA NA NA NA 2365 3585 677 NA NA NA NA 1652 1685 683 NA NA NA
1447020000.0 1000.0 NA 286 115 0 42 NA NA NA 343 164 0 71 NA NA NA 4643 1065 691 235 NA NA NA 2401 1309 695 231 NA NA
1447020000.0 1001.0 NA 299 176 0 0 0 0 NA 344 205 0 0 0 0 NA 4171 785 65 63 894 102 NA 2158 861 72 66 898 273
1447020000.0 1002.0 NA 316 69 NA NA NA NA NA 370 99 NA NA NA NA NA 4577 342 NA NA NA NA NA 2543 278 NA NA NA NA
1447020000.0 1003.0 NA 273 0 NA NA NA NA NA 327 0 NA NA NA NA NA 6283 718 NA NA NA NA NA 2852 722 NA NA NA NA
1447020000.0 1004.0 NA 441 161 0 0 0 NA NA 496 187 0 0 0 NA NA 2586 400 60 60 934 NA NA 2289 406 64 62 942 NA
1447020000.0 103.0 63 78 322 NA NA NA NA 98 141 369 NA NA NA NA 3512 611 1638 NA NA NA NA 2171 617 1653 NA NA NA NA
1447020000.0 106.0 51 0 0 NA NA NA NA 80 0 0 NA NA NA NA 849 501 852 NA NA NA NA 853 506 859 NA NA NA NA
1447020000.0 107.0 98 84 340 NA NA NA NA 150 141 388 NA NA NA NA 7128 904 1650 NA NA NA NA 2750 748 1420 NA NA NA NA
1447020000.0 108.0 101 85 343 NA NA NA NA 150 141 392 NA NA NA NA 10736 995 1866 NA NA NA NA 3809 783 1493 NA NA NA NA
1447020000.0 109.0 101 85 342 NA NA NA NA 150 141 389 NA NA NA NA 9172 940 1663 NA NA NA NA 4148 730 1354 NA NA NA NA
1447020000.0 11.0 NA 86 371 0 53 NA NA NA 150 417 0 82 NA NA NA 2121 1616 760 62 NA NA NA 1618 1158 769 63 NA NA
1447020000.0 110.0 75 79 331 NA NA NA NA 115 141 378 NA NA NA NA 2263 951 1370 NA NA NA NA 1248 797 1306 NA NA NA NA
1447020000.0 1102.0 NA 89 353 125 66 NA NA NA 150 400 172 104 NA NA NA 4223 5849 5016 304 NA NA NA 2989 2650 1943 218 NA NA
1447020000.0 111.0 91 84 336 NA NA NA NA 145 141 383 NA NA NA NA 4882 732 1795 NA NA NA NA 2030 613 1636 NA NA NA NA
1447020000.0 112.0 98 82 336 NA NA NA NA 148 141 383 NA NA NA NA 7362 893 1513 NA NA NA NA 3379 736 1387 NA NA NA NA
1447020000.0 113.0 97 84 337 NA NA NA NA 149 141 384 NA NA NA NA 6861 942 1511 NA NA NA NA 2532 756 1342 NA NA NA NA
1447020000.0 114.0 100 86 342 NA NA NA NA 151 141 389 NA NA NA NA 7744 905 1646 NA NA NA NA 3234 735 1404 NA NA NA NA
1447020000.0 115.0 102 84 338 NA NA NA NA 151 141 386 NA NA NA NA 8659 964 1587 NA NA NA NA 3748 739 1428 NA NA NA NA
1447020000.0 116.0 102 84 342 NA NA NA NA 150 141 390 NA NA NA NA 9506 912 1685 NA NA NA NA 3576 739 1399 NA NA NA NA
1447020000.0 117.0 102 85 341 NA NA NA NA 149 141 388 NA NA NA NA 9745 948 1767 NA NA NA NA 3178 757 1449 NA NA NA NA
1447020000.0 118.0 110 87 344 NA NA NA NA 154 141 395 NA NA NA NA 11298 991 1784 NA NA NA NA 4702 749 1403 NA NA NA NA
1447020000.0 119.0 100 85 340 NA NA NA NA 152 141 387 NA NA NA NA 7637 948 1598 NA NA NA NA 3311 749 1426 NA NA NA NA
1447020000.0 12.0 NA 88 344 0 NA NA NA NA 150 392 0 NA NA NA NA 2169 3388 655 NA NA NA NA 1542 1607 662 NA NA NA
1447020000.0 120.0 72 79 330 NA NA NA NA 113 141 378 NA NA NA NA 2240 1115 1399 NA NA NA NA 1189 920 1315 NA NA NA NA
1447020000.0 121.0 101 86 341 NA NA NA NA 151 141 391 NA NA NA NA 9061 938 1789 NA NA NA NA 2991 747 1809 NA NA NA NA
1447020000.0 122.0 64 80 321 NA NA NA NA 97 141 368 NA NA NA NA 2562 560 1535 NA NA NA NA 1704 565 1589 NA NA NA NA
1447020000.0 125.0 101 84 337 NA NA NA NA 151 141 385 NA NA NA NA 8089 901 1570 NA NA NA NA 2902 748 1486 NA NA NA NA
1447020000.0 126.0 73 79 332 NA NA NA NA 111 141 379 NA NA NA NA 3620 892 1659 NA NA NA NA 1641 729 1541 NA NA NA NA
1447020000.0 127.0 74 79 331 NA NA NA NA 116 141 378 NA NA NA NA 3847 887 1736 NA NA NA NA 1546 727 1676 NA NA NA NA
1447020000.0 128.0 70 79 331 NA NA NA NA 104 141 378 NA NA NA NA 1965 917 1417 NA NA NA NA 1097 772 1384 NA NA NA NA
1447020000.0 129.0 71 79 330 NA NA NA NA 105 141 378 NA NA NA NA 2191 934 1707 NA NA NA NA 1107 817 1763 NA NA NA NA
1447020000.0 13.0 NA 86 341 0 NA NA NA NA 150 389 0 NA NA NA NA 735 2323 821 NA NA NA NA 610 1589 827 NA NA NA
