Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1448618400.0 145.0 201 575 0 280 632 0 2884 3127 371 2134 3178 374
1448618400.0 250202.0 268 427 0 333 571 0 11034 4115 802 4652 13074 814
1448618400.0 250203.0 270 485 0 331 565 0 10277 3747 841 4557 8868 925
1448618400.0 250204.0 266 423 0 329 563 0 10096 3777 806 4522 14634 812
1448618400.0 250205.0 249 425 0 317 546 0 9376 3999 850 4695 13277 860
1448618400.0 250206.0 262 430 0 324 556 0 9452 4709 847 4680 12871 858
1448618400.0 25200.0 195 527 0 280 683 0 3067 4520 830 4396 10661 983
1448618400.0 25202.0 203 573 0 291 717 0 2884 4823 833 4759 15867 837
1448618400.0 25203.0 203 558 0 288 710 0 3192 5376 811 4471 10623 893
1448618400.0 25204.0 203 565 0 294 703 0 3248 4094 838 5158 15177 843
1448618400.0 25205.0 194 524 0 288 678 0 3197 4366 835 4448 10558 910
1448618400.0 25206.0 202 569 0 294 706 0 2801 5018 869 4727 15450 873
1448618400.0 25207.0 191 537 0 274 680 0 3743 4948 832 4351 10818 901
1448618400.0 25208.0 217 611 0 313 745 0 4292 7248 835 4819 15548 854
1448618400.0 500202.0 222 345 0 279 527 0 9458 4268 1210 3560 4023 1247
1448618400.0 50203.0 188 404 0 252 601 0 2555 4352 1208 3331 4091 1237
1448618400.0 50207.0 175 350 0 237 549 0 2405 3656 1190 3425 5140 1194
1448618400.0 50208.0 200 420 0 272 609 0 3201 6019 1219 3342 4556 1233
