Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1454839200.0 1306.0 169 227 705 581
1454839200.0 1309.0 180 234 845 624
1454839200.0 1310.0 179 232 815 572
1454839200.0 1313.0 196 251 1390 844
1454839200.0 1317.0 173 226 1186 1052
1454839200.0 1322.0 175 227 736 594
1454839200.0 1325.0 180 232 922 666
1454839200.0 1327.0 174 227 697 546
1454839200.0 1330.0 180 227 743 608
1454839200.0 1332.0 181 227 845 681
1454839200.0 1334.0 174 227 754 576
1454839200.0 1337.0 206 259 1401 723
1454839200.0 1339.0 191 241 1191 797
1454839200.0 134.706 51 86 315 356
1454839200.0 134.802 154 209 2178 795
1454839200.0 134.803 154 214 1846 775
1454839200.0 134.805 159 218 2399 1086
1454839200.0 134.808 180 252 5581 6463
1454839200.0 134.809 157 209 4232 1539
1454839200.0 134.81 155 209 2184 871
1454839200.0 134.903 150 208 1557 673
1454839200.0 134.904 156 211 2202 823
1454839200.0 134.905 154 207 1634 786
1454839200.0 134.906 155 211 1881 776
1454839200.0 134.91 151 207 2789 1548
1454839200.0 134.99901 149 201 1368 687
1454839200.0 1341.0 189 239 1130 689
1454839200.0 1345.0 180 233 1443 1050
1454839200.0 1347.0 178 230 779 599
1454839200.0 1350.0 177 227 763 604
1454839200.0 139901.0 182 226 1347 1016
1454839200.0 139902.0 182 234 1011 782
1454839200.0 145.0 245 329 3663 2577
1454839200.0 203.0 127 172 1063 945
1454839200.0 24.0 105 162 2618 1063
1454839200.0 25203.0 277 349 6978 4282
1454839200.0 25206.0 290 360 6494 4780
1454839200.0 25207.0 255 337 6230 4064
1454839200.0 25208.0 301 387 9287 5042
1454839200.0 4.28 73 117 186 360
1454839200.0 4.57 63 96 138 178
1454839200.0 4.67 63 96 149 180
1454839200.0 4.76 63 96 141 158
1454839200.0 45.0 103 162 2294 891
1454839200.0 500200.0 191 240 4532 2670
1454839200.0 500205.0 196 244 4381 2503
1454839200.0 500207.0 177 225 3662 2205
1454839200.0 50202.0 162 214 1576 1170
1454839200.0 50203.0 158 209 1517 1135
1454839200.0 50205.0 160 207 2872 2036
1454839200.0 50206.0 156 207 2625 2042
1454839200.0 50208.0 161 208 1890 1358
