Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1456653600.0 1.0 52 78 119 NA NA NA NA 164 229 277 NA NA NA NA 3750 694 814 NA NA NA NA 3917 723 854 NA NA NA NA
1456653600.0 10.0 NA 74 183 0 NA NA NA NA 234 382 0 NA NA NA NA 2638 2805 852 NA NA NA NA 2894 2855 872 NA NA NA
1456653600.0 1000.0 NA 196 106 0 42 NA NA NA 391 234 0 135 NA NA NA 3945 945 981 391 NA NA NA 4082 1001 1028 462 NA NA
1456653600.0 1001.0 NA 171 181 0 0 0 0 NA 361 288 0 0 0 0 NA 3602 789 106 96 1287 124 NA 3665 2756 109 99 1296 168
1456653600.0 1002.0 NA 196 58 NA NA NA NA NA 393 141 NA NA NA NA NA 4092 264 NA NA NA NA NA 4410 362 NA NA NA NA
1456653600.0 1003.0 NA 165 0 NA NA NA NA NA 356 0 NA NA NA NA NA 5567 765 NA NA NA NA NA 12539 789 NA NA NA NA
1456653600.0 10039.0 NA 78 124 0 NA NA NA NA 248 296 0 NA NA NA NA 1253 1333 515 NA NA NA NA 1789 1441 532 NA NA NA
1456653600.0 1004.0 NA 167 153 0 0 0 NA NA 352 260 0 0 0 NA NA 1034 518 101 100 1239 NA NA 1183 587 109 105 1284 NA
1456653600.0 10046.0 NA 74 118 0 NA NA NA NA 248 289 0 NA NA NA NA 1173 1060 437 NA NA NA NA 1253 1178 470 NA NA NA
1456653600.0 10060.0 NA 73 122 0 NA NA NA NA 248 290 0 NA NA NA NA 1277 1425 397 NA NA NA NA 1420 1498 414 NA NA NA
1456653600.0 101.0 77 NA NA NA NA NA NA 227 NA NA NA NA NA NA 2144 NA NA NA NA NA NA 2177 NA NA NA NA NA NA
1456653600.0 102.0 79 NA NA NA NA NA NA 226 NA NA NA NA NA NA 1530 NA NA NA NA NA NA 1607 NA NA NA NA NA NA
1456653600.0 103.0 46 75 178 NA NA NA NA 158 231 381 NA NA NA NA 1403 478 980 NA NA NA NA 1521 500 1012 NA NA NA NA
1456653600.0 105.0 50 79 23 NA NA NA NA 164 231 119 NA NA NA NA 3402 761 6 NA NA NA NA 3654 816 24 NA NA NA NA
1456653600.0 106.0 37 0 0 NA NA NA NA 142 0 0 NA NA NA NA 768 179 336 NA NA NA NA 784 195 350 NA NA NA NA
1456653600.0 107.0 52 76 180 NA NA NA NA 164 230 380 NA NA NA NA 5832 696 1105 NA NA NA NA 5935 734 1163 NA NA NA NA
1456653600.0 108.0 54 81 180 NA NA NA NA 167 231 381 NA NA NA NA 6582 534 1023 NA NA NA NA 6714 582 1082 NA NA NA NA
1456653600.0 109.0 56 76 182 NA NA NA NA 166 230 380 NA NA NA NA 9599 740 1340 NA NA NA NA 9884 765 1383 NA NA NA NA
1456653600.0 11.0 NA 72 191 0 58 NA NA NA 232 392 0 155 NA NA NA 3324 1767 1165 75 NA NA NA 3421 1807 1187 90 NA NA
1456653600.0 110.0 45 70 176 NA NA NA NA 155 231 381 NA NA NA NA 1096 712 1008 NA NA NA NA 1167 743 1036 NA NA NA NA
1456653600.0 1102.0 NA 76 192 104 58 NA NA NA 232 382 253 151 NA NA NA 4061 5191 3136 217 NA NA NA 4163 5270 3216 230 NA NA
1456653600.0 111.0 51 83 178 NA NA NA NA 164 231 374 NA NA NA NA 3420 571 1076 NA NA NA NA 3607 735 1263 NA NA NA NA
1456653600.0 112.0 55 83 179 NA NA NA NA 164 230 380 NA NA NA NA 5274 724 1072 NA NA NA NA 5417 743 1119 NA NA NA NA
1456653600.0 113.0 54 81 179 NA NA NA NA 165 230 381 NA NA NA NA 5318 711 1109 NA NA NA NA 5888 949 1414 NA NA NA NA
1456653600.0 114.0 52 74 179 NA NA NA NA 164 230 380 NA NA NA NA 5189 715 1108 NA NA NA NA 5459 761 1207 NA NA NA NA
1456653600.0 115.0 54 75 182 NA NA NA NA 166 231 381 NA NA NA NA 5631 499 913 NA NA NA NA 5703 522 952 NA NA NA NA
1456653600.0 116.0 54 83 182 NA NA NA NA 166 231 381 NA NA NA NA 5160 534 834 NA NA NA NA 5468 549 884 NA NA NA NA
1456653600.0 117.0 55 80 180 NA NA NA NA 166 230 380 NA NA NA NA 9785 736 1313 NA NA NA NA 10184 793 1455 NA NA NA NA
1456653600.0 118.0 55 83 179 NA NA NA NA 166 231 381 NA NA NA NA 5629 495 1029 NA NA NA NA 5748 523 1065 NA NA NA NA
1456653600.0 119.0 54 74 182 NA NA NA NA 164 230 380 NA NA NA NA 5709 709 1101 NA NA NA NA 6059 765 1131 NA NA NA NA
1456653600.0 12.0 NA 74 182 0 NA NA NA NA 232 381 0 NA NA NA NA 3645 4110 1183 NA NA NA NA 3752 4331 1214 NA NA NA
1456653600.0 120.0 44 70 174 NA NA NA NA 154 231 381 NA NA NA NA 973 738 987 NA NA NA NA 994 769 1039 NA NA NA NA
1456653600.0 121.0 54 78 181 NA NA NA NA 166 230 380 NA NA NA NA 8751 749 1329 NA NA NA NA 8995 777 1375 NA NA NA NA
1456653600.0 122.0 50 73 177 NA NA NA NA 164 231 374 NA NA NA NA 2153 512 1008 NA NA NA NA 2283 544 1052 NA NA NA NA
1456653600.0 123.1 165 NA NA NA NA NA NA 362 NA NA NA NA NA NA 1288 NA NA NA NA NA NA 1351 NA NA NA NA NA NA
