Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1754776800.0 1.0 76 98 151 NA NA NA NA NA 96 146 183 NA NA NA NA NA 646 131 136 NA NA NA NA NA 656 138 160 NA NA NA NA NA 
1754776800.0 10.0 NA 108 229 0 NA NA NA NA NA 146 256 0 NA NA NA NA NA 883 720 191 NA NA NA NA NA 988 734 194 NA NA NA NA 
1754776800.0 1000.0 NA 252 151 0 60 NA NA NA NA 283 181 0 78 NA NA NA NA 872 249 162 57 NA NA NA NA 900 261 169 60 NA NA NA 
1754776800.0 1001.0 NA 223 191 0 0 0 0 0 NA 249 218 0 0 0 0 0 NA 682 123 2 18 142 10 138 NA 709 127 4 21 146 14 140 
1754776800.0 1002.0 NA 246 80 NA NA NA NA NA NA 271 99 NA NA NA NA NA NA 783 70 NA NA NA NA NA NA 813 77 NA NA NA NA NA 
1754776800.0 10021.0 NA 111 157 0 NA NA NA NA NA 176 179 0 NA NA NA NA NA 241 252 96 NA NA NA NA NA 271 274 101 NA NA NA NA 
1754776800.0 10023.0 NA 111 157 0 NA NA NA NA NA 176 181 0 NA NA NA NA NA 216 179 100 NA NA NA NA NA 244 198 106 NA NA NA NA 
1754776800.0 10024.0 NA 116 161 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 250 236 107 NA NA NA NA NA 275 259 112 NA NA NA NA 
1754776800.0 10025.0 NA 112 158 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 229 188 100 NA NA NA NA NA 251 211 104 NA NA NA NA 
1754776800.0 10026.0 NA 116 162 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 256 270 109 NA NA NA NA NA 285 291 115 NA NA NA NA 
1754776800.0 1003.0 NA 209 0 NA NA NA NA NA NA 242 0 NA NA NA NA NA NA 1036 103 NA NA NA NA NA NA 1069 107 NA NA NA NA NA 
1754776800.0 10224.0 NA 150 232 0 NA NA NA NA NA 189 273 0 NA NA NA NA NA 1035 841 112 NA NA NA NA NA 1568 1201 119 NA NA NA NA 
1754776800.0 10225.0 NA 150 232 0 NA NA NA NA NA 192 274 0 NA NA NA NA NA 1072 790 111 NA NA NA NA NA 1486 1043 117 NA NA NA NA 
1754776800.0 107.0 73 102 222 NA NA NA NA NA 97 148 254 NA NA NA NA NA 1205 146 174 NA NA NA NA NA 1232 153 186 NA NA NA NA NA 
1754776800.0 108.0 79 103 226 NA NA NA NA NA 100 148 254 NA NA NA NA NA 1666 149 205 NA NA NA NA NA 1690 157 227 NA NA NA NA NA 
1754776800.0 109.0 79 105 224 NA NA NA NA NA 100 148 254 NA NA NA NA NA 1871 151 218 NA NA NA NA NA 1896 158 238 NA NA NA NA NA 
1754776800.0 11.0 NA 103 235 0 72 NA NA NA NA 146 264 0 90 NA NA NA NA 701 331 194 12 NA NA NA NA 716 345 198 14 NA NA NA 
1754776800.0 1102.0 NA 107 234 141 86 NA NA NA NA 146 261 175 112 NA NA NA NA 912 938 606 59 NA NA NA NA 931 951 621 61 NA NA NA 
1754776800.0 111.0 75 101 221 NA NA NA NA NA 96 148 254 NA NA NA NA NA 726 109 159 NA NA NA NA NA 739 114 179 NA NA NA NA NA 
1754776800.0 112.0 76 103 221 NA NA NA NA NA 98 148 253 NA NA NA NA NA 1184 146 169 NA NA NA NA NA 1201 154 182 NA NA NA NA NA 
1754776800.0 113.0 74 103 222 NA NA NA NA NA 98 148 254 NA NA NA NA NA 1236 145 170 NA NA NA NA NA 1253 153 179 NA NA NA NA NA 
1754776800.0 114.0 75 103 221 NA NA NA NA NA 98 148 254 NA NA NA NA NA 1099 146 175 NA NA NA NA NA 1119 153 195 NA NA NA NA NA 
1754776800.0 115.0 78 102 223 NA NA NA NA NA 99 148 254 NA NA NA NA NA 1425 149 182 NA NA NA NA NA 1436 158 202 NA NA NA NA NA 
1754776800.0 116.0 73 102 222 NA NA NA NA NA 99 148 254 NA NA NA NA NA 1364 148 188 NA NA NA NA NA 1375 155 204 NA NA NA NA NA 
1754776800.0 117.0 78 103 225 NA NA NA NA NA 99 148 254 NA NA NA NA NA 1791 153 206 NA NA NA NA NA 1822 159 224 NA NA NA NA NA 
1754776800.0 118.0 78 103 223 NA NA NA NA NA 98 148 254 NA NA NA NA NA 1401 147 199 NA NA NA NA NA 1425 156 209 NA NA NA NA NA 
1754776800.0 119.0 76 102 223 NA NA NA NA NA 96 148 254 NA NA NA NA NA 1176 144 172 NA NA NA NA NA 1197 150 189 NA NA NA NA NA 
1754776800.0 12.0 NA 105 231 0 NA NA NA NA NA 146 259 0 NA NA NA NA NA 800 761 196 NA NA NA NA NA 811 783 200 NA NA NA NA 
1754776800.0 121.0 78 104 224 NA NA NA NA NA 99 148 254 NA NA NA NA NA 1831 155 217 NA NA NA NA NA 1848 164 227 NA NA NA NA NA 
1754776800.0 125.0 80 104 223 NA NA NA NA NA 99 148 254 NA NA NA NA NA 1539 146 174 NA NA NA NA NA 1551 152 187 NA NA NA NA NA 
1754776800.0 13.0 NA 98 223 0 NA NA NA NA NA 146 253 0 NA NA NA NA NA 103 263 169 NA NA NA NA NA 116 285 179 NA NA NA NA 
1754776800.0 1301.0 82 161 202 NA NA NA NA NA 103 198 229 NA NA NA NA NA 492 192 226 NA NA NA NA NA 518 219 265 NA NA NA NA NA 
1754776800.0 1302.0 87 172 205 NA NA NA NA NA 108 198 238 NA NA NA NA NA 2131 230 311 NA NA NA NA NA 2163 243 365 NA NA NA NA NA 
1754776800.0 1303.0 89 175 211 NA NA NA NA NA 109 198 239 NA NA NA NA NA 2807 262 377 NA NA NA NA NA 2861 281 418 NA NA NA NA NA 
1754776800.0 1311.0 NA 188 259 0 84 NA NA NA NA 215 291 0 102 NA NA NA NA 198 288 539 29 NA NA NA NA 216 325 549 47 NA NA NA 
1754776800.0 132.0 75 102 222 NA NA NA NA NA 94 148 254 NA NA NA NA NA 891 142 175 NA NA NA NA NA 904 149 197 NA NA NA NA NA 
1754776800.0 1325.0 NA 194 285 0 90 NA NA NA NA 224 316 0 109 NA NA NA NA 263 412 550 46 NA NA NA NA 291 443 557 64 NA NA NA 
1754776800.0 133.0 79 105 225 NA NA NA NA NA 100 148 254 NA NA NA NA NA 1964 150 220 NA NA NA NA NA 1989 158 234 NA NA NA NA NA 
1754776800.0 134.0 NA 252 51 0 NA NA NA NA NA 281 70 0 NA NA NA NA NA 892 2 3 NA NA NA NA NA 918 8 4 NA NA NA NA 
1754776800.0 134.701 NA 57 270 0 NA NA NA NA NA 80 306 0 NA NA NA NA NA 71 1558 161 NA NA NA NA NA 77 1587 168 NA NA NA NA 
1754776800.0 134.702 NA 57 259 0 NA NA NA NA NA 77 303 0 NA NA NA NA NA 79 2022 151 NA NA NA NA NA 85 2066 157 NA NA NA NA 
1754776800.0 134.703 NA 58 268 0 NA NA NA NA NA 82 313 0 NA NA NA NA NA 79 2052 150 NA NA NA NA NA 128 2088 158 NA NA NA NA 
1754776800.0 134.704 NA 56 261 0 NA NA NA NA NA 78 302 0 NA NA NA NA NA 78 1942 145 NA NA NA NA NA 84 1973 151 NA NA NA NA 
1754776800.0 134.705 NA 59 271 0 NA NA NA NA NA 82 318 0 NA NA NA NA NA 79 2124 150 NA NA NA NA NA 86 2170 178 NA NA NA NA 
1754776800.0 134.706 NA 60 269 0 NA NA NA NA NA 81 307 0 NA NA NA NA NA 80 2184 154 NA NA NA NA NA 92 2217 160 NA NA NA NA 
1754776800.0 134.707 NA 59 260 0 NA NA NA NA NA 80 308 0 NA NA NA NA NA 77 1923 144 NA NA NA NA NA 82 1952 148 NA NA NA NA 
1754776800.0 134.708 NA 57 263 0 NA NA NA NA NA 80 302 0 NA NA NA NA NA 76 1869 158 NA NA NA NA NA 81 1902 164 NA NA NA NA 
1754776800.0 134.709 NA 59 271 0 NA NA NA NA NA 82 308 0 NA NA NA NA NA 76 1962 156 NA NA NA NA NA 80 2006 163 NA NA NA NA 
1754776800.0 134.71 NA 53 263 0 NA NA NA NA NA 74 298 0 NA NA NA NA NA 66 1345 149 NA NA NA NA NA 70 1379 152 NA NA NA NA 
1754776800.0 134.801 NA 57 262 0 NA NA NA NA NA 79 303 0 NA NA NA NA NA 73 1451 151 NA NA NA NA NA 183 1483 159 NA NA NA NA 
1754776800.0 134.802 NA 57 265 0 NA NA NA NA NA 82 309 0 NA NA NA NA NA 102 2572 143 NA NA NA NA NA 108 2610 147 NA NA NA NA 
1754776800.0 134.803 NA 57 268 0 NA NA NA NA NA 82 304 0 NA NA NA NA NA 97 2322 144 NA NA NA NA NA 104 2353 150 NA NA NA NA 
1754776800.0 134.804 NA 57 274 0 NA NA NA NA NA 81 310 0 NA NA NA NA NA 100 2567 148 NA NA NA NA NA 109 2609 167 NA NA NA NA 
1754776800.0 134.805 NA 59 267 0 NA NA NA NA NA 83 319 0 NA NA NA NA NA 101 2531 151 NA NA NA NA NA 114 2570 158 NA NA NA NA 
1754776800.0 134.806 NA 58 274 0 NA NA NA NA NA 80 315 0 NA NA NA NA NA 105 2805 147 NA NA NA NA NA 117 2853 153 NA NA NA NA 
1754776800.0 134.807 NA 100 283 0 NA NA NA NA NA 141 329 0 NA NA NA NA NA 326 2606 166 NA NA NA NA NA 366 2649 173 NA NA NA NA 
1754776800.0 134.808 NA 100 284 0 NA NA NA NA NA 141 332 0 NA NA NA NA NA 336 2697 152 NA NA NA NA NA 349 2739 158 NA NA NA NA 
1754776800.0 134.809 NA 56 263 0 NA NA NA NA NA 78 305 0 NA NA NA NA NA 99 2388 149 NA NA NA NA NA 106 2421 154 NA NA NA NA 
1754776800.0 134.81 NA 57 263 0 NA NA NA NA NA 80 307 0 NA NA NA NA NA 98 2456 150 NA NA NA NA NA 102 2492 155 NA NA NA NA 
1754776800.0 134.811 NA 58 269 0 NA NA NA NA NA 80 312 0 NA NA NA NA NA 100 2564 146 NA NA NA NA NA 105 2608 152 NA NA NA NA 
1754776800.0 134.812 NA 55 258 0 NA NA NA NA NA 77 297 0 NA NA NA NA NA 75 1451 152 NA NA NA NA NA 80 1482 157 NA NA NA NA 
1754776800.0 134.901 NA 56 260 0 NA NA NA NA NA 79 294 0 NA NA NA NA NA 76 1460 161 NA NA NA NA NA 80 1492 167 NA NA NA NA 
1754776800.0 134.902 NA 59 263 0 NA NA NA NA NA 83 296 0 NA NA NA NA NA 87 1874 160 NA NA NA NA NA 91 1905 172 NA NA NA NA 
1754776800.0 134.903 NA 61 260 0 NA NA NA NA NA 83 297 0 NA NA NA NA NA 86 1784 153 NA NA NA NA NA 91 1818 160 NA NA NA NA 
1754776800.0 134.904 NA 58 264 0 NA NA NA NA NA 81 308 0 NA NA NA NA NA 89 2054 148 NA NA NA NA NA 94 2094 153 NA NA NA NA 
1754776800.0 134.905 NA 59 262 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 86 1740 155 NA NA NA NA NA 89 1769 161 NA NA NA NA 
1754776800.0 134.906 NA 58 263 0 NA NA NA NA NA 81 301 0 NA NA NA NA NA 88 2012 158 NA NA NA NA NA 96 2054 165 NA NA NA NA 
1754776800.0 134.907 NA 99 276 0 NA NA NA NA NA 141 314 0 NA NA NA NA NA 261 1860 149 NA NA NA NA NA 278 1901 158 NA NA NA NA 
1754776800.0 134.908 NA 102 280 0 NA NA NA NA NA 143 313 0 NA NA NA NA NA 261 1924 150 NA NA NA NA NA 279 1974 154 NA NA NA NA 
1754776800.0 134.909 NA 59 259 0 NA NA NA NA NA 82 297 0 NA NA NA NA NA 88 1828 155 NA NA NA NA NA 102 1875 159 NA NA NA NA 
1754776800.0 134.91 NA 57 259 0 NA NA NA NA NA 81 290 0 NA NA NA NA NA 86 1690 157 NA NA NA NA NA 92 1722 161 NA NA NA NA 
1754776800.0 134.911 NA 58 261 0 NA NA NA NA NA 80 296 0 NA NA NA NA NA 86 1756 159 NA NA NA NA NA 94 1791 165 NA NA NA NA 
1754776800.0 134.912 NA 56 258 0 NA NA NA NA NA 78 283 0 NA NA NA NA NA 78 1340 156 NA NA NA NA NA 81 1377 161 NA NA NA NA 
1754776800.0 134.99601 NA 58 266 0 NA NA NA NA NA 80 306 0 NA NA NA NA NA 104 2751 147 NA NA NA NA NA 116 2797 154 NA NA NA NA 
1754776800.0 134.99602 NA 57 265 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 89 1677 159 NA NA NA NA NA 94 1715 165 NA NA NA NA 
1754776800.0 134.99603 NA 58 265 0 NA NA NA NA NA 81 306 0 NA NA NA NA NA 98 2311 144 NA NA NA NA NA 107 2344 148 NA NA NA NA 
1754776800.0 134.99901 NA 58 264 0 NA NA NA NA NA 81 301 0 NA NA NA NA NA 85 1716 156 NA NA NA NA NA 154 1754 162 NA NA NA NA 
1754776800.0 135.1 261 0 132 NA NA NA NA NA 302 0 157 NA NA NA NA NA 305 106 109 NA NA NA NA NA 322 113 128 NA NA NA NA NA 
1754776800.0 135.11 263 0 133 NA NA NA NA NA 307 0 159 NA NA NA NA NA 386 107 133 NA NA NA NA NA 417 110 158 NA NA NA NA NA 
1754776800.0 135.12 256 0 131 NA NA NA NA NA 297 0 157 NA NA NA NA NA 267 103 103 NA NA NA NA NA 296 105 126 NA NA NA NA NA 
1754776800.0 135.2 242 0 131 NA NA NA NA NA 279 0 148 NA NA NA NA NA 198 92 92 NA NA NA NA NA 223 97 108 NA NA NA NA NA 
1754776800.0 135.3 242 0 130 NA NA NA NA NA 279 0 156 NA NA NA NA NA 198 93 93 NA NA NA NA NA 227 97 108 NA NA NA NA NA 
1754776800.0 135.4 257 0 131 NA NA NA NA NA 299 0 156 NA NA NA NA NA 272 101 101 NA NA NA NA NA 293 106 122 NA NA NA NA NA 
1754776800.0 135.5 254 0 131 NA NA NA NA NA 296 0 153 NA NA NA NA NA 252 100 100 NA NA NA NA NA 276 104 123 NA NA NA NA NA 
1754776800.0 135.6 257 0 132 NA NA NA NA NA 298 0 157 NA NA NA NA NA 277 102 108 NA NA NA NA NA 306 106 134 NA NA NA NA NA 
1754776800.0 135.7 257 0 132 NA NA NA NA NA 298 0 156 NA NA NA NA NA 239 100 98 NA NA NA NA NA 261 104 113 NA NA NA NA NA 
1754776800.0 135.9 257 0 131 NA NA NA NA NA 299 0 156 NA NA NA NA NA 240 101 97 NA NA NA NA NA 262 104 122 NA NA NA NA NA 
1754776800.0 1356.0 86 194 296 0 134 NA NA NA 107 218 327 0 161 NA NA NA 1501 231 432 500 106 NA NA NA 1531 258 472 506 128 NA NA NA 
1754776800.0 136.721 NA 187 285 0 NA NA NA NA NA 229 328 0 NA NA NA NA NA 1209 2756 279 NA NA NA NA NA 1305 2799 284 NA NA NA NA 
1754776800.0 136.722 NA 187 297 0 NA NA NA NA NA 234 346 0 NA NA NA NA NA 1432 3051 290 NA NA NA NA NA 1691 3102 299 NA NA NA NA 
1754776800.0 136.723 NA 188 283 0 NA NA NA NA NA 231 330 0 NA NA NA NA NA 1387 2992 289 NA NA NA NA NA 1650 3051 295 NA NA NA NA 
1754776800.0 136.724 NA 190 301 0 NA NA NA NA NA 236 351 0 NA NA NA NA NA 1920 3465 281 NA NA NA NA NA 2185 3499 286 NA NA NA NA 
1754776800.0 136.725 NA 189 299 0 NA NA NA NA NA 232 366 0 NA NA NA NA NA 1362 3032 290 NA NA NA NA NA 1622 3084 296 NA NA NA NA 
1754776800.0 136.726 NA 192 284 0 NA NA NA NA NA 230 340 0 NA NA NA NA NA 1501 3155 288 NA NA NA NA NA 1968 3197 291 NA NA NA NA 
1754776800.0 136.727 NA 214 293 0 NA NA NA NA NA 284 342 0 NA NA NA NA NA 1481 2977 290 NA NA NA NA NA 1738 3019 299 NA NA NA NA 
1754776800.0 136.728 NA 218 294 0 NA NA NA NA NA 280 348 0 NA NA NA NA NA 1611 3220 292 NA NA NA NA NA 1883 3259 297 NA NA NA NA 
1754776800.0 136.729 NA 187 284 0 NA NA NA NA NA 227 330 0 NA NA NA NA NA 1307 3041 290 NA NA NA NA NA 1555 3104 299 NA NA NA NA 
1754776800.0 136.73 NA 193 304 0 NA NA NA NA NA 226 355 0 NA NA NA NA NA 1384 3079 288 NA NA NA NA NA 1652 3143 293 NA NA NA NA 
1754776800.0 136.731 NA 194 313 0 NA NA NA NA NA 238 364 0 NA NA NA NA NA 1444 3122 290 NA NA NA NA NA 1704 3174 295 NA NA NA NA 
1754776800.0 136.732 NA 185 279 0 NA NA NA NA NA 222 316 0 NA NA NA NA NA 780 2139 280 NA NA NA NA NA 825 2183 286 NA NA NA NA 
