Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1477386000.0 1.0 48 71 118 NA NA NA NA NA 162 220 274 NA NA NA NA NA 3718 519 483 NA NA NA NA NA 3928 531 511 NA NA NA NA NA
1477386000.0 10.0 NA 86 191 0 NA NA NA NA NA 240 396 0 NA NA NA NA NA 3219 3355 912 NA NA NA NA NA 3327 3517 942 NA NA NA NA
1477386000.0 1000.0 NA 206 116 0 39 NA NA NA NA 407 262 0 139 NA NA NA NA 3852 810 902 239 NA NA NA NA 3992 897 921 290 NA NA NA
1477386000.0 1001.0 NA 190 169 0 0 0 0 0 NA 381 297 0 0 0 0 0 NA 1446 312 5 38 447 15 416 NA 1704 424 102 43 453 31 421
1477386000.0 1002.0 NA 201 67 NA NA NA NA NA NA 398 140 NA NA NA NA NA NA 3739 318 NA NA NA NA NA NA 3886 335 NA NA NA NA NA
1477386000.0 10021.0 NA 100 215 62 0 NA NA NA NA 268 422 176 0 NA NA NA NA 1099 1700 170 1065 NA NA NA NA 1192 1810 215 1091 NA NA NA
1477386000.0 10023.0 NA 98 209 68 0 NA NA NA NA 265 421 175 0 NA NA NA NA 1122 1780 225 1342 NA NA NA NA 1331 2181 467 1461 NA NA NA
1477386000.0 10024.0 NA 105 226 62 0 NA NA NA NA 266 432 177 0 NA NA NA NA 1072 1786 160 1092 NA NA NA NA 1147 1877 217 1125 NA NA NA
1477386000.0 10024.1 NA 109 156 0 NA NA NA NA NA 265 314 0 NA NA NA NA NA 1388 1224 726 NA NA NA NA NA 1468 1328 743 NA NA NA NA
1477386000.0 10024.2 NA 107 228 0 NA NA NA NA NA 264 430 0 NA NA NA NA NA 519 886 555 NA NA NA NA NA 578 974 584 NA NA NA NA
1477386000.0 10024.3 NA 108 148 0 NA NA NA NA NA 264 307 0 NA NA NA NA NA 1329 1261 645 NA NA NA NA NA 1462 1382 666 NA NA NA NA
1477386000.0 10024.4 NA 107 212 0 NA NA NA NA NA 265 420 0 NA NA NA NA NA 529 926 534 NA NA NA NA NA 610 1066 549 NA NA NA NA
1477386000.0 10024.5 NA 106 143 0 NA NA NA NA NA 265 306 0 NA NA NA NA NA 1222 1166 442 NA NA NA NA NA 1368 1306 450 NA NA NA NA
1477386000.0 10025.0 NA 105 211 63 0 NA NA NA NA 264 422 175 0 NA NA NA NA 509 773 80 551 NA NA NA NA 574 857 131 568 NA NA NA
1477386000.0 10026.0 NA 106 219 62 0 NA NA NA NA 267 425 176 0 NA NA NA NA 1150 3270 157 1128 NA NA NA NA 1275 3394 210 1163 NA NA NA
1477386000.0 1003.0 NA 176 0 NA NA NA NA NA NA 361 0 NA NA NA NA NA NA 5232 502 NA NA NA NA NA NA 5588 568 NA NA NA NA NA
1477386000.0 1004.0 NA 180 140 0 0 0 0 NA NA 362 249 0 0 0 0 NA NA 901 387 10 84 887 1000 NA NA 931 408 15 100 892 1007 NA
1477386000.0 101.0 81 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 1146 NA NA NA NA NA NA NA 1176 NA NA NA NA NA NA NA
1477386000.0 102.0 81 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 748 NA NA NA NA NA NA NA 798 NA NA NA NA NA NA NA
1477386000.0 10224.0 NA 145 296 0 NA NA NA NA NA 299 541 0 NA NA NA NA NA 2247 4177 604 NA NA NA NA NA 5804 4589 632 NA NA NA NA
1477386000.0 10225.0 NA 137 300 0 NA NA NA NA NA 306 531 0 NA NA NA NA NA 2309 2996 629 NA NA NA NA NA 6317 3608 665 NA NA NA NA
1477386000.0 103.0 34 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 418 87 145 NA NA NA NA NA 506 117 165 NA NA NA NA NA
1477386000.0 105.0 48 77 24 NA NA NA NA NA 162 228 122 NA NA NA NA NA 3701 551 4 NA NA NA NA NA 3737 563 10 NA NA NA NA NA
1477386000.0 106.0 37 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 402 82 140 NA NA NA NA NA 443 113 159 NA NA NA NA NA
1477386000.0 107.0 48 74 188 NA NA NA NA NA 162 228 390 NA NA NA NA NA 2520 266 378 NA NA NA NA NA 2649 286 495 NA NA NA NA NA
1477386000.0 108.0 50 80 190 NA NA NA NA NA 165 228 396 NA NA NA NA NA 7858 371 629 NA NA NA NA NA 9168 537 721 NA NA NA NA NA
1477386000.0 109.0 50 76 187 NA NA NA NA NA 166 229 391 NA NA NA NA NA 10302 550 868 NA NA NA NA NA 10592 581 914 NA NA NA NA NA
1477386000.0 11.0 NA 82 198 0 51 NA NA NA NA 238 404 0 157 NA NA NA NA 1397 676 479 20 NA NA NA NA 1451 746 1204 52 NA NA NA
