Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1478512800.0 10021.0 NA 166 221 67 0 NA 223 288 108 0 NA 586 946 129 580 NA 1389 1269 273 606
1478512800.0 11.0 NA 80 198 0 52 NA 153 264 0 89 NA 1651 866 627 30 NA 1706 963 654 82
1478512800.0 119.0 48 82 188 NA NA 94 143 250 NA NA 4122 351 488 NA NA 4375 370 529 NA NA
1478512800.0 1317.0 NA 157 230 0 NA NA 218 293 0 NA NA 467 632 1083 NA NA 1276 919 1104 NA
1478512800.0 1318.0 NA 157 225 0 NA NA 216 293 0 NA NA 526 591 1000 NA NA 641 707 2397 NA
1478512800.0 1326.0 NA 165 231 0 NA NA 224 299 0 NA NA 571 687 1032 NA NA 717 823 2453 NA
1478512800.0 1328.0 NA 162 234 0 NA NA 225 300 0 NA NA 627 752 1098 NA NA 776 884 2488 NA
1478512800.0 1333.0 NA 156 229 0 NA NA 218 295 0 NA NA 520 650 944 NA NA 615 870 2559 NA
1478512800.0 1340.0 NA 161 233 0 NA NA 221 296 0 NA NA 477 655 1125 NA NA 1280 941 1152 NA
1478512800.0 1364.0 NA 165 233 0 NA NA 221 296 0 NA NA 501 702 1109 NA NA 1308 1010 1139 NA
1478512800.0 20421.0 76 81 163 0 NA 116 133 221 0 NA 1427 474 760 278 NA 1542 616 2698 375 NA
1478512800.0 4.25 NA 59 204 0 NA NA 101 264 0 NA NA 94 2140 570 NA NA 113 2205 591 NA
