Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1478901600.0 1.0 74 86 134 NA NA NA NA NA 167 213 223 NA NA NA NA NA 1622 338 247 NA NA NA NA NA 795 206 224 NA NA NA NA NA
1478901600.0 10.0 NA 104 382 0 NA NA NA NA NA 245 493 0 NA NA NA NA NA 2038 1749 348 NA NA NA NA NA 646 714 646 NA NA NA NA
1478901600.0 1000.0 NA 367 123 0 42 NA NA NA NA 461 206 0 98 NA NA NA NA 1845 801 266 130 NA NA NA NA 817 387 296 148 NA NA NA
1478901600.0 1001.0 NA 348 198 0 0 0 0 0 NA 432 263 0 0 0 0 0 NA 1566 312 4 18 263 14 243 NA 682 263 8 20 246 18 246
1478901600.0 1002.0 NA 336 70 NA NA NA NA NA NA 442 122 NA NA NA NA NA NA 2052 424 NA NA NA NA NA NA 874 137 NA NA NA NA NA
1478901600.0 10021.0 NA 190 399 89 0 NA NA NA NA 350 522 140 0 NA NA NA NA 920 1383 101 353 NA NA NA NA 558 1355 180 395 NA NA NA
1478901600.0 10023.0 NA 194 386 80 0 NA NA NA NA 346 523 138 0 NA NA NA NA 516 1184 89 334 NA NA NA NA 395 1434 196 390 NA NA NA
1478901600.0 10024.0 NA 212 410 80 0 NA NA NA NA 350 527 140 0 NA NA NA NA 655 1352 90 357 NA NA NA NA 512 1348 132 464 NA NA NA
1478901600.0 10024.1 NA 215 306 0 NA NA NA NA NA 355 438 0 NA NA NA NA NA 778 504 275 NA NA NA NA NA 439 395 281 NA NA NA NA
1478901600.0 10024.2 NA 211 401 0 NA NA NA NA NA 345 531 0 NA NA NA NA NA 679 1397 348 NA NA NA NA NA 585 1445 403 NA NA NA NA
1478901600.0 10024.3 NA 214 284 0 NA NA NA NA NA 358 397 0 NA NA NA NA NA 809 496 255 NA NA NA NA NA 449 402 262 NA NA NA NA
1478901600.0 10024.4 NA 219 401 0 NA NA NA NA NA 341 534 0 NA NA NA NA NA 670 1404 371 NA NA NA NA NA 563 1425 459 NA NA NA NA
1478901600.0 10024.5 NA 212 276 0 NA NA NA NA NA 353 382 0 NA NA NA NA NA 850 487 263 NA NA NA NA NA 678 404 270 NA NA NA NA
1478901600.0 10025.0 NA 202 392 88 0 NA NA NA NA 339 524 138 0 NA NA NA NA 644 1173 90 351 NA NA NA NA 560 1287 165 399 NA NA NA
1478901600.0 10026.0 NA 218 410 82 0 NA NA NA NA 365 564 139 0 NA NA NA NA 804 1647 97 384 NA NA NA NA 565 1576 211 450 NA NA NA
1478901600.0 1003.0 NA 281 0 NA NA NA NA NA NA 376 0 NA NA NA NA NA NA 2524 195 NA NA NA NA NA NA 983 202 NA NA NA NA NA
