Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1524085200.0 10001.0 NA 121 326 69 0 NA 387 439 111 0 NA 547 1850 261 1153 NA 429 1981 353 1232
1524085200.0 10801.0 NA 226 354 75 0 NA 479 477 124 0 NA 1365 1671 448 1851 NA 1253 1713 460 1926
1524085200.0 10802.0 NA 223 355 74 0 NA 482 478 124 0 NA 1293 1657 367 1838 NA 1146 1636 461 1906
1524085200.0 10803.0 NA 222 354 75 0 NA 483 474 124 0 NA 1401 1745 451 1832 NA 1264 1796 476 1894
1524085200.0 10804.0 NA 200 351 83 0 NA 479 476 124 0 NA 1336 1649 369 1841 NA 1237 1595 465 1909
1524085200.0 10805.0 NA 225 358 75 0 NA 485 502 124 0 NA 1261 1662 447 1808 NA 1175 1658 432 1860
1524085200.0 10806.0 NA 210 361 74 0 NA 470 502 122 0 NA 1349 1658 447 1843 NA 1243 1672 436 1949
1524085200.0 10807.0 NA 212 354 93 0 NA 472 465 133 0 NA 1372 1746 400 1811 NA 1413 2052 488 1885
1524085200.0 10808.0 NA 221 358 94 0 NA 481 478 134 0 NA 1404 1706 398 1838 NA 1297 1658 488 1920
1524085200.0 10809.0 NA 222 360 94 0 NA 479 475 134 0 NA 1296 1720 394 1828 NA 1162 1649 467 1893
1524085200.0 10823.0 NA 195 353 84 0 NA 465 474 124 0 NA 1329 1659 357 1840 NA 1182 1627 437 1913
1524085200.0 10824.0 NA 236 368 94 0 NA 480 490 136 0 NA 1547 1928 401 1887 NA 1379 1870 505 1965
1524085200.0 10824.6 NA 247 366 95 0 NA 480 487 135 0 NA 1511 1923 403 1860 NA 1340 1872 497 1913
1524085200.0 10825.0 NA 234 359 92 0 NA 480 474 133 0 NA 1422 1760 512 1855 NA 1283 1653 521 1914
1524085200.0 10826.0 NA 254 378 85 0 NA 471 496 134 0 NA 1529 2210 489 1956 NA 2097 1953 465 2025
1524085200.0 10842.0 NA 214 362 86 0 NA 487 470 135 0 NA 1468 1793 393 1875 NA 1431 1735 526 1954
1524085200.0 10859.0 NA 249 372 85 0 NA 472 501 134 0 NA 1626 2480 386 1857 NA 1343 2227 476 1924
1524085200.0 10871.0 NA 236 371 95 0 NA 477 493 135 0 NA 1547 1943 390 1881 NA 1378 1741 442 1965
1524085200.0 11024.0 NA 462 665 0 NA NA 661 976 0 NA NA 6256 5497 1930 NA NA 4123 3947 2038 NA
1524085200.0 11024.6 NA 452 696 0 NA NA 663 994 0 NA NA 6110 5805 2013 NA NA 3823 3627 2074 NA
1524085200.0 11025.0 NA 448 668 0 NA NA 644 973 0 NA NA 5921 5207 1921 NA NA 3836 3356 1982 NA
1524085200.0 11224.0 NA 230 374 0 NA NA 472 483 0 NA NA 1568 1942 1849 NA NA 1347 1813 1914 NA
1524085200.0 11224.6 NA 222 370 0 NA NA 485 481 0 NA NA 1578 1988 1892 NA NA 1287 1880 2042 NA
1524085200.0 117.0 111 105 257 NA NA 194 369 350 NA NA 4478 573 1504 NA NA 1902 360 1620 NA NA
1524085200.0 121.0 106 107 258 NA NA 194 369 352 NA NA 4098 534 1547 NA NA 1965 394 1642 NA NA
1524085200.0 128.0 61 99 238 NA NA 116 369 349 NA NA 884 426 1256 NA NA 698 351 1323 NA NA
1524085200.0 129.0 65 95 237 NA NA 116 369 339 NA NA 893 398 1229 NA NA 621 316 1299 NA NA
1524085200.0 130.0 65 88 244 NA NA 125 361 342 NA NA 1158 518 1541 NA NA 635 543 1697 NA NA
1524085200.0 131.0 72 98 247 NA NA 135 361 342 NA NA 1733 495 1506 NA NA 859 524 1572 NA NA
1524085200.0 132.0 99 100 256 NA NA 186 361 361 NA NA 4431 507 1632 NA NA 1834 384 1607 NA NA
1524085200.0 133.0 112 101 259 NA NA 195 369 359 NA NA 6539 551 1765 NA NA 2507 392 1592 NA NA
1524085200.0 1362.17 73 123 330 0 NA 132 372 447 0 NA 5097 727 1859 1169 NA 3116 833 1903 1274 NA
1524085200.0 20261.98 436 NA NA NA NA 598 NA NA NA NA 7023 NA NA NA NA 3492 NA NA NA NA
1524085200.0 4000.0 NA 125 280 NA NA NA 377 371 NA NA NA 2759 4430 NA NA NA 1139 2460 NA NA
1524085200.0 4001.0 NA 181 341 NA NA NA 380 468 NA NA NA 998 2778 NA NA NA 719 2316 NA NA
1524085200.0 4002.0 NA 125 279 NA NA NA 377 364 NA NA NA 2262 2869 NA NA NA 1004 1936 NA NA
1524085200.0 4003.0 NA 127 274 NA NA NA 377 367 NA NA NA 2247 3141 NA NA NA 959 2196 NA NA
1524085200.0 4006.0 73 147 312 NA NA 134 378 423 NA NA 1605 765 2048 NA NA 974 659 2089 NA NA
1524085200.0 4007.0 61 111 276 NA NA 120 385 390 NA NA 1369 455 1609 NA NA 996 608 1688 NA NA
1524085200.0 4008.0 60 107 248 NA NA 115 377 374 NA NA 1489 340 1470 NA NA 888 484 1674 NA NA
