Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491469200.0 1000.0 NA 399 130 0 51 NA NA NA 467 196 0 89 NA NA NA 1521 393 359 82 NA NA NA 676 279 370 110 NA NA
1491469200.0 1002.0 NA 363 64 NA NA NA NA NA 452 109 NA NA NA NA NA 1639 162 NA NA NA NA NA 712 87 NA NA NA NA
1491469200.0 10023.0 NA 208 530 91 0 NA NA NA 475 672 139 0 NA NA NA 491 2665 145 1038 NA NA NA 524 2671 198 1085 NA NA
1491469200.0 10024.0 NA 230 555 110 0 NA NA NA 471 699 150 0 NA NA NA 813 3618 222 1574 NA NA NA 519 3447 249 1590 NA NA
1491469200.0 10024.2 NA 234 547 0 NA NA NA NA 478 686 0 NA NA NA NA 557 2731 1012 NA NA NA NA 548 2486 1023 NA NA NA
1491469200.0 10024.4 NA 234 556 0 NA NA NA NA 482 695 0 NA NA NA NA 696 2650 1127 NA NA NA NA 506 2391 1143 NA NA NA
1491469200.0 10024.6 NA 235 459 0 NA NA NA NA 468 683 0 NA NA NA NA 825 3699 1478 NA NA NA NA 615 3626 1499 NA NA NA
1491469200.0 10025.0 NA 223 541 100 0 NA NA NA 478 677 141 0 NA NA NA 642 3235 191 1450 NA NA NA 446 3052 224 1471 NA NA
1491469200.0 10026.0 NA 239 524 101 0 NA NA NA 486 692 148 0 NA NA NA 1034 3979 239 1483 NA NA NA 875 4829 261 1507 NA NA
1491469200.0 1003.0 NA 290 0 NA NA NA NA NA 388 0 NA NA NA NA NA 2352 268 NA NA NA NA NA 910 275 NA NA NA NA
1491469200.0 1004.0 NA 369 136 0 0 0 0 NA 463 184 0 0 0 0 NA 528 114 4 19 357 299 NA 437 119 7 23 361 311
1491469200.0 10042.0 NA 212 331 103 0 NA NA NA 475 653 150 0 NA NA NA 648 4002 207 1470 NA NA NA 433 5202 235 1482 NA NA
1491469200.0 10224.0 NA 341 763 0 NA NA NA NA 504 978 0 NA NA NA NA 4186 7241 1694 NA NA NA NA 2170 5016 1725 NA NA NA
1491469200.0 10225.0 NA 335 789 0 NA NA NA NA 517 975 0 NA NA NA NA 4249 7122 1607 NA NA NA NA 4499 4730 1639 NA NA NA
1491469200.0 10424.0 NA 220 546 0 NA NA NA NA 482 687 0 NA NA NA NA 555 2384 1066 NA NA NA NA 350 2167 1226 NA NA NA
1491469200.0 108.0 86 98 376 NA NA NA NA 163 358 469 NA NA NA NA 7019 443 761 NA NA NA NA 2401 222 574 NA NA NA NA
1491469200.0 10823.0 71 199 533 99 0 NA NA 120 468 676 139 0 NA NA 2191 716 3508 220 1559 NA NA 1114 677 3355 429 1575 NA NA
1491469200.0 10824.0 79 241 555 110 0 NA NA 131 468 683 151 0 NA NA 4596 734 2872 149 1207 NA NA 1672 422 2534 166 1244 NA NA
1491469200.0 10825.0 75 230 426 92 0 NA NA 126 462 682 141 0 NA NA 2976 556 2784 151 1089 NA NA 1131 351 3390 211 1098 NA NA
1491469200.0 10826.0 81 203 530 93 0 NA NA 135 466 672 139 0 NA NA 6047 362 2397 117 995 NA NA 2125 263 2304 145 1003 NA NA
1491469200.0 10842.0 60 202 528 111 0 NA NA 108 465 681 149 0 NA NA 870 378 2706 148 1070 NA NA 687 446 2658 193 1076 NA NA
1491469200.0 109.0 88 99 376 NA NA NA NA 159 365 449 NA NA NA NA 8169 420 765 NA NA NA NA 2795 202 594 NA NA NA NA
1491469200.0 11.0 NA 100 462 0 61 NA NA NA 378 549 0 98 NA NA NA 1249 700 333 17 NA NA NA 387 428 341 19 NA NA
1491469200.0 110.0 59 89 363 NA NA NA NA 110 365 465 NA NA NA NA 505 268 418 NA NA NA NA 369 131 380 NA NA NA NA
1491469200.0 1102.0 NA 111 381 135 65 NA NA NA 370 466 187 116 NA NA NA 2109 3072 1689 155 NA NA NA 665 1180 968 129 NA NA
1491469200.0 111.0 83 92 367 NA NA NA NA 157 358 463 NA NA NA NA 1935 251 451 NA NA NA NA 786 134 390 NA NA NA NA
1491469200.0 118.0 84 99 371 NA NA NA NA 165 365 472 NA NA NA NA 7082 395 743 NA NA NA NA 2609 188 548 NA NA NA NA
