Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1501621200.0 4.23 61 177 106 290
1501621200.0 4.24 54 165 74 142
1501621200.0 4.25 56 166 73 119
1501621200.0 4.27 51 165 84 119
1501621200.0 4.36 53 164 80 141
1501621200.0 4.42 27 141 92 182
1501621200.0 4.43 27 140 72 109
1501621200.0 4.45 29 140 95 154
1501621200.0 4.51 30 141 88 170
1501621200.0 4.52 26 139 97 167
1501621200.0 4.54 26 139 95 241
1501621200.0 4.55 25 140 103 146
1501621200.0 4.61 25 140 96 196
1501621200.0 4.63 25 140 102 187
1501621200.0 4.65 27 140 110 273
1501621200.0 4.68 40 156 96 131
1501621200.0 4.74 26 141 94 262
1501621200.0 4.76 55 166 115 200
1501621200.0 4.77 51 161 108 224
