Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1534629600.0 1000.0 NA 231 151 0 45 NA NA NA 320 247 0 84 NA NA NA 3387 1481 832 344 NA NA NA 3717 1820 897 473 NA NA
1534629600.0 1004.0 NA 175 93 0 0 0 0 NA 236 137 0 0 0 0 NA 1152 435 101 151 435 394 NA 1662 564 155 231 544 458
1534629600.0 1010.0 NA 23 39 0 NA NA NA NA 69 81 0 NA NA NA NA 150 215 250 NA NA NA NA 348 360 436 NA NA NA
1534629600.0 1020.0 NA 36 NA NA NA NA NA NA 102 NA NA NA NA NA NA 340 NA NA NA NA NA NA 552 NA NA NA NA NA
1534629600.0 1030.0 NA 137 40 0 NA NA NA NA 237 80 0 NA NA NA NA 14887 271 90 NA NA NA NA 17468 379 129 NA NA NA
1534629600.0 1102.0 NA 101 230 113 73 NA NA NA 151 313 182 157 NA NA NA 2718 5566 2142 370 NA NA NA 3554 6062 2614 413 NA NA
1534629600.0 1301.0 59 84 162 NA NA NA NA 106 145 251 NA NA NA NA 1071 560 1631 NA NA NA NA 1390 676 1879 NA NA NA NA
1534629600.0 1302.0 62 85 166 NA NA NA NA 110 145 254 NA NA NA NA 5819 684 1784 NA NA NA NA 6848 811 2024 NA NA NA NA
1534629600.0 1307.0 NA 83 118 41 0 NA NA NA 151 193 80 0 NA NA NA 584 721 221 350 NA NA NA 1120 1233 596 689 NA NA
1534629600.0 1308.0 NA 83 116 41 0 NA NA NA 151 191 79 0 NA NA NA 559 607 244 342 NA NA NA 811 764 323 413 NA NA
1534629600.0 1311.0 NA 84 230 0 58 NA NA NA 153 309 0 99 NA NA NA 514 1401 896 302 NA NA NA 784 1636 959 396 NA NA
1534629600.0 1325.1 NA 93 132 0 NA NA NA NA 153 183 0 NA NA NA NA 682 944 402 NA NA NA NA 901 1079 457 NA NA NA
1534629600.0 1325.3 NA 93 127 0 NA NA NA NA 153 178 0 NA NA NA NA 747 973 394 NA NA NA NA 956 1109 457 NA NA NA
1534629600.0 1325.5 NA 138 0 NA NA NA NA NA 206 0 NA NA NA NA NA 3472 193 NA NA NA NA NA 3772 235 NA NA NA NA
1534629600.0 1325.51 NA 126 0 NA NA NA NA NA 193 0 NA NA NA NA NA 1955 209 NA NA NA NA NA 2300 259 NA NA NA NA
1534629600.0 1325.6 NA 104 NA NA NA NA NA NA 173 NA NA NA NA NA NA 2830 NA NA NA NA NA NA 3903 NA NA NA NA NA
