Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1574550000.0 1.0 86 79 191 NA NA NA NA NA 184 366 294 NA NA NA NA NA 1114 431 868 NA NA NA NA NA 1304 390 1267 NA NA NA NA NA
1574550000.0 10.0 NA 113 457 0 NA NA NA NA NA 371 567 0 NA NA NA NA NA 2223 2920 458 NA NA NA NA NA 1267 2306 495 NA NA NA NA
1574550000.0 1000.0 NA 390 155 0 48 NA NA NA NA 497 257 0 89 NA NA NA NA 2473 1182 556 243 NA NA NA NA 3062 1332 664 298 NA NA NA
1574550000.0 10001.0 NA 188 663 83 0 NA NA NA NA 474 826 135 0 NA NA NA NA 1253 2009 343 1647 NA NA NA NA 1777 3131 460 2079 NA NA NA
1574550000.0 10002.0 NA 189 658 83 0 NA NA NA NA 481 792 134 0 NA NA NA NA 1285 2019 347 1605 NA NA NA NA 1683 2793 665 1904 NA NA NA
1574550000.0 10003.0 NA 194 661 84 0 NA NA NA NA 487 823 135 0 NA NA NA NA 1304 2050 353 1663 NA NA NA NA 1547 2849 615 2037 NA NA NA
1574550000.0 10004.0 NA 187 657 85 0 NA NA NA NA 483 821 135 0 NA NA NA NA 1254 1983 359 1630 NA NA NA NA 1694 2613 1004 1912 NA NA NA
1574550000.0 10005.0 NA 189 657 83 0 NA NA NA NA 475 821 135 0 NA NA NA NA 1234 1984 343 1592 NA NA NA NA 1859 2947 687 1726 NA NA NA
1574550000.0 10006.0 NA 188 651 82 0 NA NA NA NA 480 824 134 0 NA NA NA NA 1259 2012 346 1596 NA NA NA NA 1861 3093 622 1900 NA NA NA
1574550000.0 10007.0 NA 189 668 94 0 NA NA NA NA 480 830 144 0 NA NA NA NA 1303 2049 375 1649 NA NA NA NA 1588 2661 844 1856 NA NA NA
1574550000.0 10008.0 NA 191 656 96 0 NA NA NA NA 479 789 143 0 NA NA NA NA 1285 2055 365 1606 NA NA NA NA 1730 2803 605 1862 NA NA NA
1574550000.0 10009.0 NA 191 660 95 0 NA NA NA NA 482 817 144 0 NA NA NA NA 1273 2085 363 1595 NA NA NA NA 1592 2988 735 1711 NA NA NA
1574550000.0 1001.0 NA 365 191 0 0 0 0 0 NA 472 231 0 0 0 0 0 NA 2126 435 68 78 230 130 223 NA 2239 966 207 147 326 143 249
1574550000.0 1002.0 NA 414 65 NA NA NA NA NA NA 509 125 NA NA NA NA NA NA 2684 420 NA NA NA NA NA NA 2415 346 NA NA NA NA NA
1574550000.0 10023.0 NA 188 663 84 0 NA NA NA NA 490 787 133 0 NA NA NA NA 1258 2003 346 1664 NA NA NA NA 1910 2897 747 2086 NA NA NA
1574550000.0 10024.0 NA 214 680 97 0 NA NA NA NA 482 857 146 0 NA NA NA NA 1463 2293 375 1695 NA NA NA NA 1777 2933 511 1911 NA NA NA
1574550000.0 10024.1 NA 210 266 0 NA NA NA NA NA 475 360 0 NA NA NA NA NA 1431 757 289 NA NA NA NA NA 1438 825 388 NA NA NA NA
1574550000.0 10024.2 NA 213 675 0 NA NA NA NA NA 481 835 0 NA NA NA NA NA 1480 2286 1666 NA NA NA NA NA 1451 3740 1892 NA NA NA NA
