Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1587852000.0 1.0 87 80 194 NA NA NA NA NA 185 367 314 NA NA NA NA NA 1752 452 876 NA NA NA NA NA 1789 766 2597 NA NA NA NA NA
1587852000.0 10.0 NA 112 462 0 NA NA NA NA NA 364 562 0 NA NA NA NA NA 2145 3095 492 NA NA NA NA NA 1821 3431 625 NA NA NA NA
1587852000.0 1000.0 NA 389 153 0 51 NA NA NA NA 505 258 0 89 NA NA NA NA 2475 1217 565 243 NA NA NA NA 2927 1664 1199 307 NA NA NA
1587852000.0 10001.0 NA 188 657 83 0 NA NA NA NA 474 820 134 0 NA NA NA NA 1264 2027 354 1601 NA NA NA NA 1727 3661 748 2162 NA NA NA
1587852000.0 10002.0 NA 191 659 90 0 NA NA NA NA 480 828 133 0 NA NA NA NA 1265 2036 360 1626 NA NA NA NA 1724 4352 825 2049 NA NA NA
1587852000.0 10003.0 NA 198 658 83 0 NA NA NA NA 484 824 134 0 NA NA NA NA 1285 2059 361 1609 NA NA NA NA 1823 4999 861 2219 NA NA NA
1587852000.0 10004.0 NA 188 665 83 0 NA NA NA NA 481 809 135 0 NA NA NA NA 1245 2003 356 1594 NA NA NA NA 1694 4224 772 1762 NA NA NA
1587852000.0 10005.0 NA 189 667 82 0 NA NA NA NA 481 790 134 0 NA NA NA NA 1278 1997 457 1611 NA NA NA NA 3684 3805 807 2023 NA NA NA
1587852000.0 10006.0 NA 187 651 84 0 NA NA NA NA 488 789 133 0 NA NA NA NA 1262 1986 352 1611 NA NA NA NA 1932 4286 807 2211 NA NA NA
1587852000.0 10007.0 NA 187 668 94 0 NA NA NA NA 482 818 143 0 NA NA NA NA 1291 2056 371 1615 NA NA NA NA 2423 3716 912 1811 NA NA NA
1587852000.0 10008.0 NA 188 661 94 0 NA NA NA NA 490 820 144 0 NA NA NA NA 1270 2038 378 1620 NA NA NA NA 1750 3435 810 2924 NA NA NA
1587852000.0 10009.0 NA 194 672 94 0 NA NA NA NA 473 827 145 0 NA NA NA NA 1299 2064 377 1615 NA NA NA NA 1820 3543 1100 2337 NA NA NA
1587852000.0 1001.0 NA 360 182 0 0 0 0 0 NA 449 231 0 0 0 0 0 NA 2118 450 68 78 234 115 228 NA 2773 848 311 167 436 423 276
1587852000.0 1002.0 NA 417 63 NA NA NA NA NA NA 506 122 NA NA NA NA NA NA 2638 426 NA NA NA NA NA NA 4269 346 NA NA NA NA NA
1587852000.0 10023.0 NA 185 654 83 0 NA NA NA NA 481 825 133 0 NA NA NA NA 1257 2006 357 1614 NA NA NA NA 1748 3921 740 2300 NA NA NA
1587852000.0 10024.0 NA 212 682 100 0 NA NA NA NA 482 837 146 0 NA NA NA NA 1437 2281 383 1646 NA NA NA NA 1817 4061 842 2279 NA NA NA
1587852000.0 10024.1 NA 210 265 0 NA NA NA NA NA 482 356 0 NA NA NA NA NA 1459 785 296 NA NA NA NA NA 2379 1687 738 NA NA NA NA
1587852000.0 10024.2 NA 212 669 0 NA NA NA NA NA 481 816 0 NA NA NA NA NA 1457 2267 1638 NA NA NA NA NA 1814 3999 3016 NA NA NA NA
1587852000.0 10024.3 NA 212 241 0 NA NA NA NA NA 482 367 0 NA NA NA NA NA 1459 765 264 NA NA NA NA NA 3322 1207 418 NA NA NA NA
1587852000.0 10024.4 NA 213 677 0 NA NA NA NA NA 488 839 0 NA NA NA NA NA 1405 2276 1667 NA NA NA NA NA 3060 4125 2048 NA NA NA NA
1587852000.0 10024.5 NA 215 266 0 NA NA NA NA NA 481 366 0 NA NA NA NA NA 1464 779 303 NA NA NA NA NA 1859 1636 477 NA NA NA NA
1587852000.0 10024.6 NA 222 667 0 NA NA NA NA NA 476 840 0 NA NA NA NA NA 1413 2399 1813 NA NA NA NA NA 1615 3814 2554 NA NA NA NA
1587852000.0 10025.0 NA 200 666 91 0 NA NA NA NA 483 827 134 0 NA NA NA NA 1337 2137 356 1636 NA NA NA NA 2384 4167 799 2420 NA NA NA
1587852000.0 10026.0 NA 217 683 94 0 NA NA NA NA 481 847 144 0 NA NA NA NA 1503 2383 388 1843 NA NA NA NA 2151 4472 1004 2554 NA NA NA
1587852000.0 1003.0 NA 313 0 NA NA NA NA NA NA 406 0 NA NA NA NA NA NA 2692 417 NA NA NA NA NA NA 2405 521 NA NA NA NA NA
1587852000.0 1004.0 NA 307 169 0 0 0 0 NA NA 399 212 0 0 0 0 NA NA 851 300 66 85 235 235 NA NA 1821 962 174 224 340 547 NA
1587852000.0 10042.0 NA 200 669 94 0 NA NA NA NA 480 826 146 0 NA NA NA NA 1355 2164 390 1652 NA NA NA NA 1912 4592 1194 3035 NA NA NA
1587852000.0 10059.0 NA 219 686 94 0 NA NA NA NA 481 822 144 0 NA NA NA NA 1563 2742 381 1644 NA NA NA NA 1872 3740 899 2093 NA NA NA
1587852000.0 10071.0 NA 202 672 87 0 NA NA NA NA 473 829 134 0 NA NA NA NA 1371 2201 359 1647 NA NA NA NA 1935 3626 976 1842 NA NA NA
1587852000.0 101.0 80 NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA 835 NA NA NA NA NA NA NA 1070 NA NA NA NA NA NA NA
1587852000.0 1010.0 NA 26 71 0 NA NA NA NA NA 68 120 0 NA NA NA NA NA 97 169 87 NA NA NA NA NA 319 243 194 NA NA NA NA
1587852000.0 102.0 79 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 674 NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA
1587852000.0 1020.0 NA 34 NA NA NA NA NA NA NA 105 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 688 NA NA NA NA NA NA
1587852000.0 10224.0 NA 387 963 0 NA NA NA NA NA 594 1195 0 NA NA NA NA NA 3877 4434 1676 NA NA NA NA NA 3444 6124 2103 NA NA NA NA
1587852000.0 10225.0 NA 376 927 0 NA NA NA NA NA 560 1137 0 NA NA NA NA NA 3717 4317 1664 NA NA NA NA NA 4909 5624 1946 NA NA NA NA
1587852000.0 103.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 681 204 1212 NA NA NA NA NA 750 338 2248 NA NA NA NA NA
1587852000.0 1030.0 NA 174 36 0 NA NA NA NA NA 325 84 0 NA NA NA NA NA 7778 222 57 NA NA NA NA NA 3990 330 171 NA NA NA NA
1587852000.0 10424.0 NA 211 678 0 NA NA NA NA NA 477 844 0 NA NA NA NA NA 1427 2272 1660 NA NA NA NA NA 1957 4300 2141 NA NA NA NA
1587852000.0 105.0 86 79 23 NA NA NA NA NA 184 367 65 NA NA NA NA NA 1506 424 112 NA NA NA NA NA 957 530 273 NA NA NA NA NA
1587852000.0 106.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 694 204 1207 NA NA NA NA NA 754 382 2227 NA NA NA NA NA
1587852000.0 107.0 88 85 434 NA NA NA NA NA 183 367 529 NA NA NA NA NA 3414 504 1557 NA NA NA NA NA 2377 697 3192 NA NA NA NA NA
1587852000.0 108.0 95 89 439 NA NA NA NA NA 192 367 541 NA NA NA NA NA 3847 508 1607 NA NA NA NA NA 2079 948 2929 NA NA NA NA NA
1587852000.0 10823.0 65 190 660 83 0 NA NA NA 124 479 799 133 0 NA NA NA 1485 1256 2058 349 1778 NA NA NA 1322 2036 5269 731 2028 NA NA NA
1587852000.0 10824.0 72 215 683 101 0 NA NA NA 133 471 845 144 0 NA NA NA 3852 1474 2351 380 1650 NA NA NA 2230 1695 7194 1197 2020 NA NA NA
1587852000.0 10825.0 68 202 671 84 0 NA NA NA 128 485 838 135 0 NA NA NA 3486 1348 2212 363 1672 NA NA NA 2426 1599 7159 1850 2080 NA NA NA
1587852000.0 10826.0 75 218 685 94 0 NA NA NA 136 471 814 145 0 NA NA NA 6129 1504 2492 380 1657 NA NA NA 2718 4005 2904 2305 1903 NA NA NA
1587852000.0 10842.0 59 187 655 93 0 NA NA NA 110 477 816 145 0 NA NA NA 821 1149 2033 370 1654 NA NA NA 1468 2322 4719 1659 2047 NA NA NA
1587852000.0 109.0 90 88 439 NA NA NA NA NA 186 359 554 NA NA NA NA NA 4451 498 1625 NA NA NA NA NA 2641 792 3054 NA NA NA NA NA
1587852000.0 11.0 NA 96 467 0 57 NA NA NA NA 363 606 0 104 NA NA NA NA 1683 1486 532 211 NA NA NA NA 1419 2797 1180 649 NA NA NA
1587852000.0 110.0 59 79 428 NA NA NA NA NA 125 367 533 NA NA NA NA NA 712 434 1397 NA NA NA NA NA 1484 1148 2836 NA NA NA NA NA
1587852000.0 1102.0 NA 112 462 130 72 NA NA NA NA 370 580 222 162 NA NA NA NA 2425 3874 1651 385 NA NA NA NA 1756 4070 1574 288 NA NA NA
1587852000.0 111.0 81 85 431 NA NA NA NA NA 183 360 537 NA NA NA NA NA 1686 356 1399 NA NA NA NA NA 1391 602 2371 NA NA NA NA NA
1587852000.0 112.0 92 87 430 NA NA NA NA NA 190 367 541 NA NA NA NA NA 2919 492 1625 NA NA NA NA NA 1131 1002 3083 NA NA NA NA NA
1587852000.0 11224.0 74 219 687 0 NA NA NA NA 135 464 849 0 NA NA NA NA 4029 1495 2325 1651 NA NA NA NA 1870 1986 5077 2267 NA NA NA NA
1587852000.0 113.0 87 86 432 NA NA NA NA NA 186 360 537 NA NA NA NA NA 3246 507 1706 NA NA NA NA NA 1881 780 2900 NA NA NA NA NA
