Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1554588000.0 1.0 88 80 191 NA NA NA NA NA 186 367 312 NA NA NA NA NA 2170 583 1125 NA NA NA NA NA 2572 1146 1559 NA NA NA NA NA
1554588000.0 10.0 NA 120 474 0 NA NA NA NA NA 331 578 0 NA NA NA NA NA 5313 8239 931 NA NA NA NA NA 7623 5883 1146 NA NA NA NA
1554588000.0 1000.0 NA 388 153 0 52 NA NA NA NA 502 259 0 89 NA NA NA NA 2908 1353 696 288 NA NA NA NA 1960 1425 835 424 NA NA NA
1554588000.0 10001.0 NA 188 661 83 0 NA NA NA NA 484 794 135 0 NA NA NA NA 1701 2700 456 2054 NA NA NA NA 2297 4367 833 2173 NA NA NA
1554588000.0 10002.0 NA 190 658 83 0 NA NA NA NA 491 823 135 0 NA NA NA NA 1706 2687 461 2082 NA NA NA NA 2291 3959 888 2217 NA NA NA
1554588000.0 10003.0 NA 194 658 84 0 NA NA NA NA 485 821 136 0 NA NA NA NA 1745 2707 456 2120 NA NA NA NA 5020 4288 786 2239 NA NA NA
1554588000.0 10004.0 NA 187 659 83 0 NA NA NA NA 484 820 134 0 NA NA NA NA 1600 2471 426 1937 NA NA NA NA 3878 4924 980 2050 NA NA NA
1554588000.0 10005.0 NA 189 663 83 0 NA NA NA NA 476 794 135 0 NA NA NA NA 1697 2604 473 2102 NA NA NA NA 2673 3926 1238 2371 NA NA NA
1554588000.0 10006.0 NA 187 649 82 0 NA NA NA NA 477 814 134 0 NA NA NA NA 1589 2463 423 1948 NA NA NA NA 2475 4839 950 2232 NA NA NA
1554588000.0 10007.0 NA 188 658 94 0 NA NA NA NA 480 804 146 0 NA NA NA NA 1635 2470 436 2003 NA NA NA NA 2529 2626 834 2181 NA NA NA
