Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1478386800.0 10224.0 NA 222 319 0 NA NA 292 400 0 NA NA 5616 11141 1633 NA NA 7636 11558 1674 NA
1478386800.0 10225.0 NA 211 313 0 NA NA 287 400 0 NA NA 5563 6952 1403 NA NA 13743 7130 1431 NA
1478386800.0 108.0 57 85 216 NA NA 102 147 258 NA NA 9653 690 1076 NA NA 9708 713 1102 NA NA
1478386800.0 1102.0 NA 100 215 126 83 NA 160 264 156 109 NA 4465 5711 3188 217 NA 4527 5781 3210 226
1478386800.0 117.0 55 87 212 NA NA 106 147 258 NA NA 10019 688 1043 NA NA 10119 716 1076 NA NA
1478386800.0 121.0 55 100 213 NA NA 106 147 259 NA NA 9545 682 1131 NA NA 9591 696 1165 NA NA
1478386800.0 1302.0 64 168 185 NA NA 103 205 220 NA NA 10414 1042 1025 NA NA 10575 1080 1122 NA NA
1478386800.0 1303.0 63 168 185 NA NA 105 205 222 NA NA 17975 1187 1496 NA NA 18133 1230 1573 NA NA
1478386800.0 133.0 56 100 224 NA NA 103 147 261 NA NA 12345 705 1348 NA NA 12436 725 1377 NA NA
1478386800.0 1336.0 NA 187 265 0 NA NA 238 311 0 NA NA 2533 3634 2049 NA NA 2594 3720 2067 NA
1478386800.0 134.701 NA 54 247 0 NA NA 96 298 0 NA NA 233 8695 920 NA NA 249 8807 951 NA
1478386800.0 134.702 NA 57 252 0 NA NA 93 288 0 NA NA 254 12196 874 NA NA 320 12418 883 NA
1478386800.0 134.703 NA 57 248 0 NA NA 93 303 0 NA NA 247 11996 949 NA NA 261 12140 969 NA
1478386800.0 134.704 NA 56 243 0 NA NA 90 291 0 NA NA 256 11435 917 NA NA 295 11554 937 NA
1478386800.0 134.705 NA 59 250 0 NA NA 95 300 0 NA NA 263 12695 945 NA NA 278 12832 985 NA
1478386800.0 134.706 NA 59 248 0 NA NA 95 300 0 NA NA 252 13077 957 NA NA 312 13215 969 NA
1478386800.0 134.707 NA 58 244 0 NA NA 95 290 0 NA NA 246 11506 881 NA NA 257 11623 903 NA
1478386800.0 134.708 NA 49 243 0 NA NA 92 288 0 NA NA 247 10651 943 NA NA 275 10782 978 NA
1478386800.0 134.709 NA 59 250 0 NA NA 96 309 0 NA NA 253 12026 892 NA NA 356 12211 913 NA
1478386800.0 134.802 NA 51 245 0 NA NA 94 294 0 NA NA 327 15461 894 NA NA 341 15621 922 NA
1478386800.0 134.803 NA 57 243 0 NA NA 94 292 0 NA NA 313 13577 906 NA NA 341 13745 917 NA
1478386800.0 134.804 NA 41 252 0 NA NA 95 301 0 NA NA 323 15464 912 NA NA 359 15579 925 NA
1478386800.0 134.805 NA 58 251 0 NA NA 96 304 0 NA NA 323 15146 903 NA NA 343 15272 916 NA
1478386800.0 134.806 NA 47 254 0 NA NA 93 300 0 NA NA 332 16828 886 NA NA 344 16907 904 NA
1478386800.0 134.807 NA 100 264 0 NA NA 147 314 0 NA NA 1021 15063 996 NA NA 1049 15172 1009 NA
1478386800.0 134.808 NA 107 276 0 NA NA 145 315 0 NA NA 1051 15610 961 NA NA 1089 15700 988 NA
1478386800.0 134.809 NA 50 250 0 NA NA 92 291 0 NA NA 309 14328 914 NA NA 329 14453 928 NA
1478386800.0 134.81 NA 51 243 0 NA NA 95 293 0 NA NA 309 14545 921 NA NA 326 14665 932 NA
1478386800.0 134.811 NA 41 251 0 NA NA 98 297 0 NA NA 312 15126 898 NA NA 328 15220 924 NA
1478386800.0 134.902 NA 57 241 0 NA NA 95 287 0 NA NA 284 10944 886 NA NA 307 11078 903 NA
1478386800.0 134.903 NA 57 238 0 NA NA 97 286 0 NA NA 258 9763 911 NA NA 281 9876 932 NA
1478386800.0 134.904 NA 57 241 0 NA NA 93 295 0 NA NA 293 12298 891 NA NA 332 12427 926 NA
1478386800.0 134.905 NA 57 240 0 NA NA 94 287 0 NA NA 270 9648 919 NA NA 285 9811 941 NA
